text,class
Así será el revolcón urbano en la calle 80 y en la carrera 30  ,Colombia
No apareció un comprador para la mansión de Gacha de $ 48.000 millones  ,Colombia
Huracán Matthew toca tierra en Haití con fuerza devastadora  ,Colombia
"Figueroa, en nueva lista de 'hackers' por uso de sustancias prohibidas  ",Colombia
Google muestra hoy su visión del futuro conectado  ,Colombia
"⚡️ @TwitterMoments @ginaparody dejará su cargo: ¿Qué viene para le educación en Colombia?

",Colombia
"Infantino, Presidente de Fifa, se divirtió, habló, bromeó y jugó  ",Colombia
Minhacienda está decidido a sacar la reforma tributaria  ,Colombia
Los mitos y rumores que marcaron las campañas por el plebiscito  ,Colombia
Gina Parody renuncia al Ministerio de Educación  ,Colombia
"Tres físicos británicos reciben el Premio Nobel de Física, 2016  ",Colombia
Toyota presenta un robot parlante para hacer compañía a los humanos  ,Colombia
Los Rolling Stones generan expectativa sobre su nuevo disco  ,Colombia
"Samuel Aranda, el fotógrafo que captura imágenes para la historia  ",Colombia
Colombia busca plan B para suplir a @jamesdrodriguez  ,Colombia
[Ampliación] La ministra de Educación @ginaparody hizo el anuncio en una rueda de prensa  ,Colombia
Jefe del microtráfico en Usaquén fue condenado por matar a su hermano  ,Colombia
Las tres primeras propuestas de Uribe para seguir con proceso de paz  ,Colombia
ATENCIÓN La ministra de Educación @ginaparody renunció a su cargo [Avance] ,Colombia
RT @robertopomboh: Estas son algunas páginas de @ELTIEMPO de hoy / @Diseno_ET ,Colombia
El restaurante que 'dotó' a sus empleados con un Apple Watch  ,Colombia
Guía para irse de paseo en la semana de receso  ,Colombia
Así vivieron el domingo en Palacio el revés en el plebiscito  ,Colombia
Las tragedias aéreas que han enlutado al mundo  ,Colombia
SalvemosASoca: buscan ayuda para perrita rescatada en San Andrés  ,Colombia
Lo que queda congelado tras el 'No' de Colombia en el plebiscito  ,Colombia
Estos son los IndicadoresEconómicos del día    (Vía @portafolioco),Colombia
"Buenos días, tengan en cuenta el PicoyPlaca para hoy en las principales ciudades del país ",Colombia
"LasMásCompartidas Opinión 'La batalla sin fin', columna de Gabriel Silva Luján ",Colombia
LasMásLeídas Estos son los principales actores que ganan con el 'no' del plebiscito ,Colombia
"LasMásCompartidas Tras plebiscito, dólar al alza y acciones con leve descenso ",Colombia
"Tres físicos británicos reciben el Premio Nobel de Física, 2016  ",Colombia
LasMásLeídas 'Comisión de partidos políticos debe tener tiempos': senador Lizcano ,Colombia
LasMásCompartidas 'El plebiscito no tiene efecto jurídico alguno': 'Timochenko' ,Colombia
LasMásLeídas Cómo queda la gobernabilidad del Presidente Santos ,Colombia
LasMásCompartidas Uribe propone 'amnistía' y 'protección' para integrantes de las Farc ,Colombia
LasMásLeídas De la Calle puso a disposición su cargo como jefe negociador ,Colombia
LasMásCompartidas Ya comenzaron contactos entre los delegados y el Centro Democrático ,Colombia
LasMásLeídas Frente primero de las Farc ratifica su disidencia ,Colombia
"LasMásCompartidas 'No hemos sido derrotados', mensaje de partidos a presidente Santos ",Colombia
LasMásLeídas Este es el nuevo pacto político que 'salvaría' el proceso de paz ,Colombia
El catálogo de Netflix disminuyó más de 50 por ciento desde 2012  ,Colombia
Premio Nobel para la renovación celular  ,Colombia
Use su celular como cámara 'profesional'  ,Colombia
Cuando los emojis generan una polémica mundial  ,Colombia
"Donald Trump, atacado por mal manejo de su fundación  ",Colombia
No apareció un comprador para la mansión de Gacha de $ 48.000 millones  ,Colombia
Así registraron los medios del mundo la victoria del No en el plebiscito  ,Colombia
Ya comenzaron contactos entre los delegados del Gobierno y el Centro Democrático  ,Colombia
Presidente de la Fifa propone un Mundial con 48 selecciones para 2026  ,Colombia
"¿En qué consisten los descubrimientos de Yoshinori Ohsumi, quien acaba de recibir el Premio Nobel de Medicina?… ",Colombia
Guatemala: otro país que dijo 'No'  ,Colombia
"Vea el tráiler de 'Piratas del Caribe 5', con el actor Javier Bardem  ",Colombia
Los estragos que causó el huracán Matthew en su paso por Colombia  ,Colombia
"Jineth Bedoya recibirá premio de la Universidad de Western Kentucky, de Estados Unidos  ",Colombia
"Si no tuvo tiempo para informarse hoy, aquí un resumen de lo más importante del día NoSeAcuesteSinLeerEsto ",Colombia
"Blogs 'Aerosmith: dulce emoción', por @autopistarokosa  ",Colombia
ColombiaDijoNo El 'No' nos invita a pensar en nuevos caminos. Un minuto para reflexionar→ ,Colombia
Así se vivió la cuarta edición del Breakfest en Medellín  ,Colombia
"Blogs 'Propongo una semana para las víctimas', por @cgallo09  ",Colombia
Más de mil millones de personas en el mundo no pueden acceder a una casa adecuada DíaMundialDelHábitat… ,Colombia
.@AlvaroUribeVel propone 'amnistía' y 'protección' para integrantes de las Farc  ,Colombia
"Blogs 'Cómo explicar el NO desde este lado del charco', por @camiloenmadrid  ",Colombia
Ya comenzaron contactos entre los delegados del Gobierno y el Centro Democrático  ,Colombia
"Ramón Jesurún, nombrado como miembro del Consejo Directivo de la Fifa  ",Colombia
Colegios no pueden imponer cortes de cabello ni prohibir joyas: Corte  ,Colombia
"Tras plebiscito, dólar al alza y acciones con leve descenso  ",Colombia
"Blogs 'Brexit Referendum Overshadowed', por @_TIEMPO_Fuera  ",Colombia
