text,class
Estrategias que optimizan los residuos de una compañía.  ParaUnMejorFuturo ,Colombia
"La estrategia del Gobierno es escuchar a la oposición.
 ",Colombia
Uribe propone amnistía a guerrilleros sin condenas y alivio judicial a policías y soldados.… ,Colombia
"La Petromorfosis de Peñalosa.
 ",Colombia
"FMI prevé que economía colombiana crezca apenas 2,2% en 2016.  ",Colombia
"Video de mujer que ahuyenta a cocodrilo con una chancleta se hace viral.
",Colombia
"“La salida es el punto final constitucional”: Henry Acosta.
 ",Colombia
Los perdedores con el no al plebiscito.  ,Colombia
"Agencia Mundial Antidopaje le pide perdón a Óscar Figueroa.
 ",Colombia
Exalcalde de Santa Marta aboga por constituyente para alcanzar la paz.  ,Colombia
"¿Qué pasará con el campo tras la victoria del No?
 ",Colombia
"Las causas de la quiebra del SITP.
 ",Colombia
"Explicar el fracaso: el análisis de Héctor Abad sobre el plebiscito.

Por: Héctor Abad Faciolince.",Colombia
RT @DeportesEE: Video: Salvaje agresión a un árbitro y a un policía en el fútbol de Argentina  ,Colombia
"@realDonaldTrump, en saldo rojo.
 ",Colombia
"El impacto del No en Latinoamérica.
 ",Colombia
"Jesús nunca rechazaría a un homosexual o un transexual: Papa Francisco.
 ",Colombia
Las oscuras gestiones de la Fundación Trump.  ,Colombia
"Premio Nobel de Física para tres británicos por sus investigaciones sobre la materia.
 ",Colombia
"Los húngaros votaron a favor de controlar el ingreso de migrantes.
 ",Colombia
¿Qué esperar del debate entre candidatos a vicepresidencia de Estados Unidos?  ,Colombia
"Colombianos lamentan el resultado del plebiscito.
 ",Colombia
¡Recomendados de El Espectador está disponible!  blogselespectador,Colombia
"¿Qué pasará con el campo tras la victoria del No?
 ",Colombia
Advierten caos de basuras en el norte de Bogotá.  ,Colombia
"La renegociación de la paz con las Farc podría incluir ahora al Eln.
@EEColombia2020 
 ",Colombia
"La reforma tributaria busca recaudar $12 billones.
 ",Colombia
"De Guatemala a Guatepeor.
@EEColombia2020 
 ",Colombia
"En el oriente sale el sol: crónica sobre la vida de William Usuriaga, un empresario de restaurantes.… ",Colombia
RT @DeportesEE: El TAS reduce la suspensión de María Sharapova.  ,Colombia
"El presidente de la FIFA se encuentra en la capital colombiana.
 ",Colombia
"RT @EEopinion: La paz en Colombia tardará un poco más, eso es todo.

Por: Henry Robinson.",Colombia
"RT @EEopinion: Una caricatura de Jarape para hoy.
 ",Colombia
"Lucely Narváez , oriunda de Samaniego (Nariño), ganó la tercera edición del Premio Nacional de Bibliotecas.… ",Colombia
RT @DeportesEE: .@estecharu renovó con el @ORICA_BE por tres años  ,Colombia
Los dirigentes de los partidos que apoyan el proceso de paz cerraron filas alrededor del presidente Santos.… ,Colombia
"RT @EEopinion: ¿Eso somos?

Por: Beatriz Vanegas Athías.",Colombia
"RT @EEopinion: Perdió Colombia.

Por: Aura Lucía Mera.",Colombia
"RT @EEopinion: Sigamos andando, nuestra editorial para hoy.
 ",Colombia
Huracán Matthew toca tierra en Haití con fuerza devastadora.  ,Colombia
"“El No es un Sí a la paz, pero con justicia”: Iván Duque.
 ",Colombia
"Henry Acosta ha sido facilitador del proceso de paz.
 ",Colombia
"[Ampliación] Tras resultados del plebiscito, Gina Parody renuncia al Ministerio de Educación.… ",Colombia
"RT @EEColombia2020: De Guatemala a Guatepeor, otro ejemplo del No a un plebiscito.  ",Colombia
"LoÚltimo. Tras resultados del plebiscito, Gina Parody renuncia al Ministerio de Educación.
 ",Colombia
“Se juntaron variables que llevaron a que todos los operadores tuviéramos pérdidas gigantescas: quiebra del SITP.… ,Colombia
"La Petromorfosis de Peñalosa.
 ",Colombia
"Atención Tras resultados del plebiscito, Parody renuncia al Ministerio de Educación. EnDesarrollo ",Colombia
"La Fundación Trump, de Donald Trump, candidato republicano a la Casa Blanca, está bajo la lupa hace varios semanas.… ",Colombia
Distrito le apuesta a amplios andenes en vías principales de Bogotá.  ,Colombia
"Los perdedores con el no al plebiscito
 ",Colombia
"Los húngaros votaron a favor de controlar el ingreso de migrantes.
 ",Colombia
"RT @DeportesEE: El clima y la situación de la ciudad, razones por las que Balotelli eligió el Niza  ",Colombia
"El impacto del No en la región.
 ",Colombia
"Buenos días, lectores. Esta es nuestra PortadaEE de hoy. La ampliación de esta y más noticias en… ",Colombia
"¿Qué pasará con el campo tras la victoria del No?
 ",Colombia
"Urge un espacio de concertación de las fuerzas políticas.
@EEColombia2020 
 ",Colombia
Explicar el fracaso: el análisis de Héctor Abad sobre el plebiscito. ,Colombia
"Escasea el capital político para la reforma tributaria que se presentará este mes.
 ",Colombia
Estas eran las noticias del 4 de octubre de 1986.  ,Colombia
"En 1999, los guatemaltecos rechazaron los acuerdos de paz entre su gobierno y la guerrilla.
@EEColombia2020… ",Colombia
WikiLeaks festeja sus 10 años bajo críticas.  ,Colombia
"(VIDEO) ¿Por qué un japonés se quedó con el premio Nobel de Medicina?
",Colombia
"Explicar el fracaso: el análisis de Héctor Abad sobre el plebiscito.

Por: Héctor Abad Faciolince.",Colombia
"En el oriente sale el sol: crónica sobre la vida de William Usuriaga, un empresario de restaurantes.… ",Colombia
"Triple atajada tras un cobro de penal se hizo viral.
",Colombia
"La estrategia del Gobierno es escuchar a la oposición.
 ",Colombia
@AlvaroUribeVel propone amnistía a guerrilleros sin condenas y alivio judicial a policías y soldados.… ,Colombia
"La Petromorfosis de @EnriquePenalosa.
 ",Colombia
"Video de mujer que ahuyenta a cocodrilo con una chancleta se hace viral.
",Colombia
"“La salida es el punto final constitucional”: Henry Acosta.
 ",Colombia
"Los perdedores con el no al plebiscito.
 ",Colombia
"Agencia Mundial Antidopaje le pide perdón a Óscar Figueroa.
 ",Colombia
"¿Qué pasará con el campo tras la victoria del No?
 ",Colombia
"Las causas de la quiebra del SITP.
 ",Colombia
"@realDonaldTrump, en saldo rojo.
 ",Colombia
"El presidente de la FIFA se encuentra en la capital colombiana.
 ",Colombia
"¿Cuál es el impacto del No en Latinoamérica?
 ",Colombia
"Jesús nunca rechazaría a un homosexual o un transexual: @Pontifex_es.
 ",Colombia
"Arsenal, rey de los ingresos en los estadios.  ",Colombia
"Así felicitó @BarackObama a su esposa por el aniversario 24 de su boda.
 ",Colombia
"Lucely Narváez , oriunda de Samaniego (Nariño), ganó la tercera edición del Premio Nacional de Bibliotecas.… ",Colombia
Premio Nobel de Física para tres británicos por sus investigaciones sobre la materia.  ,Colombia
"La estrategia del Gobierno es escuchar a la oposición.
 ",Colombia
"“El No es un Sí a la paz, pero con justicia”: Iván Duque.
 ",Colombia
"“La salida es el punto final constitucional”: Henry Acosta.
 ",Colombia
"El Centro Democrático, abanderado del No, acertó en su estrategia
Análisis por: Luis Carvajal Basto.
",Colombia
"Las causas de la quiebra del SITP.
 ",Colombia
"Son muchas las coincidencias entre el exalcalde Gustavo Petro y Enrique Peñalosa.
 ",Colombia
"Así evaden impuestos los más ricos de Estados Unidos.
 ",Colombia
"Hungría se blinda ante la llegada de refugiados.
",Colombia
"Colombianos lamentan el resultado del plebiscito.
 ",Colombia
"(VIDEO) El proceso del 'Brexit' genera inestabilidad a la economía británica.
",Colombia
"Presidentes de Argentina y Brasil definen nuevo rumbo de Mercosur.
 ",Colombia
"269 personas afectadas en Santa Marta por el huracán Matthew.
 ",Colombia
"(VIDEO) Triple atajada tras un cobro de penal se hizo viral.
",Colombia
"Colombia tiene al mejor técnico de América: Faryd Mondragón.
 ",Colombia
"En los próximos días, Eln espera dar buenas noticias sobre diálogos de paz.
 ",Colombia
"“El No revictimizó a las víctimas”: Carlos Medina Gallego.
 ",Colombia
"Caen “Los Pulsar”, banda que hurtó al menos 60 motos en Bogotá.
 ",Colombia
"Además del No, ganó la abstención: fue la más alta en los últimos 22 años.
 ",Colombia
Explicar el fracaso: el análisis de Héctor Abad sobre el plebiscito  Vía @EEopinion,Colombia
Explicar el fracaso: el análisis de Héctor Abad sobre el plebiscito ,Colombia
"Lecciones de Rigoberta Menchú para construir la paz y alcanzar la reconciliación.
",Colombia
"(FOTOS) Así fue el juego entre las leyendas de la Federación Colombiana de Fútbol y las de Fifa.
",Colombia
"Capturan a cinco implicados en caso de secuestro de Melisa Trillos.
 ",Colombia
"Los perdedores con el no al plebiscito.
 ",Colombia
"A James lo están evaluando para ver qué posibilidades tiene de actuar: Ramón Jesurún.
 ",Colombia
"Irregularidades en contratos de Corabastos, a debate en el Concejo.
 ",Colombia
RT @DeportesEE: Selección Colombia: con la mente puesta en Paraguay  ,Colombia
"Subastan en 20.200 dólares la cámara que tomó el más famoso retrato del “Che” Guevara.
",Colombia
Policía de Los Ángeles mata dos hombres al confundirlos con criminales.  ,Colombia
"Así felicitó Barack Obama a su esposa por el aniversario 24 de su boda.
 ",Colombia
RT @DeportesEE: Agencia Mundial Antidopaje le pide perdón a Óscar Figueroa  ,Colombia
El “No” fue una oportunidad perdida para acabar con 52 años de guerra: Amnistía Internacional.… ,Colombia
Uribe propone amnistía a guerrilleros sin condenas y alivio judicial a policías y soldados.… ,Colombia
"Un arcoíris de 300 globos evoca a niños desaparecidos en la guerra de Guatemala
 ",Colombia
"Así votaron los municipios donde las Farc dejarían las armas.
@EEColombia2020 
 ",Colombia
"Imputarán cargos a socios del zar de la vigilancia.
 ",Colombia
Consejo Nacional Electoral quiere regular empresas encuestadoras.  ,Colombia
Bolsa de Valores y peso colombiano cierran con bajas tras incertidumbre por victoria del No.… ,Colombia
"En los próximos días, Eln espera dar buenas noticias sobre diálogos de paz.
 ",Colombia
"Las fichas del Gobierno para el diálogo con los del No.
",Colombia
RT @DeportesEE: América ganó y sigue segundo a dos fechas para el final del todos contra todos  ,Colombia
"El reflejo del conflicto con las Farc en las portadas de El Espectador.
",Colombia
Bravo Supersociedades  EspectadorBlogs,Colombia
"Irregularidades en contratos de Corabastos, a debate en el Concejo.  ",Colombia
"Los cursos gratis que le ayudarán a crear su propia empresa.
 ",Colombia
"Por fratricidio, condenan a jefe de Los Pascuales.
 ",Colombia
"(VIDEO) Maduro ofrece apoyo a Santos y Farc para insistir en la búsqueda de la paz.
",Colombia
"Incentivo al respeto animal en Lima, por celebración del Día de San Francisco de Asís.
 ",Colombia
"Departamento de Estado de EE.UU. apoya diálogo amplio para alcanzar la paz.
 ",Colombia
"Usme, Bosa y Ciudad Bolívar, las localidades de Bogotá donde triunfó el No.  ",Colombia
"Mike Pence: a la diestra de Trump.
 ",Colombia
RT @DeportesEE: Los pasos de Infantino en Bogotá  ,Colombia
"19 de octubre: nuevo plazo para escoger el organizador de corridas en la Santamaría.
 ",Colombia
"Madonna, furiosa porque vecinos no dejan entrar a sus hijos a apartamento de Manhattan.
",Colombia
"(VIDEO) El proceso del 'Brexit' genera inestabilidad a la economía británica.
",Colombia
"Irregularidades en contratos de Corabastos, a debate en el Concejo.  ",Colombia
"(VIDEO) Gloria Pachón habló de su entrañable amistad con la familia cano.
30AñosSinGuillermoCano
",Colombia
"Imputarán cargos a socios del zar de la vigilancia.
 ",Colombia
Así felicitó Barack Obama a su esposa por el aniversario 24 de su boda.  ,Colombia
"OEA llama la atención a Colombia por la altísima abstención en el plebiscito.
 ",Colombia
"Kirobo, el robot con el que puede conversar y responde a las emociones.  ",Colombia
"Tengo a los mejores jugadores del mundo: Zidane.
 ",Colombia
[Video] Las cuatro opciones que tiene Santos para salvar la paz con las Farc.  ,Colombia
"Un arcoíris de 300 globos evoca a niños desaparecidos en la guerra de Guatemala.
 ",Colombia
"Jesús nunca rechazaría a un homosexual o un transexual: Papa Francisco.
 ",Colombia
"A las urnas dejó de ir el 62,6% de los colombianos habilitados para votar.
",Colombia
La selección de Colombia está ahí  Vía @EEopinion,Colombia
La selección de Colombia está ahí ,Colombia
"(VIDEO) Lecciones de Rigoberta Menchú para construir la paz y alcanzar la reconciliación.
",Colombia
El “No” fue una oportunidad perdida para acabar con 52 años de guerra: Amnistía Internacional.… ,Colombia
"Así fue el juego entre las leyendas de la Federación Colombiana de Fútbol y las de Fifa.
 ",Colombia
Uribe propone amnistía a guerrilleros sin condenas y alivio judicial a policías y soldados.… ,Colombia
"En los próximos días, Eln espera dar buenas noticias sobre diálogos de paz.
 ",Colombia
"LoMásLeído en Medio Ambiente:  Canadá anuncia que gravará emisiones de carbono.
 ",Colombia
Organización Nacional Indígena lamenta triunfo del No en plebiscito.  ,Colombia
El reflejo del conflicto con las Farc en las portadas de El Espectador.  ,Colombia
"“La música debe tomar territorios ocupados por la guerra”: directora Fundación Batuta.
 ",Colombia
"En los próximos días, Eln espera dar buenas noticias sobre diálogos de paz.  ",Colombia
RT @DeportesEE: A James lo están evaluando para ver qué posibilidades tiene de actuar: Ramón Jesurún  ,Colombia
"(VIDEO) @elespectador hace un resumen de los momentos más significativos del conflicto con las Farc.
",Colombia
LoMásLeído en Tecnología: el pequeño robot creado para hacer compañía a personas solitarias.… ,Colombia
