text,class
"Niñera es acusada de conducir borracha en accidente donde murió niña de seis años
 ",USA
ULTIMA HORA - Aviso de huracán de Deerfield Beach hacia el norte hasta el condado Brevard por huracán Matthew ,USA
"ULTIMA HORA - Aviso de tormenta tropical para Miami, los cayos y Broward por huracán Matthew ",USA
Editorial El retraso del estado frente al Zika  ,USA
"Suben a 4 los muertos y a 18,545 los desplazados en R.Dominicana por Matthew
 ",USA
"Hijo de Reagan dice que su padre no apoyaría a la ‘basura’ de Donald Trump
 ",USA
"La fábrica de reinas ‘Miss Venezuela’ sortea la crisis para continuar el show
 ",USA
"Aumentan a dos los muertos en Haití por el huracán Matthew
 ",USA
"Uruguay, Argentina y Brasil defienden la cima sudamericana
 ",USA
"Mucha de la desconfianza en Hillary Clinton no es más que sexismo, por @fabiolasantiago
 ",USA
"RT @sncandido .@MiamiSup hoy y mañana habrá clases en Miami, el jueves puede que se cancelen si el huracán Matthew continúa con la proyec…",USA
RT @InCubaTodayESP Vea las imágenes de los evacuados en el oriente de Cuba a la espera del intenso huracán Matthew ,USA
RT @sncandido .@MayorGimenez al momento no hay alertas de evacuación para ningún sector de Miami-Dade Matthew ,USA
RT @sncandido .@MayorGimenez hay una probabilidad del 60% de vientos de tormenta tropical para Miami para el jueves Mathew ,USA
¿Quieres vivir en EEUU? Se sortearán 50 mil visas a inmigrantes  (@AlfonsoChardy) ,USA
"Dos niños mueren en la República Dominicana por las lluvias de Matthew
 ",USA
Intensa campaña busca que hispanos se registren para votar  (@kikeflor) ,USA
"Matthew provoca inundaciones y deslizamientos de tierra en Haití
 ",USA
"Prepárese para un huracán, tenga en cuenta estas recomendaciones Matthew Florida Miami 
 ",USA
"Busca la policía de MiamiBeach  a hombre que atacó a mujer en la playa
 ",USA
"Las siete cosas que incomodan a los floridanos, por Benjamín F. @DEYURRE  Opinión ",USA
"El presidente filipino manda al infierno a Obama y a la UE al purgatorio
 ",USA
"El paquete a Bolivia decía partes para autos, pero era mentira
 (@AlfonsoChardy) ",USA
¿Sospecha que le han cerrado su cuenta de banco en EEUU por ser venezolano? Cuéntenos aquí  ,USA
El huracán Matthew toca tierra en costa suroeste de Haití; avanza en dirección norte hacia Cuba y Florida… ,USA
¿Que pasará con los vuelos fletados a Cuba?  ,USA
"Ojo del huracán Matthew toca tierra al oeste de Haití, está a 15 millas al sur de la punta este de Cuba… ",USA
"Assange promete filtraciones sobre elecciones EEUU, Google
 ",USA
"Raspón en rodilla genera crisis de salud de niña venezolana
 ",USA
"ÚltimaHora El ojo del poderoso huracán Matthew, categoría 4, con vientos máximos de 145 millas (230 km/h) tocó tie… ",USA
"Fallece tío abuelo de Elián González sin que se le cumpliera el sueño de volverlo a ver
 ",USA
"Heridos dos surfistas por ataque de tiburones en la costa este de Florida
 ",USA
"Macri y Temer instan a Venezuela a cumplir con el Mercosur; Le hemos dado un plazo
 ",USA
Rubio y Curbelo No dejaremos que los guerrilleros colombianos vengan a Miami  @sncandido ,USA
"Santos gasta todo su capital político en derrotado acuerdo de paz
 (@DelgadoAntonioM) ",USA
El poderoso huracán Matthew tiene vientos de 145 m/h (230 km/h) y se acerca a Haití; Cuba y Florida en la mira… ,USA
"Comienza el día con tu horóscopo
@waltermercadotv
 ",USA
"El poderoso huracán Matthew se cierne sobre Haití
 ",USA
¡Buenos días! Compartimos con ustedes nuestra portada de hoy. ,USA
Putin suspende acuerdo con EEUU sobre plutonio militar  ,USA
Atentado en boda siria deja 22 muertos  ,USA
Supremo de EEUU rechaza reconsiderar medidas inmigratorias  ,USA
Guatemala abrirá cuatro consulados en EEUU en los próximos meses  ,USA
Proceso electoral en Nicaragua tensa las relaciones con EEUU  ,USA
"Llama “gorila” a Michelle Obama y pierde su trabajo
 ",USA
México investiga a funcionarios de migración por denuncias de cubanos  ,USA
"EEUU emite una alerta de viaje sobre Cuba ante la llegada del huracán Matthew
 ",USA
"Kim Kardashian regresa a Nueva York tras millonario asalto en París
 ",USA
"Santos abre el diálogo con el uribismo para encaminar la paz 
 Colombia ",USA
Haití y República Dominicana en vigilancia por paso del huracán Matthew (FOTOS)  ,USA
"Haití empieza a sentir la furia del huracán Matthew, que ahora amenaza a la Florida
 ",USA
"Las siete cosas que incomodan a los floridanos, por Benjamín F. @DEYURRE  Opinión ",USA
RT @fabiolasantiago Si Hillary Clinton -- o cualquier otra mujer -- se comportara como Donald Trump no hubiera llegado ni a la esquina. ht…,USA
"Fallece tío abuelo de Elián González sin que se le cumpliera el sueño de volverlo a ver
 ",USA
¿Quién asesinó a la fotógrafa canadiense en México?  ,USA
¿Que pasará con los vuelos fletados a Cuba?  ,USA
"Mucha de la desconfianza en Hillary Clinton no es más que sexismo, por @fabiolasantiago
 ",USA
"EEUU emite una alerta de viaje sobre Cuba ante la llegada del huracán Matthew
 ",USA
"El paquete a Bolivia decía partes para autos, pero era mentira
 (@AlfonsoChardy) ",USA
Trump admite ser un “gran beneficiario” de la “injusta” ley fiscal de EEUU  ,USA
Interceptan 5 balseros cerca de la costa de Miami  ,USA
Editorial El retraso del estado frente al Zika  ,USA
"Las clases se desarrollarán en horario normal mañana martes, informó @MiamiSup ",USA
"Maduro consultará vía para aprobar presupuesto fiscal de 2017 sin Parlamento
 Venezuela ",USA
"La historia de Elián González, contada por su tío abuelo Delfín, fallecido en Miami (VIDEO)  ",USA
Rubio y Curbelo No dejaremos que los guerrilleros colombianos vengan a Miami  @sncandido ,USA
Clinton “Que Trump arregle el sistema es dejar al zorro cuidar el gallinero”  ,USA
"Santos gasta todo su capital político en derrotado acuerdo de paz
 (@DelgadoAntonioM) ",USA
ÚltimaHora Muere el tío abuelo de Elián González en Miami  ,USA
Intensa campaña busca que hispanos se registren para votar  (@kikeflor) ,USA
¿Quieres vivir en EEUU? Se sortearán 50 mil visas a inmigrantes  (@AlfonsoChardy) ,USA
¿Que pasará con los vuelos fletados a Cuba?  ,USA
"Acusan de asesinato a joven que mató a pareja y quiso comer cara a víctima
 Florida ",USA
"Ramos Allup le responde a canciller tras acusación de “misoginia”
 Venezuela ",USA
"Las cenizas de José Fernández fueron arrojadas al mar en el lugar donde murió
 Miami ",USA
Cubanos se preparan para llegada del huracán Matthew (FOTOS)  ,USA
"El paquete a Bolivia decía partes para autos, pero era mentira
 (@AlfonsoChardy) ",USA
Intentan recuperar grabadora de tren accidentado en New Jersey  ,USA
RT @InCubaTodayESP Alarma en Cuba ante inminente llegada del huracán Matthew  @mariojose_cuba @elnuevoherald ,USA
"RT @ENH_Deportes Tras la ausencia de José Fernández, los @Marlins obligados a contemplar su futuro
 ",USA
ÚltimaHora Florida declara estado de emergencia ante posible paso de Matthew  ,USA
"Macri y Temer instan a Venezuela a que cumpla con exigencias de Mercosur
 ",USA
Rubio y Curbelo No dejaremos que los guerrilleros colombianos vengan a Miami  @sncandido ,USA
"RT @luisfsanchez6 Bradley y Kijestan jugaron en Cuba el 2008, hoy se entrenaron con Usa en Miami",USA
La lotería anual de visas de inmigrante a EEUU inicia este martes  @AlfonsoChardy ,USA
CARICATURA | ¿A quién insultará Trump ahora? Su larga lista de objetivos sigue creciendo. Vea más… ,USA
Hijos de ElChapo Guzmán niegan participación en emboscada  ,USA
EEUU suspende contactos con Rusia sobre guerra en Siria  ,USA
"Trata de robar yate en marina de Miami Beach y termina hundiéndolo
 ",USA
"Economistas de Puerto Rico rechazan Junta de Control Fiscal
 ",USA
"Imágenes de satélite muestran cómo el huracán Matthew se 'devora' a la isla Española
 ",USA
"Puerto Rico halla un motor de crecimiento en la agricultura
 ",USA
"Las dudas abiertas en Colombia tras el ‘No’ al acuerdo de paz con las FARC
 ",USA
"Justicia de Nueva York ordena a Fundación Trump que deje de pedir donaciones
 ",USA
RT @sncandido Ya están @marcorubio y el congresista @RepCurbelo en el restaurant colombiano Mondongos de Doral ,USA
"Guardaespaldas de Kardashian estaba en discoteca con una de las hermanas cuando el robo
 ",USA
