text,class
"RT @PresidenciaMX: A partir de hoy, en 16 estados, ya opera el número 9-1-1 para una atención más oportuna y eficiente en casos de emergenc…",Mexico
"RT @yosoymexicano: ¡Acompáñenme esta semana, me encantaría compartirles más de @VeteliaEBikes y mi pasión por la tecnología! ",Mexico
"El Número Único 9-1-1 atenderá emergencias médicas, de seguridad y protección civil: ",Mexico
"El Número Único de Llamadas de Emergencia 9-1-1 contribuirá a mejorar las condiciones de seguridad, Justicia y Esta… ",Mexico
"En 16 entidades del país, hoy entra en operación el Número Único de Llamadas de Emergencias 9-1-1.",Mexico
"Mis deseos de paz, felicidad y prosperidad para la comunidad judía en este Año Nuevo ¡Shaná Tová Umetuká! RoshHashaná",Mexico
Lamento el fallecimiento del escritor y periodista Luis González de Alba. Mis condolencias para sus familiares y amigos.,Mexico
Deseo éxito al Gobernador @fgcabezadevaca. El @GobMX acompañará los esfuerzos de su administración por el bienestar de Tamaulipas.,Mexico
Mis condolencias para los familiares de los fallecidos y para toda la @SEDENAmx. Deseo pronta recuperación a quienes resultaron heridos.,Mexico
El ataque a elementos del Ejército Mexicano en Sinaloa no quedará impune. Los responsables de estos hechos responderán ante la Ley.,Mexico
Personal de nuestras Fuerzas Armadas ya se encuentra en labores de apoyo Durango.,Mexico
"Ante las fuertes lluvias en Durango, he dado instrucciones a @PcSegob de respaldar al @gobdgo en la atención a la población afectada.",Mexico
"Lamento el fallecimiento del destacado empresario mexicano Guillermo Zambrano. Mis condolencias para sus familiares, amigos y colaboradores.",Mexico
Los mexicanos guardamos un grato recuerdo de sus visitas a nuestro país y de sus cálidas palabras sobre México y su gente. Descanse en paz.,Mexico
"Lamento la partida del ex mandatario de Israel y Premio Nobel de la Paz, Shimon Peres. Nuestras condolencias a su familia y connacionales.",Mexico
Este avance está asociado a los resultados de las Reformas y a las distintas acciones que ha impulsado México para elevar su competitividad.,Mexico
"México está en el lugar 51 de 138 países, logrando su mejor posición desde 2006, año en que se estableció la metodología actual.",Mexico
México avanzó 6 lugares en el Índice de Competitividad Global 2016-2017 del Foro Económico Mundial @wef: ,Mexico
"Mi especial reconocimiento a @Bikomx, @rest_Quintonil y @pujolrestaurant por estar en los primeros 10 lugares de esta importante lista.",Mexico
"¡Felicidades! @dulcepatriamx, @Corazondtierra, @NicosMexico, @GrupoPangea, @RestAmaranta y @Sud777Mx.",Mexico
La grandeza de la Cocina Mexicana es reconocida en todo el mundo. @Mexico consigue 9 lugares en la lista de los LatAm50Best.,Mexico
"RT @yosoymexicano: ¡Los invito a acompañarme y conocer un poco más de mi sueño, la movilidad compartida! @carrotmx @pimepardo​ JimenaPardo…",Mexico
Éxito al Gobernador @CarlosJoaquin en su nueva responsabilidad. El @gobmx trabajará con su administración por el desarrollo de Quintana Roo.,Mexico
El GobiernoAbierto es la nueva frontera de la democracia. Mi artículo a 5 años de la creación de la @opengovpart: ,Mexico
México se consolida como un líder mundial en políticas para contener los impactos del cambio climático: ,Mexico
"Recibo esta distinción en nombre de un país en transformación, cuyos logros son resultado del esfuerzo colectivo de los mexicanos.",Mexico
"Mi agradecimiento a la Foreign Policy Association @FPA_ORG, por su amable reconocimiento: ",Mexico
"Sentimos la pérdida de Manuel Larrosa, comprometido con la creación, estudio y valoración del patrimonio de México. Descanse en paz.",Mexico
"Le manifesté mi reconocimiento por los avances en el proceso de democratización de su país, y le extendí una invitación a visitar México.",Mexico
"En la @ONU_es, me reuní con Aung San Suu Kyi, Consejera de Estado de Myanmar y Premio Nobel de La Paz. ",Mexico
"Reitero mi reconocimiento especial a quienes obtuvieron, en total, 15 medallas representando a nuestro país. México celebra sus triunfos.",Mexico
"Muchas felicidades a todos los atletas mexicanos que compitieron en los JuegosParalímpicos de Rio2016, dando su mayor esfuerzo.",Mexico
