text,class
"RT @GAlvarado_END .@eduardobhatia dice que la AEE no vale lo que tiene en préstamos ($4,000 millones).",USA
Captan desde Puerto Rico duendes atmosféricos generados por Matthew -  ,USA
Cerca la deliberación del jurado en caso de Anaudi Hernández | Sigue las incidencias -  ,USA
RT @DeportesEND Basket nacional sufre otra sacudida -  ,USA
En crisis el sistema de agua -  ,USA
[VÍDEO] @Residente prepara lanzamiento de su primer sencillo como solista -  ,USA
"RT @cynthia_lope El jefe d FBI, Douglas Leff, está en sala sentado en primera fila detrás d la mesa d Ministerio Público",USA
¿Padeces del síndrome de la impuntualidad? -  ,USA
Poderoso huracán Matthew se cierne sobre Haití -  ,USA
Matthew comienza a azotar a Cuba -  ,USA
"Desmantelan ganga de Comerío, Barranquitas, Bayamón y Caguas -  ",USA
[EDITORIAL] Necesidad urgente de invertir en el País -  ,USA
Tauro El descanso es la mejor receta para recuperarse de tus males físicos y mentales -  ,USA
"“No cedas a tus miedos. Si lo haces, no serás capaz de hablar a tu corazón”, Paulo Coelho | ¡Buen día! CitaAM -… ",USA
Rescatan a turistas tras pasar noche en una montaña -  ,USA
.@kanyewest pospone conciertos tras robo a @KimKardashian en París -  ,USA
[COLUMNA] Hombres que ayudarían a @realDonaldTrump a gobernar Estados Unidos -  ,USA
.@POTUS y @LeoDiCaprio piden hacer más en carrera contra el cambio climático -  ,USA
Haití mantiene las elecciones pese a huracán Matthew -  ,USA
[ACTUALIZACIÓN] EE.UU. bombardea a líder de Al Qaeda en Siria -  ,USA
"Matthew provoca evacuación de 14,500 personas en República Dominicana -  ",USA
Catálogo de @netflix disminuyó más de 50 por ciento desde 2012  ,USA
[ACTUALIZACIÓN] Extienden advertencia de inundaciones para pueblos del este y sur -  ,USA
Pronósticos de Matthew lo acercan más a EE.UU. -   ,USA
Extienden advertencia de inundaciones para 11 pueblos de la Isla  -  ,USA
Vecinos de Villa Olímpica viven pesadilla por fuerte hedor -  ,USA
.@realDonaldTrump admite ser gran beneficiario de injusta ley fiscal de EE.UU. -  ,USA
Referido a la OPFEI nombramientos hechos por exalcalde de Salinas -  ,USA
Roberto Carlos graba una canción en español con @JLo -  ,USA
Hacienda hace llamado obligatorio  a los comerciantes de Puerto Rico -  ,USA
Países de América Latina firman compromiso en pro del acuerdo de paz -  ,USA
A catar vinos en el Primer Festival del Albariño-Rías Baixas -  ,USA
Etapa final del juicio por corrupción gubernamental continúa mañana -  ,USA
Cenizas de José Fernández fueron arrojadas al mar -  ,USA
Ordenan a Fundación @realDonaldTrump dejar de recaudar donativos en Nueva York -  ,USA
Lisa Donahue explicará al Senado las causas del apagón masivo -  ,USA
Cuba se prepara para lo peor ante el paso de Matthew  ,USA
5 claves de la paternidad de los 'millennials -  ,USA
Emiten advertencia de inundaciones para 10 pueblos de la Isla -  ,USA
Asociación de Economistas rechaza la Junta de Supervisión Fiscal - ,USA
Cargos a hombre por abusar de 11 menores en su residencia - ,USA
Defensa de abuelo que se llevó a su nieta pide más tiempo para vista preliminar -  ,USA
Pacto entre Puerto Rico y Costa Rica pro desarrollo aeroespacial - ,USA
AEE contratará compañías privadas para realizar desganches - ,USA
Desirée Lowry reacciona a los insultos -  ,USA
Acusan a Jenniffer González de actuar a favor de sus donantes - ,USA
[OPINIÓN] Con Lúgaro y Cidre gana Puerto Rico -  ,USA
Acusan a Jenniffer González de actuar a favor de sus donantes -  ,USA
Le salen caras las becas presidenciales a Urayoán Walker -  ,USA
RT @cynthia_lope Delgado dice a Henwood q puede continuar su alocución a las 2pm,USA
"RT @cynthia_lope Juez Delgado interrumpe la alocución d Henwood. Dice q no le quitará tiempo, pero q el jurado debe recesar para el almuer…",USA
