text,class
Reviva la emisión de @NoticiasRCN de las 6:00 a.m. ➢ ,Colombia
RT @DeportesRCN: Cardona sería el reemplazo de James Rodríguez para enfrentar a Paraguay.  ,Colombia
EvaLoSabe | Santos busca a Andrés Pastrana y a Álvaro Uribe.  ,Colombia
'Timochenko' reafirmó el cese al fuego bilateral y definitivo.  ,Colombia
"Tecnología | Kirobo Mini, un robot parlante para hacer compañía a los humanos.  ",Colombia
"Facebook estrena Marketplace, un espacio de compraventa en su red social.  ",Colombia
RT @DeportesRCN: Video Las imágenes más sexys de James Rodríguez.  ,Colombia
Internacional | Alerta por intensa actividad del volcán Colima en México.  ,Colombia
Angustioso llamado para salvar a joven de 21 años que pesa 300 kilos. ,Colombia
Un menor herido tras recibir un disparo de otro niño en medio de un juego en Cali.  ,Colombia
Entretenimiento | Se conoce el primer tráiler de 'Piratas del Caribe 5'. ,Colombia
"Dos niños atrapados en medio de un incendio en vivienda de Soledad, Atlántico.  ",Colombia
Una familia en Cali encontró a una pariente desaparecida hace 35 años.  ,Colombia
LoMásVisto | Se subasta por 20.000 dólares la cámara con la que Korda fotografió al 'Che'.  ,Colombia
Charry: Constituyente es alternativa para refrendar acuerdo de paz.  ,Colombia
Sigue la emergencia en Magdalena y Bolívar tras coletazo del huracán Matthew  ,Colombia
Angustioso llamado para salvar a un joven de 21 años que pesa 300 kilos.  ,Colombia
Una familia en Cali encontró a una pariente desaparecida hace 35 años.  ,Colombia
"Huracán Matthew, de categoría 4, tocó tierra en Haití.  ",Colombia
Gracias por acompañarnos en nuestra primera emisión de @NoticiasRCN. Siga informándose en  ,Colombia
"En las últimas horas, Gina Parody presentó su renuncia al cargo de ministra de Educación.  ",Colombia
.@ChristianEuska del @IDEAMColombia aseguró que el huracán Matthew puede convertirse en categoría 5 de nuevo.… ,Colombia
Donald Trump admitió ser un gran beneficiario de la injusta ley fiscal de Estados Unidos.… ,Colombia
