text,class
RT @clarinextrashow: Cada vez más pistas del nuevo disco de los Stones  ,Argentina
Veladero: los fiscales piden que vuelva a operar la mina  ,Argentina
FIFA 17 se transforma en el videojuego de fútbol más vendido de la saga 👉  ,Argentina
👟 Los 10 errores más comunes al correr  ,Argentina
😞 La nena siria que cuenta en Twitter el horror de la guerra  ,Argentina
"Andrea del Boca, a juicio por fondos del Estado 👉  ",Argentina
Uno por uno: la mesa nacional de Cambiemos  ,Argentina
Google presenta su nueva línea de teléfonos inteligentes  ,Argentina
Encuentran muerto a un hombre y creen que se trataría de un ex empleado de Báez ,Argentina
Facebook lanza una versión de Messenger para celulares baratos  ,Argentina
"El FMI rebajó sus pronósticos sobre el PBI: caída de 1,8% en 2016  ",Argentina
"⚠ Sorpresiva reunión por Seguridad entre Macri, Vidal y Patricia Bullrich  ",Argentina
La árbitro más linda del mundo 👉   ,Argentina
"Gustavo Vera, el amigo del Papa, imputado por quedarse con máquinas de un taller allanado  ",Argentina
Desde armas hasta Google: Wikileaks filtrará nuevos secretos cada semana  ,Argentina
Los chicos del Monoblock 17 dieron una nota una semana antes de caer 👉  ,Argentina
"😱 Alto riesgo: en la cuerda floja, a 32 metros y sobre un acantilado  ",Argentina
Topología: qué es la ciencia que usaron los científicos premiados con el Nobel de Física  ,Argentina
"Sexo, alcohol, literatura: una noche con Bukowski  ",Argentina
"Álvaro Uribe: Me dolió ver a Macri apoyando el acuerdo, lo engañaron  ",Argentina
Racing: la trama de una interna que puso al Estado en alerta máxima  ,Argentina
"A alta velocidad, chocó, volcó y se metió en una fuente: un muerto  ",Argentina
¿Quién va a la Libertadores?: Empezó la pelea por la nueva plaza  ,Argentina
El Papa visita por sorpresa la región de Italia devastada por el terremoto  ,Argentina
Los K perdieron $ 47 millones apostando al dólar futuro  ,Argentina
"Nobel de Física a Thouless, Haldane y Kosterlitz por sus estudios sobre la materia    ",Argentina
Fuerte cruce en Intratables entre Brancatelli y un diputado de la izquierda  ,Argentina
En diez días se hicieron 2.606 multas por estacionar mal ,Argentina
El ministerio de Seguridad y un insólito concurso para nombrar a cuatro cachorros  ,Argentina
Malcorra: ser titular de la ONU daría lugar al país en el gran juego del mundo  ,Argentina
Fondos de Santa Cruz: la escena de la ruta del dinero K que faltaba  ,Argentina
El huracán Matthew golpea Haití y Florida se pone en alerta  ,Argentina
Entre los que más mueren en choques ,Argentina
La egolatría de Napoléon y su obsesión por Inglaterra  ,Argentina
Las ventas no bajan: ya se patentaron más de 13.000 en 9 meses ,Argentina
Los K perdieron $ 47 millones apostando al dólar futuro ,Argentina
"La Legislatura cumple 85 años, un ícono porteño cargado de historia  ",Argentina
Macri y Temer acordaron mejorar el comercio y potenciar el Mercosur  ,Argentina
Récord de visitantes en la Feria de Turismo 2016  ,Argentina
Escándalo en Grecia: reprimen a jubilados con gas lacrimógeno  ,Argentina
Los bancarios reclaman un bono de $ 4.000 y siguen con las medidas de fuerza  ,Argentina
"Robó 70 mil pesos, se arrepintió y los devolvió ",Argentina
"Con más controles, buscan ordenar el caos de las motos  ",Argentina
Macri con Temer y un foco de atracción: las noticias  ,Argentina
La AFIP aclaró cómo declarar las cuentas familiares en el blanqueo ,Argentina
Tragedia en Siria: bombardean y destruyen el mayor hospital del este de Aleppo  ,Argentina
Un desarrollo clave para extender la vida ,Argentina
La banda del monoblock 17: los adolescentes que matan por cuatro ruedas y un estéreo  ,Argentina
"En los Juegos Bonaerenses, Vidal llamó a hacer deporte y estudiar  ",Argentina
La abuela de Fede Bal destrozó a Barbie Vélez  ,Argentina
El nieto 121 es hijo de un máximo dirigente del ERP-PRT ,Argentina
Polémica entre Prat-Gay y los bancos por el blanqueo  ,Argentina
"📚 Un libro, un lector: el espacio del placer por la literatura  ",Argentina
"Silvia Süller, desopilante visita al programa de Susana  ",Argentina
Separaron a un policía de la Bonarense por planear robos con un preso ,Argentina
El PT se derrumbó en las municipales y crece el partido de Cardoso  ,Argentina
Esto es lo que el running le hace a las partes íntimas masculina  ,Argentina
🙉 La China Suárez rompió el silencio y habló de todo  ,Argentina
👊 No se bancaron perder y golpearon al árbitro y a la policía  ,Argentina
La dupla de conductores para el Martín Fierro de radio  ,Argentina
Así roban en la puerta de una escuela de Moreno  ,Argentina
AMPLIAMOS I Abuelas de Plaza de Mayo recuperó al nieto 121  ,Argentina
Susana Rinaldi contó reaccionaron sus hijos ante su bisexualidad  ,Argentina
Indagaron en Mar del Plata al hombre que habría arrojado una piedra a Macri 👉  ,Argentina
La conoció por Internet y se casó sin saber que era su nieta  ,Argentina
AHORA I Estela de Carlotto confirmó que Abuelas recuperó al nieto 121. ,Argentina
Trump admite haber usado leyes fiscales en su beneficio  ,Argentina
"✈️ Se volará directo a Mar del Plata de Córdoba, Rosario, Mendoza y Tucumán  ",Argentina
AHORA I Macri anunció una rebaja gradual de retenciones a la soja a partir de 2018  ,Argentina
La recaudación tributaria de septiembre aumentó 30%  ,Argentina
"Arnold Schwarzenegger, de fiesta con su hijo extramatrimonial  ",Argentina
⚽️ Messi dio un gran paso en su recuperación  ,Argentina
Lali Espósito le contestó a Mariano Martínez con un video  ,Argentina
"Peleaba la custodia de su hija, lo mataron y ahora la Justicia condenó a la mamá de la nena  ",Argentina
🚘 Subió 5% la venta de autos en septiembre  ,Argentina
Un juez atropelló a una nena y su propio juzgado lo liberó  ,Argentina
"😊 Buenos Aires, las 5° ciudad más visitada de Latinoamérica  ",Argentina
Arranca la temporada en el Sur y Cristina sólo abrirá la mitad de sus hoteles  ,Argentina
⚽️ Macri recibió a los campeones del mundo de futsal  ,Argentina
Quedó en suspenso el fallo que frenaba la suba del gas a las pymes  ,Argentina
RT @Clarin_deportes: Funes Mori: Hay que saber jugar sin Messi  ,Argentina
"Bariloche es el lugar de la Física teórica en Argentina, aseguró el Nobel de Física ...  ",Argentina
"👎 Por la falta de rotaciones, los suelos siguen perdiendo fertilidad  ",Argentina
Desde el Gobierno le contestan a Scioli: Fue el peor gobernador de la historia  ,Argentina
"Hebe durísima contra la CGT: Está embarazada, va a tener un hijo y Macri se lo hizo  ",Argentina
El accidente de Lindsay Lohan: perdió parte de su dedo  ,Argentina
Lanata recorrió el country de los ex funcionarios K en el que hallaron la caja fuerte oculta en un dragón… ,Argentina
Pampita pasó por Mar del Plata y se encontró con Julio Iglesias  ,Argentina
💪 ¿Cómo impacta en nuestro cuerpo el ejercicio y la dieta?  ,Argentina
👉 @mariuvidal y @Guillodietrich invertirán US$ 200 millones en Puerto Quequén  ,Argentina
Serenidad y humo: así vivieron las FARC el sorpresivo plebiscito en Colombia  ,Argentina
El marido de una diputada K increpó a un fotógrafo de Clarín  ,Argentina
La indemnizan con medio millón por tropezar con una baldosa  ,Argentina
Quiso atacar a su ex pareja con un cuchillo: ella y su hermana casi lo linchan ,Argentina
El regreso a una siniestra prisión del ISIS  ,Argentina
"La aerolínea de bajo costo Flybondi, cerca de desembarcar en el país  ",Argentina
El jefe policial que sale a patrullar con una GoPro en el pecho  ,Argentina
RT @ClarinBuenaVida: Anemia en vegetarianos: mitos y verdades  ,Argentina
Macri y Temer: Potenciar el Mercosur y ampliar la relación comercial  ,Argentina
Pergamino: violento robo a un supermercado chino  ,Argentina
Los 47 diputados y senadores que admitieron no tener título universitario ,Argentina
"El desopilante video de Alec Baldwin, imitando a Trump en el debate con Hillary  ",Argentina
RT @MundoClarin: El Papa habla de transexuales y gays en el avión de regreso a Roma  ,Argentina
Se accidentaron Susana Rinaldi y María Graña ,Argentina
RT @clarinextrashow: Nicole Neumann confirmó un mito sobre Pampita  ,Argentina
RT @Clarin_deportes: Los seis goles más rápidos de los últimos 15 años  ,Argentina
Un año de misterio: nada se sabe de las “médicas del espacio”  ,Argentina
Delincuentes entraron a su casa y la tomaron de rehén: la liberó la Policía 👉  ,Argentina
Llegó Temer y se reúne con Macri en Olivos  ,Argentina
⚠ Juzgan a cinco médicos por la muerte de un nene  ,Argentina
Prat-Gay recargado: habló de la interna con Sturzenegger y les pegó a los bancos 👉  ,Argentina
"🏠 Desde mañana, visitan 10.000 casas para la Encuesta Anual de Hogares  ",Argentina
Mala sorpresa y oportunidad perdida: reacciones tras el No en Colombia  ,Argentina
⚽ El ex árbitro Lunati ya no esconde de qué equipo es hincha ,Argentina
"La aerolínea de bajo costo Flybondi, cerca de desembarcar en el país ",Argentina
Michetti y Stolbizer cenaron en Canadá y hablaron de Carrió  ,Argentina
La grieta: el Gobierno trae a ilustres internacionales para que den testimonio  ,Argentina
Contrapunto entre empresarios y gremialistas por el bono de fin de año  ,Argentina
"La autofagia, un sistema de reciclaje celular  ",Argentina
Serenidad y humo: así vivieron las FARC el sorpresivo plebiscito en Colombia  ,Argentina
Macri anuncia al campo que no bajaría las retenciones a la soja  ,Argentina
[Por los pasillos] Frigerio camionero y Dolina peronista  ,Argentina
Nobel de Medicina para Yoshinori Ohsumi por descubrir un proceso clave de las células   ,Argentina
Quisieron robarle el auto a un ex subcomisario y lo balearon ,Argentina
Tres chicos argentinos subieron al podio de las matemáticas  ,Argentina
Video: Lanata recorrió el country de los ex funcionarios kirchneristas  ,Argentina
Cómo es el torneo matemático en el que 3 argentinos sacaron medallas ,Argentina
"[REITERAMOS] Kim Kardashian, asaltada a mano armada en su cuarto de hotel en París ",Argentina
[URGENTE] Atacan a mano armada a Kim Kardashian en un hotel de París. Fue sorprendida por cinco asaltantes. Resultó… ,Argentina
Preocupación en la Rosada por la relación con las provincias ,Argentina
"Interna en la CGT: el jueves, reunión para discutir el paro ",Argentina
Malcorra: El resultado del plebiscito no significa la restauración del conflicto  ,Argentina
“No veo que Cambiemos pueda armar una pata peronista” ,Argentina
Senado: acusan al PJ de frenar una ley anticorrupción clave  ,Argentina
Empresas creen que tendrán más ventas y ganancias en 2017  ,Argentina
El referendum sobre refugiados castiga al premier húngaro  ,Argentina
Macri anuncia al campo que no bajaría las retenciones a la soja  ,Argentina
Tres chicos argentinos subieron al podio de las matemáticas  ,Argentina
Video: Lanata recorrió el country de los ex funcionarios kirchneristas  ,Argentina
Referéndum con sorpresa: los colombianos rechazan el acuerdo de paz con las FARC  ,Argentina
"El líder de las FARC afirmó que, pese al resultado, mantienen su voluntad de paz  ",Argentina
Entran a robar a la casa de una mujer y la ejecutan de un balazo  ,Argentina
"El nuevo mapa de intendentes del PJ, al ritmo de Cristina y Massa  ",Argentina
En Santa Cruz dicen que la situación está “al límite” y rechazan un bono de fin de año  ,Argentina
Salió a festejar el cumpleaños de su marido y la mataron motochorros  ,Argentina
"Santos, tras el triunfo del No: El cese al fuego bilateral sigue y seguirá vigente  ",Argentina
Confirman que Milagro Sala viajaba a Buenos Aires para destrabar fondo  ,Argentina
Así fue el emotivo encuentro de Minguito con Carlitos Balá  ,Argentina
Elena Ferrante: afirman saber quién es la escritora sin cara  ,Argentina
"Gobernadores e intendentes, en alerta por el bono de fin de año  ",Argentina
Investigan al sciolismo por emitir facturas truchas para justificar gastos  ,Argentina
Milongas en riesgo: impulsan una ley para protegerlas  ,Argentina
No es un mal del pasado: cada año hay 270 nuevos casos de lepra  ,Argentina
👶 La primera foto de Baltazar Alfonso  ,Argentina
"ColombiaDecide Los votos del acuerdo por la paz

Sí 6.338.473
No 6.400.516 

 ",Argentina
ColombiaDecide En qué consistía el acuerdo de paz que fue rechazado  ,Argentina
"ColombiaDecide Resultados del plebiscito por la paz: 
SÍ: 49,76%
NO: 50,23%
Mesas informadas: 99,71%… ",Argentina
ColombiaDecide El Papa había asegurado que solo viajaría a Colombia si ganaba el Sí  ,Argentina
ColombiaDecide El NO ganó en las ciudades y el SÍ en las regiones más castigadas por la Guerra contras las FARC… ,Argentina
La Justicia avaló un recorte del Gobierno en la actualización de jubilaciones  ,Argentina
"AHORA I Se cayó el acuerdo de paz en Colombia: en NO ganó con el 50,24% de los votos  ",Argentina
ESCÁNDALO Mariano Martínez: se filtró un audio en el que destroza a Lali Espósito  ,Argentina
"AHORA I Gana el NO en el plebiscito sobre el acuerdo de paz de Colombia con las FARC con el 98,45% de las mesas esc… ",Argentina
👊 El golazo de Belluschi quedó a 43 centésimas de una marca histórica  ,Argentina
"¡Shana Tová! Cuál es el significado de Rosh Hashaná, el año nuevo judío  ",Argentina
"AHORA I Colombia: el no sobrepasa al sí en el plebiscito sobre el acuerdo de paz   con las FARC, con el 90,66 % de… ",Argentina
Belleza XL: furor por una convocatoria para desfilar con talles grandes  ,Argentina
"AHORA | Los colombianos votaron en un plebiscito por el acuerdo de paz con las FARC: primeros datos dan ganador SI,… ",Argentina
🐴 Polo: cómo se fabrica un caballo que vale como un auto de lujo  ,Argentina
Cae una banda que traficaba armas y drogas desde la villa 1-11-14: tenían un arsenal  ,Argentina
⚽️ El Celta de Berizzo volvió a amargar al Barsa en un partidazo  ,Argentina
Julieta Ortega: Hay que tener piel gruesa para resistir en el medio  ,Argentina
La emotiva carta de la mujer de Robin Williams  ,Argentina
👀 Insólitas declaraciones de un funcionario de Macri: La política no le interesa a nadie  ,Argentina
Cómo afecta el sodio alto en el cuerpo humano  ,Argentina
Carrió reveló en el programa de Mirtha que sufre problemas cardíacos  ,Argentina
✒️ Ya se conocen los 10 finalistas del Premio Clarín de Novela  ,Argentina
"Juan Tonelli, el novio de Michetti, la defendió: Es intachable  ",Argentina
"👌 En el placard o en la cancha, las zapatillas cebra tienen su historia  ",Argentina
Gobierno y privados inician la puja por el bono de fin de año 👉  ,Argentina
✈️ Aerolíneas Argentinas sumará frecuencias y rutas para el verano  ,Argentina
La desopilante clase de baile que tomó José Ottavis  ,Argentina
Facultad de Ingeniería: la verdad detrás del mito  ,Argentina
Cómo instalaron la pantalla LED más grande del mundo  ,Argentina
Aerolíneas Argentinas sumará frecuencias y rutas para el verano  ,Argentina
Índice de optimismo: bajan apenas los números para Macri  ,Argentina
Moreno le declaró la guerra a Roberto Navarro porque lo culpó por destruir el INDEC  ,Argentina
La Ciudad tienen su primera Guía de Turismo Integral Accesible  ,Argentina
