text,class
RT @TaxisLibres4: Congestión en la Vía Jamundi sentido N/S Traficocali @elpaiscali,Colombia
En video: @NicolasMaduro ofrece apoyo a Santos y a las Farc para buscar la paz  ,Colombia
¿Usted votó no el plebiscito? ¿Qué le cambiaría a los acuerdos pactados en La Habana? ,Colombia
El No de Hungría. Nuestro editorial del día  ,Colombia
RT @muerganisimo: Video: Toyota sorprende con robot que puede hablar con humanos | EL PAIS  vía @elpaiscali,Colombia
RT @ClasificadosEP: En CaliCo hay una empresa dedicada a la solución de vivienda inmediata. Le contamos de qué se trata  ,Colombia
Farc anuncian que mantienen el cese el fuego tras resultado del plebiscito  ,Colombia
RT @TaxisLibres4: Semáforos fuera de servicio en la Cl 56 Con Cr 5 Traficocali @elpaiscali,Colombia
"Creación de comisión especial, primer paso para buscar una salida tras rechazo a acuerdos  ",Colombia
EE.UU. suspende conversaciones con Rusia sobre tregua en Siria  ,Colombia
¿Deberían trasladar el monumento de Efraín y María a otro lugar?  ,Colombia
Humberto De la Calle continuaría como jefe negociador del Gobierno  ,Colombia
"Estrenan 'The Fourth Phase', la primera película deportiva grabada en 4K  ",Colombia
Estados Unidos apoya a Santos en llamado al diálogo para alcanzar la paz  ,Colombia
"El aeropuerto Alfonso Bonilla Aragón opera normalmente.

¡Bienvenidos!",Colombia
El Pico y Placa corresponde hoy a los vehículos con matrículas terminadas en 1 y 2. Evite sanciones.,Colombia
"Según pronóstico del Ideam, hoy la temperatura mínima en Cali será de 21° C y alcanzará una máxima de 30° C.",Colombia
"El dólar TRM se cotiza hoy en $2.937,23 (subió). Euro: $3.239,77 (bajó).",Colombia
"Buenos días a todos nuestros usuarios.

Abrimos con esta noticia: Gina Parody renuncia al Ministerio de Educación… ",Colombia
Comunidad internacional reitera apoyo a Colombia tras rechazo de acuerdos de paz  ,Colombia
Gina Parody renuncia al Ministerio de Educación  ,Colombia
Agencia Mundial Antidopaje le ofreció disculpas a Óscar Figueroa  ,Colombia
Las tres preguntas clave después del triunfo del NO  ,Colombia
Es necesario un pacto político en Colombia: 'Timochenko'  ,Colombia
Artistas y bandas colombianas estarán en el Womex 2016  ,Colombia
"Descubra más sobre José Luis Perales, el 'poeta de la canción'  ",Colombia
La compañera de 'Gabo' en la construcción de  ‘Noticia de un secuestro’  ,Colombia
Gobierno español insta a fortalecer los esfuerzos de paz en Colombia  ,Colombia
ONU envía emisario a La Habana tras victoria del No en plebiscito por la paz  ,Colombia
Mantenemos intacto nuestro compromiso con la paz: 'Pablo Catatumbo'  ,Colombia
Trump aumenta ataques y Clinton recupera impulso de cara a las elecciones en EE.UU.  ,Colombia
"Explosión en cercanías a estación de Policía de Sevilla, Valle, no dejó heridos ",Colombia
Unión Europea mantiene suspensión de las Farc de lista de grupos terroristas  ,Colombia
Facebook lanza nueva aplicación de compra-venta para usuarios  ,Colombia
Analistas prevén un sombrío panorama para Colombia después del plebiscito  ,Colombia
Colombia tendrá un cupo más en Copa Libertadores desde el 2017  ,Colombia
"Exportaciones del Valle crecieron 5,5% en agosto  ",Colombia
Los aciertos y desaciertos de un proceso de paz que quedó herido  ,Colombia
"Hárold Preciado, delantero del Deportivo Cali, tendrá dos o tres semanas de baja  ",Colombia
Las razones por las que ganó el No en las urnas  ,Colombia
Buscan a guarda de seguridad que habría asesinado a dos personas en Cali ,Colombia
¿Convivir con la corrupción? Por Gustavo Moreno Montalvo  ,Colombia
Sede de la Federación Colombiana de Fútbol fue inaugurada en Bogotá  ,Colombia
¿Quién es Yoshinori Ohsumi y por qué ganó el Nobel de Medicina?  ,Colombia
"Más turismo, ¿y servicio? Por Víctor Diusabá Rojas  ",Colombia
¿Qué significa la jornada del plebiscito para las presidenciales del 2018?  ,Colombia
Fiscalía aplazó cumbre con el Departamento de Justica de EE.UU.  ,Colombia
James Rodríguez llegó a Paraguay y será evaluado de su lesión  ,Colombia
"¿Por qué el centro del país voto No, pero Cali y el Valle se fueron por el Sí?  ",Colombia
Carta a ex Timochenko. Por Pedro Medellin Torres  ,Colombia
Agencia Mundial Antidopaje le pidió disculpas a Óscar Figueroa  ,Colombia
Primeras víctimas en Haití tras paso de huracán Matthew  ,Colombia
Desazón en los pueblos golpeados por la guerra tras el No en el plebiscito  ,Colombia
¿Cree que es posible renegociar el acuerdo de paz con las Farc?,Colombia
Lo que sigue. Por Antonio de Roux ,Colombia
Óscar Figueroa: Estoy tranquilo porque consumí un medicamento autorizado  ,Colombia
Fuerte alza del dólar en Colombia de $65 tras resultado del plebiscito  ,Colombia
¿Se pueden renegociar los acuerdos de paz?  ,Colombia
RT @TaxisLibres4: Congestión vehicular en la Cl 34 con 10  Traficocali @elpaiscali,Colombia
Sorpresa y lágrimas: las caras del plebiscito por la paz en Cali  ,Colombia
"Deportes Si aún no sabe qué pasó con el pesista colombiano Óscar Figueroa, aquí le dejamos este gif… ",Colombia
Queremos aportar a un pacto nacional: Uribe ante triunfo del No en el plebiscito  ,Colombia
