text,class
"Dimite el presidente de la Cámara de Comercio de Orihuela
 ",Spain
"Pilar Andújar da una clase magistral de flamenco en inglés ¡Conoce todos los detalles! 
 ",Spain
"La Eurocámara debate regalar un billete de Interrail a los jóvenes que cumplan 18 años
 ",Spain
"Herido un hombre de 71 años al caerle el techo de un garaje en Els Poblets
",Spain
"El Congreso debate hoy la derogación de la LOMCE
 ",Spain
Una casa situada dentro del radio en el que se pierde la señal del móvil de la joven podría tener la clave ,Spain
Los investigados grabaron los hechos de la ciudad andaluza en un móvil y compartieron un vídeo en un chat ,Spain
Acusan a Camps de plagio en la tesis que leyó en la @UniversidadMH  ,Spain
"El juicio a la última cúpula de la CAM, pendiente sólo de fecha. Informa @Merchegallegop   ",Spain
[GALERÍA] La Policía Nacional pondrá en marcha en Alicante una sala del 091 para la provincia. @pedrocerradadel… ,Spain
José Luis Cifuentes (@CifuentesCs) dimite como portavoz de @CiudadanosCs y deja su acta de concejal.… ,Spain
"Rato asegura que el alcoyano Francisco Verdú no puso reparos a las tarjetas 'black'
",Spain
Investigan la muerte de un hombre tras caer por el hueco de la escalera desde un 6º piso en Torrevieja… ,Spain
A batazo limpio en pleno centro de Alicante ,Spain
Los trabajadores de Afema se encierran para exigir que el Consell pague sus nóminas. Informa @pinoalberola… ,Spain
"FelizMartes Google lanza hoy 'Pixel', el primer 'smartphone' de su propia marca
 ",Spain
Educación no paga el sueldo de septiembre a más de 700 interinos en la provincia. Informa @bicvictoria… ,Spain
"En directo | Bárcenas y Correa, recibidos con insultos a su llegada al juicio de Gürtel  ",Spain
No te pierdas la entrevista a Miguel Otero (@miotei) del @rielcano sobre el Brexit. Por @davidnavarro_al ,Spain
RT @inf_cultura: Francis Mojica: «Ser el que abre el camino no te lo quita nadie» @UA_Universidad  ,Spain
Diputación abre otro frente con el Consell y rechaza sumarse al código de Buen Gobierno. Informa @sandra_llinares ,Spain
Ferri y Baldó piden espaciar sus comparecencias en el juzgado. Informa @Merchegallegop  ,Spain
"Paro El final de la campaña turística deja 957 parados más en la provincia de Alicante
 ",Spain
Benidorm Dos colosos en peligro de demolición ,Spain
.@ximopuig abre la puerta a debatir si el @psoe avala un gobierno de @marianorajoy y tensa el Consell. Por… ,Spain
Bruselas excluye de sus planes estratégicos la conexión ferroviaria Alicante - Murcia  ,Spain
"Abróchense las gürtel, que arranca el juicio del año en España ",Spain
"De momento, Google no ha dicho ni pío. Los abogados seguirán llamando a ver si tienen suerte. ",Spain
"Lo de Ikea en Alicante, como el parto de la burra ",Spain
¡Buenos días! Aquí te dejamos nuestra portada de hoy ,Spain
Los documentes están relacionados con el análisis de riesgos en la línea en que descarriló el tren ,Spain
Ser juzgado por esto es un honor ,Spain
En caso de tener que repetir los comicios la jornada electoral sería el 18 de diciembre ,Spain
"Más de 2,7 millones de jóvenes eligen en Francia el español ",Spain
«Ser candidato al Nobel debería servir para que vean que aquí se hace buena ciencia»  ,Spain
.@gechavarri reclamará la expulsión de cualquier socialista que respalde un Gobierno de @marianorajoy… ,Spain
Un 70% de los colegios estrena jornada continua y firman para pagar extraescolares. Informa @bicvictoria… ,Spain
Los trabajos de investigación sobre la desaparición de Diana Quer siguen sin apenas variación ,Spain
Alicante recibe 11 millones de Europa para rehabilitar el entorno de Las Cigarreras  ,Spain
El edil Buades apoya a Cifuentes y evidencia la fractura interna de C's en Alicante  ,Spain
"El ilicitano Juan Francisco Martínez Mojica se queda sin el Nobel de Medicina
 ",Spain
"Un joven resulta herido grave en una reyerta con otro hombre en Villena
",Spain
La investigación del científico alicantino Bernat Soria ya se aplica en humanos en Estados Unidos… ,Spain
"La jornada continua arranca en 22 colegios de Elche
  ",Spain
"El precio de la vivienda sube un 2,3% en Alicante durante el primer semestre del año
",Spain
Elche Un incendio calcina 400 metros cuadrados de paja en la carretera del León  ,Spain
".@HawkersCo logra 50 millones de financiación y da entrada a los fundadores de Tuenti
  ",Spain
"Detenido en El Altet por secuestrar a una familia en Irlanda para robar un furgón blindado
 ",Spain
"La gestora se reúne ya este lunes en Ferraz para definir la nueva estrategia del PSOE
",Spain
Alicante se afianza como puerto de salida al duplicar el número de cruceros en 2017  ,Spain
El ilicitano Juan Francisco Martínez Mojica aspira hoy al Premio Nobel de Medicina  ,Spain
A la espera de conocer el comunicado anunciado hoy por Cifuentes... ,Spain
Un testigo asegura que vio a dos chicas y un chico detrás de los cipreses antes de arder. ,Spain
"Por los pelos, pero ha sido un no ",Spain
"Ximo Puig dice «no» a Rajoy, el Hércules logra en Badalona el primer empate de la temporada, y más: portada ",Spain
"Tres incendios declarados en sólo media hora en Babel ponen en jaque a los bomberos
 ",Spain
"¿Sabes cómo hacer que la batería de tu móvil dure más? 
",Spain
"Benidorm se rinde a los pies de la cruz y la media luna
",Spain
"¿Harto de las redes sociales? Así puedes borrar tus cuentas
 ",Spain
"Las 10 escenas digitales más lamentables del cine
",Spain
"Primer empate para el Hércules (@cfhercules) en un «tostón» 
",Spain
"GALERÍA  |  Así están algunos de los accesos más importantes de Alicante
 ",Spain
"El Real Madrid no puede con el Eibar y suma un nuevo empate
 ",Spain
"Los vídeos de perros más entrañables de la red
",Spain
"El HLA Lucentum (@FundLucentum) apabulla en su primer examen de la temporada (83-54)
 ",Spain
"VÍDEO | Cospedal: España vive un momento complicado
 ",Spain
"La dimisión de Sánchez no garantiza la abstención del PSOE con Rajoy
",Spain
"Ingresan a una joven tras un ritual de exorcismo en Oviedo
",Spain
