text,class
⚽️ FIFA castiga a Chile y no podrá jugar ante Venezuela en el Estadio Nacional  ,Chile
¿Qué te parece que el partido con Venezuela no se juegue en el Nacional? Opina usando el hashtag ElDeportivoLT⚽️… ,Chile
⚽️ Eliminatorias: Chile tiene a los hinchas de peor comportamiento del mundo según la FIFA  ,Chile
Más barrabrava que arquero: meta que aún pertenece a la U fue sorprendido el domingo en Los de Abajo… ,Chile
Elecciones municipales: Bachelet hace un llamado a votar en medio de inquietud por posible abstención… ,Chile
¡Comienza ElDeportivoLT⚽️! El nuevo castigo de la Fifa para Chile y la previa del partido ante Ecuador lo vemos en ,Chile
Por qué el plutonio para armamento nuclear provocó un nuevo roce entre Estados Unidos y Rusia… ,Chile
"Por ahora, 58% de nuestros seguidores siente que puede haber un cambio de comportamiento en la hinchada nacional. ¡Sigan votando!",Chile
Gobierno apuesta a votos de RN para salvar proyecto de intendentes  ,Chile
"De momento, el 67% de nuestros seguidores que ha votado cree que es justo que Chile gane por secretaría los puntos del duelo ante Bolivia.",Chile
"RT @Nahareno: Colegio de Teno lidera ranking en Simce de Escritura, pero es el único público entre los top 20  vía @…",Chile
⚽️ Nelson Cabrera: Lo que pide Chile no procede  ,Chile
"RT @atapia2013: Lula El PT pierde al 59% de sus alcaldes en las municipales, sus peores comicios en los últimos 20 años ",Chile
RT @lt_deportes: ¿Crees que se puede mejorar el comportamiento del público y evitar más sanciones? Súmate a ElDeportivoLT ,Chile
RT @lt_deportes: ¿Es justo que Chile gane por secretaría los puntos que perdió en cancha contra Bolivia? Comenta junto a ElDeportivoLT htt…,Chile
Caso Litio | El correo de ex subsecretario donde dice que les van a caer sus milloncitos y que investiga fiscalía… ,Chile
Papa realiza visita sorpresiva para consolar a afectados del terremoto en Italia  ,Chile
🎸 El festival del siglo: sus soberanos y su invitado de piedra  ,Chile
LTenVivo 🎤 | María Colores cierra su presentación con No depende de mí. No te la pierdas en… ,Chile
"RT @lt_deportes: ¿Le responderá Rubén Selman a @SolabarrietaFdo? Desde las 12, no te pierdas lo que pasará hoy en ElDeportivoLT ",Chile
Dónde ver los partidos de la doble fecha Eliminatoria  ,Chile
LTenVivo 🎤 | María Colores confirma que lanzará nuevo single en nuestra transmisión en  ,Chile
Zapatillas de Volver al Futuro desde hoy son una realidad  ,Chile
🔴  AlertaLT | Gaspar Rivas señala que audiencia por querella de Andrónico Luksic se realizará a las 12:30 horas. ,Chile
Aprueban plan de descontaminación de Santiago: se aplicará restricción a más de un millón de autos… ,Chile
LTenVivo 🎤 | No importa si me pierdo. María Colores canta para nosotros. No te pierdas su presentación en… ,Chile
"Más barrabrava que arquero: meta que aún pertenece a la U, fue sorprendido el domingo en Los de Abajo… ",Chile
LTenVivo 🎤 | María Colores: En Chile falta apoyarnos un poco más  ,Chile
⚽️ Eliminatorias: Chile tiene a los hinchas de peor comportamiento del mundo según la FIFA  ,Chile
LTenVivo 🎤 | María Colores: Mi apodo es porque soy muy camaleónica y cambio mucho. Tiene que ver con ese juego… ,Chile
La antigua casa del Clan Puccio vuelve a la vida  ,Chile
LTenVivo 🎤: Estamos con María Colores. No te pierdas su presentación + entrevista en  ,Chile
Presidenta Bachelet: Chile sigue siendo la economía más competitiva de América Latina  ,Chile
