text,class
RT @redrumblues: TeresaRodriguezEnLaCafetera ya tengo la app de la cafeteraaaaa!!!!! Me falta hacerme el telegram y la taza,Spain
La anestesia en la que estamos cayendo es desastrosa... ,Spain
@F_a_q64 Ni idea. Pero si lo encuentro me escondo allí,Spain
"@loganhartible hombre , hasta ahí llegaba. Entiéndaseme la ironía . Jajaja",Spain
"RT @radiocable: Hoy en TeresaRodriguezEnLaCafetera hablamos con la líder de @ahorapodemos en Andalucía. 
 
Play Mp3
",Spain
"RT @mariapuntoes: La Cafetera entrevista a @TeresaRodr_
Escúchalo:  TeresaRodriguezEnLaCafetera ",Spain
"RT @manuegido: Calais, el fracaso de Europa  TeresaRodriguezEnLaCafetera",Spain
"Hoy en TeresaRodriguezEnLaCafetera hablamos con la líder de @ahorapodemos en Andalucía. 
 
Play Mp3… ",Spain
"RT @mfernanda_bd: Por qué soy mecenas de LaCafetera de @radiocable ? Por programas como el de hoy, sosiego, identidad, empatía TeresaRodr…",Spain
@Rafasutemi Eres muy generoso . Gracias Rafa,Spain
RT @Rafasutemi: @radiocable Qué final hoy en La cafetera...cada día más enamorado de este maravilloso programa...gracias Fernando Berlín!,Spain
TeresaRodriguezEnLaCafetera . Entrevista con @teresarodr_ líder de Podemos en Andalucía:  vía @YouTube,Spain
RT @brusual: Ayuda a La Cafetera: Hazte suscriptor. Preguntas y respuestas:  - via:@radiocable,Spain
EN DIRECTO: TeresaRodriguezEnLaCafetera . Entrevista con @teresarodr_ líder de Podemos en Andalucía en spreaker ,Spain
Si crees que tu mundo se derrumba es que ya has visto la foto actual de MacGyver ,Spain
RT @jpfbadcock: Good morning Gurtel. My curtain-raiser for BBC News - Whistle-blower who took on Spain's ruling elite ,Spain
". @gerardotc , ya sólo falta q se lo diga a El Corte Ingles , 

jajja ",Spain
RT @DemocracyNowEs: Informe: El Pentágono pagó a compañía de relaciones públicas para que produjera videos falsos de Al Qaeda en Irak ,Spain
RT @almuariza: Esto es lo que veo cada noche a dos calles de mi casa. NuevaYork  tiene ya 60.000 sin techo. ,Spain
@AntonioMiguelC te estas matando Carmona. Jajaja .buenos días,Spain
"RT @claudiperez: Si España anuncia recortes estructurales de 5.000 millones en 2017, la Comision descongelará fondos europeos por importe d…",Spain
RT @fdeflaqueza: Oyendo a Josep Borrell en apocaliPSOEintermedio debemos reparar en lo q ha cambiado este país desde el 15M. Entre otras c…,Spain
"Glorioso, glorioso, Wyoming cosiendo la bandera del PSOE junto a las tumbas de Pedro Sánchez y Zapatero ...",Spain
¿Algún vídeo-audio de estas ultimas horas que quereis que saquemos mañana en La Cafetera?,Spain
RT @ernesturtasun: Ahora en Comisión ECON/REGI sobre la suspensión de los fondos de  la política de cohesión en España. Presionando para qu…,Spain
@luciaevasanchez Solo podía quedarme hasta mediodía. Llevaba todo el día sin ver a mi hijo .,Spain
"Page avisa a PP: Que no nos ponga a prueba. O podemos presentar la candidatura más potente que puedan imaginar

",Spain
@Pgotera que va. El enfrentamiento interno contra Sánchez es real. Muchísima tensión.,Spain
RT @Cambio16: Javier Fernández reunirá a los barones para ver cómo evitan nuevas elecciones PSOE  ,Spain
RT @fmanetto: Rajoy se ha puesto en contacto este lunes con Javier Fernández. La llamada ha sido protocolaria,Spain
"RT @pilarpai: Tres grandes empresas están a punto de controlar la mayoría d semillas, pesticidas y suministros agrícolas del mundo ",Spain
"RT @basteiro: Los mariachis vuelven a Ferraz. Ay, ay, morena, ay, ay, mi amor. Ay, mi Susana de mi corazón ",Spain
"RT @JorgeGalindo: El gran fracaso de las encuestas en Colombia: solo una le acertó a la victoria del 'No', y casi todas tienen desviaciones…",Spain
"@AcLuzi hay un pequeño atasco de mensajes, jejeje abrazo!",Spain
"RT @lcaldito: .@javier_asturias asume que la peor de las soluciones para el PSOE y para España es ir a elecciones
",Spain
RT @Jorge_Mtnez: La hostia se ha oído en Taiwán. ,Spain
@aruca212 No. Lo q he defendido es q se hable claro.,Spain
RT @josanmef: @Pistolitasrguez puedes seguir a @radiocable por internet.Te recomiendo la APP de LaCafetera para oirlo a diario en directo…,Spain
"RT @enriquehuno: Hoy en @radiocable escucho a @odonelorza2011 con una interesante teoría sobre el futuro de @sanchezcastejon escucha

",Spain
"@Manuel_Entrena @SiPeroNo1 perdón , quería decir PP como decía Siperono",Spain
"@cunao_a_jierros A veces más q fiestas parecen funerales. Q se lo digan a Jesús Gil , que las ganaba bien.",Spain
"Hoy en LaCafetera : el lío q se ha montado complica la abstención del PSOE que busca ahora alternativas: 

",Spain
@SiPeroNo1 en lo q estoy totalmente de acuerdo es q esto no se hace sin conocimiento del Psoe,Spain
@SiPeroNo1 bueno los críticos pensaban q Schez dimitiría el primer día al ver las 17 bajas,Spain
@PanchiArriagaPi Hola. Mil gracias por la confianza lo primero. Accede a  allí puedes entrar con esa clave. Abrazo!,Spain
@Anaramon43 No entiendo. ¿Qué ha pasado? No salía el programa de hoy?,Spain
"Hoy en LaCafeteraRosasyEspinas Análisis de la situación con @odonelorza2011 
 
PLAY MP3
 ",Spain
"RT @troitita: LaCafeteraRosasyEspinas
Yo tambien escucho @radiocable ,un programa con un tono tranquilo y agradable,algo increíble hoy día.",Spain
"RT @radiocable: El periodismo es una herramienta DE los ciudadanos. Necesitamos tu ayuda para defenderlo.

 ",Spain
"RT @radiocable: Recuerda, con la APP de La Cafetera escuchas el programa en tu móvil muy cómodamente 
 
",Spain
"RT @radiocable: Necesitamos tu ayuda para construir otro periodismo. Sin ella no se puede. 

 ",Spain
