text,class
786376157234999296,Diputado Becker critica marginación de Tohá en formalizaciones por SQM: Claramente funcionó el blindaje del PPD… ,Chile
786375973084233728,PANORAMAS | Falta poco para el Spring Fest Fantasilandia 2016  ,Chile
786375401454997504,😱 Extraña moda de payasos siniestros afecta a emblemático personaje de cadena de comida rápida… ,Chile
786374897832427520,Con vida aparece carabinero desaparecido en zona fronteriza de Antofagasta  ,Chile
786374719394181120,FOTOS | Equipo de fútbol portugués lanzó colección de trajes de novia  ,Chile
786374143868489728,UnMinutoPorLosNiños: Rostros se refieren al trasfondo del video que protesta contra muertes en el Sename… ,Chile
786373891593736192,Chile entre los con mayor posesión y remates al arco: El podio de la fecha 10 de las Clasificatorias… ,Chile
786373461690179584,Protagonista de Selma critica a Game of Thrones por poca diversidad racial en roles principales… ,Chile
786372194129567744,Furia en Gran Bretaña luego de que un joven vestido de payaso siniestro asustara a una embarazada… ,Chile
786371300424032257,Diputado Becker critica marginación de Tohá en formalizaciones por SQM: Claramente funcionó el blindaje del PPD… ,Chile
786371170912329728,Ni París ni Frankfurt: Viena es una atractiva opción para ser la capital financiera de Europa… ,Chile
786371123248242689,Comisión de Constitución de la Cámara despacha proyecto de elección directa de intendentes  ,Chile
786369645821456385,Chilavert y la victoria sobre Argentina: Es el triunfo más grande del fútbol de Paraguay en su historia… ,Chile
786368451795415040,Utiliza AcuseteEmol y comparte las irregularidades que detectes en las campañas de los candidatos de tu comuna… ,Chile
786367152311963648,🎬 Guía para cinéfilos: Algunas de las cintas imperdibles del Festival de Cine de Valdivia  ,Chile
786365887662137348,En Colo Colo postulan a Esteban Pavez y Martín Rodríguez para la Roja  ,Chile
786364831578329088,Andrade y cambios de domicilio: De parte de nuestras autoridades hay una actitud de cierta displicencia… ,Chile
786364611201273856,PPD anuncia sus máximos esfuerzos para tener candidato presidencial único junto al PS  ,Chile
786363432639553536,INFOGRAFÍA | La crisis de Samsung y el Galaxy Note 7 en cifras  ,Chile
786362108279652353,FOTO | Mujer policía tuvo tierno gesto con niño que pasaba por un mal día  ,Chile
786361308149055489,Candidata a concejala por Lo Barnechea suma apoyo de actor de Game of Thrones para su campaña… ,Chile
786360879214387200,Científicos proponen la creación del primer país espacial para proteger al planeta  ,Chile
786359799369773056,Con vida aparece carabinero desaparecido en zona fronteriza de Antofagasta  ,Chile
786359627113984002,"Columna de Astronomía: Estaciones del año, viejos pascueros y el método científico  ",Chile
786358356512473088,Leonard Cohen tras fallecimiento de su musa y ex pareja: Estoy listo para morir  ,Chile
786357098246467584,Copiapó: 22 de los 33 mineros rescatados firman carta en rechazo al proyecto de ley de aborto… ,Chile
786356079953383424,Del atropello a Alexis al gesto de la Presidenta Bachelet: Lo que no se vio del triunfo de Chile… ,Chile
786355775350382593,Comisión de Constitución de la Cámara despacha proyecto de elección directa de intendentes  ,Chile
786354861562626048,Con vida aparece carabinero desaparecido en zona fronteriza de Antofagasta  ,Chile
786353303424819201,Chilavert y la victoria sobre Argentina: Es el triunfo más grande del fútbol de Paraguay en su historia… ,Chile
786352500039311360,VIDEO | Conoce al activista ecológico que paseará 30 días por NY vestido con su propia basura… ,Chile
786352053618675715,🎬 Guía para cinéfilos: Algunas de las cintas imperdibles del Festival de Cine de Valdivia  ,Chile
786350957579952133,Comisión de Constitución de la Cámara despacha proyecto de elección directa de intendentes  ,Chile
786350785726668800,En Colo Colo postulan a Esteban Pavez y Martín Rodríguez para la Roja  ,Chile
786349984178380800,Actor de Harry Potter revela que lleva diez años luchando contra la depresión  ,Chile
786349520393277441,"Fiebre, goles y celebraciones, las sufridas y emocionantes últimas 24 horas de Vidal  ",Chile
786348725929070594,FOTOS | ¿Qué hace que algo sea vulgar? Una exposición de ropa quiere revelar el origen de la ordinariez… ,Chile
786348473545289728,Municipales 2016: ¿Qué sector podría beneficiarse de la abstención en las urnas?  ,Chile
786348369757237248,Astrónomo chileno lidera proyecto para observar exoplaneta cercano a la Tierra  ,Chile
786347215648194560,Mentiras Verdaderas celebra cinco años al aire con Jean Philippe Cretton y Eduardo Fuentes de invitados… ,Chile
786347005517950976,FOTOS | NoMakeup: La tendencia que se toma las redes sociales de las famosas  ,Chile
786346712570834944,Productora pagará multa millonaria por accidente de Harrison Ford en rodaje de Star Wars  ,Chile
786345810418143232,PANORAMAS | Pet Shop Boys se presentará en Espacio Riesco  ,Chile
786345202432741376,😱 Extraña moda de payasos siniestros afecta a emblemático personaje de cadena de comida rápida… ,Chile
786345202042544128,"Tras 5 años de prohibición, Latam Argentina podrá volar desde Aeroparque a Santiago  ",Chile
786344538763694080,Neruda competirá junto a otras 84 películas por el Oscar a Mejor película extranjera  ,Chile
786343944745472001,UnMinutoPorLosNiños: Rostros se refieren al trasfondo del video que protesta contra muertes en el Sename… ,Chile
786343692672110592,Chile entre los con mayor posesión y remates al arco: El podio de la fecha 10 de las Clasificatorias… ,Chile
786343256623808513,FOTO | Janet Jackson confirma que espera su primer hijo a sus 50 años  ,Chile
