id_str,text,class
786721056220450817,Selena Gómez ingresa a rehabilitación para tratar problemas psiquiátricos  ,USA
786715740967727104,Chayanne ya huele a suegro: Mira cómo creció su hija  ,USA
786710710575370241,Floy Mayweather Jr. llenó una habitación con strippers en un hotel y se dio gusto  ,USA
786705679138553857,"Animales Fantásticos, el spin-off de Harry Potter, será una saga de 5 películas  ",USA
786700647097925632,¿Ana La Salvia y Fernando Alonso tuvieron sexo en ‘La Isla’ de TV Azteca?  ,USA
786695613668855808,Historia de horror: tres hermanitos fueron explotados sexualmente por mujer de Orange  ,USA
786690827384975360,Mujer de 84 años desaparece tras tomar vuelo de Guatemala a LAX  ,USA
786685544080302080,Video: Elisa Beristain regresa a ‘Rica Famosa Latina’  ,USA
786680011864543232,Inmigración será uno de los temas principales del último debate Trump-Clinton  ,USA
786675229649240064,"Carlos Salcedo, otro futbolista en problemas por ser padre irresponsable  ",USA
786669675585372165,Primera dama Michelle Obama deplora actitud de candidato republicano a la presidencia  ,USA
786664144502157312,Maradona dice que Messi no es más que Cristiano Ronaldo y viceversa  ,USA
786658668360138752,Peleador del UFC reta a Ibrahimovic y recibe una paliza  ,USA
786653885532430337,Montserrat Oliver podría tener problemas legales por supuesto fraude  ,USA
786649102729740288,Maradona dice que Messi no es más que Cristiano Ronaldo y viceversa  ,USA
786643314858655744,Acusan a Matías Almeyda de fraude  ,USA
786638029016403968,Juez abre puerta para juzgar a Christie en caso “Bridgegate”  ,USA
786633283253723136,Ordenan a fiscalía revelar nombre de grupos terroristas asentados en México  ,USA
786627594921865217,"Récenle a Messi, recen por Messi  ",USA
786622564357574657,Los jugadores de Argentina sienten que pueden perderse el Mundial de Rusia 2018  ,USA
786617526314762240,Trump acusa al New York Times y a People de fabricar denuncias en su contra  ,USA
786612219668754432,Peleador del UFC reta a Ibrahimovic y recibe una paliza  ,USA
786606938385711104,CHP encuentra cadáver en medio de Autopista 710  ,USA
786601423513460736,¿Desayunaste cereal? Ojalá no haya sido de las 15 marcas que tienen pesticidas  ,USA
786596110248935424,Accidente mortal provoca cierra de Autopista 10 rumbo a Los Ángeles  ,USA
786591091290214400,Video: ¡Santa ‘Cuauhteminha’! El ‘Temo’ se lució ante el Papa Francisco  ,USA
786586031227297792,Laura Zapata responde a Niurka Marcos: ‘Hasta en las perras hay razas’  ,USA
786580906127548416,Aseguran que Trump entraba al vestidor de Miss Teen USA  ,USA
786575372737515520,Ricky Martin habla de su pareja Jwan Josef  ,USA
786570336062017536,Detective que investigaba caso de violación de estrella de la NBA aparece muerta  ,USA
786564773299228673,Video: Jennifer López y Marc Anthony presumen lo bien que la pasan juntos  ,USA
786559232925700096,La primera relación de Miley Cyrus fue con…  ,USA
786553960870150144,Maradona y la “Brujita” Verón se enfrascan en un pleito ¡en pleno Partido por la Paz!  ,USA
786553700500332544,Clama por video en YouTube para que su esposo no la mate  ,USA
786550178127966208,Fotos: Angelique Boyer y Sebastian Rulli lucen cuerpazo en la playa  ,USA
786546650630193153,El “explosivo” hallazgo que dejó al descubierto Matthew en Carolina del Sur  ,USA
786542896774320128,Entrenador de natación arrestado por tener sexo con menor  ,USA
786539102699159552,Video: Hijos de Jenni Rivera ‘tomarán al toro por los cuernos’ en ‘The Riveras’  ,USA
786535488760971264,Ni te imaginas quiénes fueron los que amenazaron de muerte a James Rodríguez  ,USA
786531697248575488,El regalo de esta instructora a indigente tiene a internet revuelto  ,USA
786527924606398464,Se fugan 150 cobras bebé y las autoridades apenas se enteraron  ,USA
786526925032398848,Cachita: Su tormentosa vida y su triste final  ,USA
786523141942153216,Video: Sissi Fleitas asegura que Gloria Trevi y Mary Boquitas fueron amantes  ,USA
786519370986033152,Adrien Broner publicó mensajes suicidas y no se sabe su paradero  ,USA
786515602240315393,Los 10 uniformes para recordar (por bellos o feos) en la historia del América  ,USA
786511810618851328,"Vivir tu propia muerte, la terapia de choque para combatir suicidos en Corea  ",USA
786508059493400576,Nike sacó una colección de camisetas para celebrar el centenario del América  ,USA
786504032185622528,Esto dijo Andrea Bocelli de Juan Gabriel  ,USA
786500255563087872,Conor McGregor y Floyd Mayweather critican el UFC  ,USA
786496481889050624,Messi alargó la noche para ver a Argentina y se entrenó por la mañana en Barcelona  ,USA
786494717810835456,Kim Kardashian se defiende del sitio que la acusa de inventar su robo en París  ,USA
786490950726086656,"Yo quiero sexo, y ¿por qué él no?  ",USA
786489223675273216,Cinco datos curiosos sobre tu saliva  ,USA
786485449434996736,El extraño mal que daña seriamente el cerebro de los astronautas que van a Marte  ,USA
786481668337049600,La metanfetamina y otras drogas de las que Hitler era adicto  ,USA
786477896546344960,Cubs: ‘El Rally’ que es símbolo de la victoria  ,USA
786474119957209088,"Video: Trash man, el hombre que recorre las calles de NY vestido con su propia basura  ",USA
786470284790464512,Mujer trató de quitarse la vida saltando de quinto piso en corte de Long Beach  ,USA
786466509044473856,Presentadora de Telemundo pilla a marido besándose con otra por redes  ,USA
786462741083160576,"Fotos: “He visto muchas muertes, pero nada como esto”  ",USA
786457556310978560,"Fotos: Así quedó atrapado este águila luego del paso de Matthew, y entonces…  ",USA
786452778063368192,También los zombies cobran vida para aterrorizar y robar en el sur de California  ,USA
786447743246008320,"Videos: A Hoshi le sacaron los ojos, pero afortunadamente encontró a un pequeño gran amigo  ",USA
786442456023830528,Aseguran que la casa de ‘Chespirito’ no se vende porque está embrujada  ,USA
786437431876812800,Conor McGregor sale con un nuevo berrinche  ,USA
786432138157719552,Esto dijo Andrea Bocelli de Juan Gabriel  ,USA
786426601198223360,LauraZapata responde a NiurkaMarcos: ‘Hasta en las perras hay razas’  ,USA
786420816011489281,Video: Sissi Fleitas asegura que Gloria Trevi y Mary Boquitas fueron amantes  ,USA
786416031917019136,Los Dodgers llegan sin brazos al duelo definitivo ante Washington  ,USA
786410996491485185,Mira lo que dijo Lucía Mendez de Verónica Castro tras cancelación de obra  ,USA
786405966145355777,Esto es lo que pasa cuando tienes ovario poliquístico  ,USA
786400690478252032,Hoy es el cumpleaños 100 del América y este es nuestro Once Ideal del centenario  ,USA
786395909504454657,Ronda Rousey regresará en el UFC 207 ante Amanda Nunes  ,USA
786390494716628992,Video: ¡Santa ‘Cuauhteminha’! El ‘Temo’ se lució ante el Papa Francisco  ,USA
786385448562196480,Fotos: Angelique Boyer y Sebastian Rulli lucen cuerpazo en la playa  ,USA
786379910428422144,Video: Jennifer López y Marc Anthony presumen lo bien que la pasan juntos  ,USA
786374907655487488,Video: Hijos de Jenni Rivera ‘tomarán al toro por los cuernos’ en ‘The Riveras’  ,USA
786370354398855168,VIDEO: Dos mujeres revelan supuestos manoseos de Trump  ,USA
786369588699230209,Dimite el presidente de Wells Fargo  ,USA
786364631916961792,El “explosivo” hallazgo que dejó al descubierto Matthew en Carolina del Sur  ,USA
786359528241717248,Detective que investigaba caso de violación de estrella de la NBA aparece muerta  ,USA
786354768637812736,José Ramón Fernández ¿felicita al América?  ,USA
786349710575542272,La primera relación de Miley Cyrus fue con…  ,USA
786344181182689280,Maradona y la “Brujita” Verón se enfrascan en un pleito ¡en pleno Partido por la Paz! | La Opinión… ,USA
786338891339030528,Cachita: Su tormentosa vida y su triste final  ,USA
786333856815280128,Fotos: Maluma tiene un ‘doble’ ¡Y es mexicano!  ,USA
786328823482683392,Yasiel Puig quiere jugar para México en el Clásico Mundial de Béisbol 2017  ,USA
786323784450138112,Ricky Martin habla de su pareja Jwan Josef ,USA
786318491611783173,Las Águilas del América celebran su centenario con el video: “100 años de grandeza”  ,USA
786313201847853057,Miércoles de powerball juega lotto y verificas tus números  ,USA
786308926253989888,Se fugan 150 cobras bebé y las autoridades apenas se enteraron  ,USA
786304400172154880,Aseguran que Trump entraba al vestidor de Miss Teen USA  ,USA
786299620389453824,Las ÁguilasdelAmérica celebran su centenario con el video: “100 años de grandeza”  ,USA
