text,class
786388515940630529,Aseguran a 11 inmigrantes escondidos en camión en NuevoLeón  ,Mexico
786386056623038464,"Hoy, Benjamín Serment, presunto autor de la muerte de sus padres, estará con @Adela_Micha en LaEntrevistaXAdela po… ",Mexico
786383495983730688,Fundación de @shakira niega donación de 15 millones de dólares para Haití  ,Mexico
786380974519160832,"Ximena, la niña milagro del beato José Sánchez del Río  ",Mexico
786378485308743680,Republicanos lanzan anuncio y prevén la derrota de @realDonaldTrump  ,Mexico
786375941996048385,Asegura @NicolasMaduro que @HillaryClinton y @realDonaldTrump  no tienen nada bueno para América Latina… ,Mexico
786373423287136256,Recibe Congreso de Veracruz solicitud de licencia de @Javier_Duarte  ,Mexico
786370889851899906,"Esta noche, Benjamín Serment hablará del homicidio de sus padres en LaEntrevistaXAdela con @Adela_Micha por… ",Mexico
786368389908488192,Wall Street cierra con pocos cambios tras minutas de la Reserva Federal  ,Mexico
786365871543447552,Se aceptó recomendación de la @CNDH sobre caso Tetelcingo: @gracoramirez  ,Mexico
786363389723439105,México y EU frenan contrabando valuado en 2 billones de dólares  ,Mexico
786360849388728320,Se reúne @EPN con el Presidente del Banco Central de Alemania  ,Mexico
786358321360015360,"Dólar cede terreno, cierra en $19.34 a la venta en bancos  ",Mexico
786355864580096002,"Esta noche, el hijo del cineasta León Serment, acusado del homicidio de su padre, estará en LaEntrevistaXAdela con… ",Mexico
786353286693720064,Canadá eliminará las visas en diciembre  ,Mexico
786350770321027072,"No permitas que la lluvia retrase tu regreso a casa, checa tus opciones viales en Waze:  ",Mexico
786348294662393856,Recibe Congreso de Veracruz solicitud de licencia de @Javier_Duarte  ,Mexico
786348231919665152,"No tengo 24 propiedades ni 40 presta nombres en Texas, confirma @Javier_Duarte DespiertaconLoret ",Mexico
786345738695573505,Plataforma del Sistema de Justicia Penal iniciará operaciones en 4 estados del país  ,Mexico
786343221077090304,Bolsa mexicana cierra con pérdidas tras anuncios de la Fed  ,Mexico
786341148969304065,Esta noche no te pierdas LaEntrevistaXAdela con @Adela_Micha por @Canal_Estrellas ,Mexico
786340682495434752,Confirma @Javier_Duarte que en ninguna de las denuncias penales que emitió la ASF aparece su nombre… ,Mexico
786338188344393728,Confía @RicardoAnayaC en que @Javier_Duarte no se dé a la fuga  ,Mexico
786335642431070209,"El gobernador de Veracruz, @Javier_Duarte asegura que es inocente de las acusaciones en su contra, ¿logrará demost… ",Mexico
786333189413466112,"Para el @PRDMexico no es suficiente la licencia de @Javier_Duarte, asegura @Ale_BarralesM  ",Mexico
786333130512752640,Niega gobernador de Veracruz @Javier_Duarte estar relacionado con empresas fantasmas DespiertaconLoret ,Mexico
786330638542569473,Vuelca pipa cargada con gas LP en Tihuatlán Veracruz  ,Mexico
786330296748679168,RT @TD_Deportes: ¿Conoces la historia completa del @ClubAmerica? Recorre los 100AñosDeGrandeza en una sola infografía ,Mexico
786328121461108737,Multan con 2 mdd a productora de StarWars por accidente de Harrison Ford  ,Mexico
786325669424820224,Recibe Congreso de Veracruz solicitud de licencia de @Javier_Duarte ,Mexico
786325591330951169,'Miguel Ángel Yunes es un hombre corrupto y lo puedo probar' @Javier_Duarte DespiertaconLoret ,Mexico
786323086136180736,Amazon lanza AmazonMusicUnlimited para competir con @Spotify y AppleMusic  ,Mexico
786320585198604288,Terminan en prostíbulos 50 % de las mujeres migrantes que cruzan NL  ,Mexico
786318033258094592,"En entrevista exclusiva para DespiertaconLoret, @Javier_Duarte negó haberse robado 35 mil millones de pesos ",Mexico
786315541954854912,Se intensifican bombardeos en Alepo; hay decena de muertos en sólo dos días  ,Mexico
786313030254682112,Reconocen a policía de Nuevo León por rescatar a niño de morir ahogado  ,Mexico
786310511218479104,Sobre el presunto fraude contra trabajadores del Estado @Javier_Duarte aseguró que sí se pagaron los descuentos de… ,Mexico
786310495741489152,"La inseguridad y violencia en Veracruz, es provocada por una pugna entre narcotraficantes, aceptó @Javier_Duarte e… ",Mexico
786307985660375040,"Lluvias intensas dejan inundaciones en Coatzacoalcos, Veracruz  ",Mexico
786306975910854658,"Chapultepec18 presenta una entrevista desde la cárcel con Benjamín Serment, hijo y presunto asesino de León Sermen… ",Mexico
786305475348496384,Millones caerían en pobreza por el cambio climático: @BancoMundial   ,Mexico
786302953216806912,"En exclusiva para DespiertaconLoret, el Gobernador de Veracruz, @Javier_Duarte, aseguró que su estado no está en… ",Mexico
786300462408556546,¿Qué pasaría si frenan el envío de remesas de Estados Unidos a México?  ,Mexico
786295725634232320,"Gracias por seguirnos en LasNoticiasconKarlaIberia, nos vemos mañana en punto de las 2:30 PM ",Mexico
786295482402365441,"José Sanchez del Río, será canonizado por @Pontifex_es el próximo 16 de octubre, LasNoticiasconKarlaIberia… ",Mexico
