id_str,text,class
786705576633913344,Capturan a dos policías sindicados de pertenecer a una banda criminal.  ,Colombia
786703987500314624,Revuelo en el mundo de la cultura por la sorpresiva decisión Academia Sueca que le otorgó el premio Nobel de Litera… ,Colombia
786703218554339328,Estos son los IndicadoresEconómicos de este jueves 13 de octubre. ,Colombia
786703060013817856,Boko Haram libera a 21 estudiantes de Chibok.  ,Colombia
786701032562778112,RT @LaNocheNTN24: ¿Cree que hay verdadera voluntad de paz del ELN para sacar adelante negociaciones de paz con el gobierno colombiano? @NTN…,Colombia
786700543813038080,"Cumbre Mundial de Alcaldes, sobre ruedas.  BogotáEsLaCumbre ",Colombia
786699779589885952,Espere ampliación de estas noticias en nuestra emisión de las 7:00 p.m. ,Colombia
786698028895838208,Juez acepta denuncia contra expresidente Luiz Inácio Lula da Silva por contratos de Odebrecht en Angola.… ,Colombia
786695514834239488,"Aumentan homicidios de homosexuales y transexuales en Colombia, según ONG.  ",Colombia
786693474053681152,¿No alcanzó a ver la emisión de @NoticiasRCN del mediodía? Revívala aquí: ,Colombia
786691943573192704,OrienteMedio | 17 muertos en explosión de carro bomba en puesto de control rebelde en Siria.… ,Colombia
786689028775084032,Avanza reunión entre delegados del Gobierno Nacional y voceros del @CeDemocratico. ,Colombia
786687382863118336,Responden @Rohgal y @mariovalencia01.  SíoNo con @JoseMAcevedo. ,Colombia
786685000297148416,RT @DeportesRCN: .@RocioRestrepo ya se prepara para el Sudamericano de bolos en Cali.  ,Colombia
786684740262854658,FOTOS. @marianapajon y @vincentpelluard: un amor sobre ruedas.  ,Colombia
786683051971600384,"El director del @SENAComunica estará en @NoticiasRCN hablando de una aplicación para conseguir empleo, ¿qué tema le gustaría que ampliara?",Colombia
786679946408263680,"En propuestas entregadas al Gobierno, @AndresPastrana_ no propone cárcel para las Farc.  ",Colombia
786675967716683778,La ONU prorroga su misión en Haití por seis meses.  ,Colombia
786672481461530624,Reforma tributaria: Gobierno busca que tiendas y peluquerías paguen un impuesto. ,Colombia
786668144651825152,"Con romántica fotografía, @marianapajon le dio el 'Sí' a su novio @vincentpelluard.  ",Colombia
786664339927404544,"RT @DeportesRCN: Atención La 'reina' del BMX, Mariana Pajón, se casa.  ",Colombia
786661318271111168,RT @CanalRCN: Nuestra bicampeona olímpica @marianapajon se casa  ¡Felicidades! ,Colombia
786661219889471489,RT @RCNEspectaculo: Revelan nuevo tráiler de 'Rogue One: una historia de Star Wars'.  ,Colombia
786659747722387456,Nueva emisión de cenizas del volcán Nevado del Ruiz.  ,Colombia
786655408047984640,.@Almagro_OEA2015: Hemos urgido a que los acuerdos de paz sean ajustados a la brevedad.  ,Colombia
786654621951557632,Gracias por acompañarnos en nuestra emisión de las 12:30 p.m. Para más información ingrese a ,Colombia
786653542278918144,Policía confirmó que el ELN atacó a un grupo de la Unidad de Restitución de Tierras.  ,Colombia
786650456000958464,Gracias por acompañarnos en nuestra emisión del mediodía. Continúe con toda nuestra programación. ,Colombia
786649659066507264,Concurso Nacional de Belleza cambia este año su agenda. La elección de la señorita Colombia fue aplazada hasta marzo ,Colombia
786647697608413184,"Confidencias del presidente francés, François Hollande, en un libro siembran cizaña y turbación.… ",Colombia
786646440382574592,La epidemia de tuberculosis es más grave de lo que se pensaba: OMS.  ,Colombia
786643923225542656,Episcopado convoca reunión extraordinaria para analizar panorama de paz en el país.  ,Colombia
786642667375439872,¿Víctima de @ElectricaribeSA? Vea este informe especial de 4Caminos →  Informa… ,Colombia
786642664867241985,"La cultura del no pago no existe en la Costa Caribe, afirmó @Superservicios tras declaraciones de… ",Colombia
786641405514911744,"Trump es una babosa repugnante, afirma cámara de diputados de un Estado australiano.  ",Colombia
786640147748118528,"Cerca del 30% de la población española está en riesgo de pobreza, según estudio.  ",Colombia
786640146603053056,"Amenazan de muerte a Gina Miller, la empresaria que llevó el Brexit a los tribunales.  ",Colombia
786638920230510592,RT @DeportesRCN: Mariana Pajón y Carlos Ramírez están en el top 3 del ranking UCI 2016.  ,Colombia
786638889301737473,Defensores públicos advierten que miles de procesos quedarán en el limbo si no les prorrogan contratos.… ,Colombia
786638264249815040,Fiscalía de Estados Unidos no está de acuerdo con que exministro Andrés Felipe Arias quede en libertad bajo fianza.… ,Colombia
786637673133899776,"ÚltimaHora Hallan sin vida a una menor de 5 años desaparecida desde el dominfo en Algeciras, Huila.… ",Colombia
786637632058986496,Titulares Resumen de los hechos que son noticia a esta hora en Colombia y el mundo.  ,Colombia
786637211684839424,Crece la polémica en Siria por un video del régimen de Bashar al-Ásad en el que promociona a Alepo como destino tur… ,Colombia
786636379354783744,Polémico Nobel a Bob Dylan: ¿qué define a alguien como un escritor?  ,Colombia
786634747669872645,"ATENCIÓN Ruby Esperanza, la niña de cinco años que estaba desaparecida desde el pasado domingo en Algeciras, Huila, fue hallada sin vida.",Colombia
786634306814877697,La ONU designa a Antonio Guterres como su nuevo secretario general.  ,Colombia
786633886763810816,"Presidente Santos se reunió con el secretario general de la OEA, Luis Almagro, para expresar el apoyo de esa organi… ",Colombia
786631000017231872,"Bob Dylan, ganador del Nobel de Literatura 2016.  ",Colombia
786630496319074306,"Evacúan el parque temático Legoland en Florida, Estados Unidos, por una amenaza de bomba.  ",Colombia
786630084715286528,La mujer busca solicitarle al presidente Santos que medie con gobierno de Maduro para que su hijo y otro activista sean dejados en libertad.,Colombia
786629993833062405,"Madre de Lorent Saleh, un joven venezolano defensor de Derechos Humanos preso en una cárcel de Caracas, llegó a Col… ",Colombia
786629288841900032,".@JuanManSantos se reunió con el secretario general de OEA, Luis Almagro, para expresar el apoyo de esa organizació… ",Colombia
786628931873112066,RCNContigo Una mujer lleva dos años esperando a que EPS Capital Salud le saquen tubo incrustado en la garganta por… ,Colombia
786627892855832577,BogotáEsLaCumbre Segundo día de la Cumbre Mundial de Alcaldes Locales y Regionales. Peñalosa recorrió en bicicleta… ,Colombia
786627567910522880,Esculturas que son homenaje a las hormigas culonas en Bucaramanga deberán ser removidas por el constante accionar… ,Colombia
786626924697247744,ESPECIAL│@NoticiasRCN acompaña la travesía Río Magdalena Mágico Fides - Armada Nacional 2016. ,Colombia
786626441496653828,Fotodenuncias y videos de los televidentes. En el Cazanoticias el reportero es usted.  ,Colombia
786626371187515392,"Diez altos exfuncionarios de Dian, detenidos y acusados por la devolución ilegal de recobros del IVA, pagarán nueve… ",Colombia
786625873625616384,Titulares Resumen de los hechos que son noticia a esta hora en Colombia y el mundo.  ,Colombia
786625578300497920,"Bogotá Brutal ataque contra mujer. La víctima, a quien le desfiguraron el rostro, dice que ataque le produjo daños… ",Colombia
786625012665094145,"Economía Gobierno confirmó que dentro de la reforma tributaria propondrá que tiendas, peluquerías y pequeños negoc… ",Colombia
786624409356398593,Siguen las emergencias por lo arroyos en Barranquilla. Las lluvias provocan cortes de energía en varios sectores. ,Colombia
786623398671687680,"Tragedia en Dabeiba, Antioquia: autoridades locales confirmaron que siete indígenas murieron por un alud de tierra.… ",Colombia
786623117636632576,Registran emisión de cenizas en el volcán Nevado del Ruiz. Por la contaminación fue cerrado el aeropuerto La Nubia… ,Colombia
786622529066631168,"Murió el estudiante de 19 años, quien permaneció tres días en cuidados intensivos luego de que ladrón le disparara… ",Colombia
786622061926113280,"ÚltimaHora Evacúan el parque temárico Legoland ubicado en Florida (EE.UU.) por amenaza de bomba, confirma @LEGOLANDFlorida.",Colombia
786621019058540544,Habitantes de Ciudadela Cafam en Suba están indignados por intervención del Distrito que les quitó el único parque.… ,Colombia
786620466291175424,Comandante de Policía de Cauca confirmó que el ELN es el responsable del ataque a un equipo de la Unidad de Restitu… ,Colombia
786619509461299200,¡Al aire! @NoticiasRCN de las 12:30 p.m. con los hechos más importantes del día.  ,Colombia
786618527385956353,TodosSomosDonantes│Cada día aumenta la lista de espera de pacientes que requieren un trasplante de órgano.… ,Colombia
786617244755169280,Un nuevo escándalo de acoso sexual salpica al candidato republicano Donald Trump.  ,Colombia
786615987764273152,InvitadosRCN @JuanManSantos debe buscar un consenso con todas las fuerzas para que se logre una paz incluyente.… ,Colombia
786614811517972480,"RT @DeportesRCN: Juan Sebastián Cabal y Robert Farah, eliminados del Masters de Shanghái.   ",Colombia
786614731331276800,"Kristoffer Halvorsen, campeón de la ruta masculina sub-23 en los Mundiales de ciclismo.  ",Colombia
