id_str,text,class
786710742162612224,Tom Hanks dice que las elecciones en EE.UU. son «un festival de mierda» ,Spain
786703244391247873,El nuevo chico en la vida de Paris Hilton ,Spain
786693047190945793,Ya está disponible la primera edición de ABC del viernes 14 de octubre en @abckioskoymas  ,Spain
786691226024239104,David Bisbal habla en «Gran Hermano» de su encierro en «OT»: «Me resultó muy difícil» ,Spain
786688157819473920,Desarrollan una retina artificial para que invidentes puedan orientarse en casa ,Spain
786685502338506752,El dueño de Wanda mantiene el trono del hombre más rico de China ,Spain
786682977887588362,Una teoría polémica sostiene que los guerreros de Terracota tienen 1.500 años más de lo que pensamos ,Spain
786680506456875008,"Un análisis de sangre permite detectar mutaciones genéticas, claves en el cáncer de pulmón más frecuente ",Spain
786677941413478404,Un cometa pudo cambiar el clima de la Tierra hace 55 millones de años ,Spain
786675426521382912,Las duras palabras de Antonio David a Rocío Carrasco ,Spain
786672997750964224,"Alexis Tsipras: «El Grexit no era un plan de izquierdas o radical, sino un plan de Schäuble» ",Spain
786670388642254848,Una araña puede «oírte» desde el otro lado de la habitación ,Spain
786667875671109632,S&amp;P advierte de que el Brexit amenaza las inversiones inmobiliarias británicas en España ,Spain
786665436100325376,Las mujeres que Bob Dylan ocultaba entre las letras de sus canciones  Por @rfbujan,Spain
786662849347280896,El Gobierno sirio y la oposición negocian la rendición de varios distritos de Alepo ,Spain
786660342168420353,El fiscal superior de Baleares considera que no hubo «bullying» en el caso de la niña de Palma… ,Spain
786659069926965248,"📷 Tailandia llora la muerte de su rey, EnImágenes  ",Spain
786657966590230528,Aquellos The Beatles que nadie conocía en Canarias en 1963,Spain
786655295560966144,Los jueces advierten a los concejales de Badalona de que su actitud es un ataque a los tribunales de justicia ,Spain
786654020865785856,Seis noticias que debes saber para terminar la jornada informado  ,Spain
786652779808956421,▶ «Los Simpsons» ya predijeron en 2010 los Nobel de Economía y Química de este año ,Spain
786651504157548544,"▶ Ya hay segundo tráiler de «Rogue one», lo nuevo de «Star Wars» ",Spain
786650324174041088,Una vaca de 500 kilos se escapa de Mercabarna y se pasea por la Zona Franca de Barcelona ,Spain
786647744962322436,España pide por primera vez apoyo a la Cumbre Iberoamericana en la cuestión de Gibraltar ,Spain
786645229210365952,"Bhumibol de Tailandia, el decano de las monarquías  Por @PabloDiez_ABC, corresponsal en Asia",Spain
786643949314244608,La controvertida elección del Nobel de Literatura convierte a Haruki Murakami en el nuevo DiCaprio ,Spain
786642837970509824,El ministro de Justicia asegura que los comentarios contra Adrián han «escandalizado» a la sociedad ,Spain
786640200139235328,Hacienda alerta a 14 comunidades por endeudarse 3.318 millones más de lo previsto hasta junio  Por @javiertahiri,Spain
786637678548844545,Las canciones que han dado el Nobel a Bob Dylan ,Spain
786635192433803264,"El 7,6% de la población española es pobre ",Spain
786632664497422336,Hallado en Cuenca el cadáver de un hombre ahorcado y maniatado ,Spain
786630143880093696,"Haití pide auxilio: «Si no hay una respuesta rápida, lo peor vendrá en dos meses»  HuracánMatthew Por @fer_mgomez",Spain
786627783858487296,«Tiempos de demagogos»  La opinión de José María Carrascal ,Spain
786625949643083776,RT @calamarooficial:  ,Spain
786625099302576128,Condenados a un año de cárcel cinco jóvenes que en 2014 irrumpieron en una iglesia de Palma ,Spain
786622579448639488,▶ El momento más romántico del desfile del 12-O: un soldado de la @UMEgob le pide matrimonio a su novia ,Spain
786620113017565184,Báñez dice que no habrá «equiparación a la baja» en las indemnizaciones a interinos ,Spain
786617546229288965,Robert De Niro y Jon Voight se enzarzan en una pelea por Donald Trump ,Spain
786616757196840960,"RT @abc_deportes: La desgarradora poesía de Willian para su madre, fallecida a causa de un tumor cerebral  ",Spain
786615037276413952,"El Rey recibirá mañana por primera vez a Pepe Álvarez, secretario general de UGT ",Spain
786612603057532928,"El primer Nobel para el rock, la última revolución de Bob Dylan ",Spain
786609994531741698,El teatro pierde un 27% de espectadores y los festivales «maquillan» la caída de la música popular  Por @LorenaLofish,Spain
786607464338849792,"Un juez, despedido por dejadez ",Spain
