text,class
[VIDEO] La recopilación que muestra la importancia de Alexis Sánchez en Arsenal  ,Chile
"Ministro Valdés: Mantenemos esfuerzos de inversión, pero debemos estar atentos a los gastos ResumenEjecutivo",Chile
"AHORA: Ministro de Hacienda, Rodrigo Valdés, se refiere al presupuesto 2017: No podemos sobreendeudarnos… ",Chile
"Las hilarantes respuestas del Chino Ríos por Twitter
  ",Chile
"RT @DMatamala: 20:30 hrs hablamos en @CNNChile c ministro de Hacienda Rodrigo Valdés, sobre presupuesto, inversión, sueldos, concentración…",Chile
Ahora comienza ResumenEjecutivo con @germanoyarzun por CNNChile ,Chile
Conoce más detalles de NÜN  CNNChile ,Chile
[VIDEO] La notable sorpresa que le dio Tom Hanks a unos recién casados CNNChile  ,Chile
Ordenan habilitar mesa para votación de reos  CNNChile ,Chile
Twitter libera Moments para todos sus usuarios CNNChile  ,Chile
Ahora comienza AgendaEconómica con @nicopaut por CNNChile ,Chile
¿Te lo perdiste? Revive aquí el encendido debate por Valparaíso en MunicipalesCNN:  CNNChile,Chile
Estas son las novedades de Netflix en octubre CNNChile  ,Chile
Carlos Reyes presentó el libro Viaje al Sabor  CNNChile ,Chile
Presentan nueva versión de la FILSA  CNNChile ,Chile
Funeral de Estado de Shimon Peres   CNNChile ,Chile
Ximena Casarejos llamó a aportar en la Teletón aun con el escenario adverso  CNNChile ,Chile
La tragedia detrás de Horizonte Profundo  CNNChile ,Chile
Lanzan programación de Santiago a Mil  CNNChile ,Chile
Reinas de belleza divididas por Trump  CNNChile ,Chile
¿Qué opinas de la ImagenDelDíaCNN? Presidenta Bachelet retira querella contra revista Qué Pasa CNNChile ,Chile
El valiente llega a la cartelera de cine  CNNChile ,Chile
La crisis en el PSOE  CNNChile ,Chile
La crisis que enfrenta el Deutsche Bank  CNNChile ,Chile
Diego Rivarola: No hay nada más lindo que ganar en el Monumental  CNNChile ,Chile
¿Qué opinas de la ImagenDelDíaCNN? Presidenta Bachelet retira querella contra revista Qué Pasa CNNChile ,Chile
@FranZuniga_ Hola! Acá está ,Chile
OPEP acordó disminuir producción de petróleo  CNNChile ,Chile
Las celebridades más peligrosas de internet CNNChile  ,Chile
Eliminan nombres de sacerdotes de lista de condenados por abusos a menores  ,Chile
Ahora comienza un nuevo CNNMagazine con @chiara_gazzana por CNNChile ,Chile
"RT @CNNChile: Participe en DeportesCNN
¿Quién ganará el Superclásico?",Chile
COMIENZA DeportesCNN junto a @rsepulvedap y todos los detalles del Superclásico ,Chile
RT @Panorama15_VTR: Luchan contra las escasez hídrica en La Araucanía. Informe de @kvyen Sáb 9am en P15VTR por @CNNChile cc: @VTRChile,Chile
Cancilleres visitan Antofagasta  CNNChile ,Chile
. @Teleton lanzó campaña 2016  CNNChile ,Chile
Bomberos subirán los 1.800 escalones del Costanera Center en una “carrera por la vida” CNNChile… ,Chile
Abogado Gómez por caso Qué Pasa: Nosotros queríamos ir al juicio oral  CNNChile ,Chile
"[VIDEO] Matías Fernández en la
foto oficial del Milan  CNNChile ",Chile
"Silva: Cuando un gobierno lo hace mal, tiene poca plata  CNNChile ",Chile
COMIENZA La repetición del debate por Valparaíso en MunicipalesCNN ,Chile
[VIDEO] El asombroso récord Guinness de cambios de vestido CNNChile  ,Chile
[VIDEO] Fantasía pura: El golazo de una cancha a otra de Arturo Vidal  ,Chile
"Las hilarantes respuestas del Chino Ríos por Twitter
  ",Chile
¿Cuáles son las noticias que están marcando esta jornada? Entérate En 2 Minutos CNNChile Superclásico Bachelet… ,Chile
La nómina definitiva  de La Roja para enfrentar a Ecuador y Perú  CNNChile ,Chile
Twitter libera Moments para todos sus usuarios CNNChile  ,Chile
Procesan a Generales en retiro por fraude al fisco  CNNChile ,Chile
Melero: La mediocridad está en que Chile puede más  CNNChile ,Chile
[+VISTO] La notable sorpresa que le dio Tom Hanks a unos recién casados CNNChile  ,Chile
El violento mensaje del sicario de Pablo Escobar contra Aníbal Mosa  ,Chile
El apodo de la dupla que conforma Alexis Sánchez  ,Chile
Recoleta: Entérate de los desvíos en la comuna  CNNChile ,Chile
Marcela Gaete entregó detalles sobre el Seminario que aborda la realidad del Sename  ,Chile
La Roja sumaría su primera baja  ,Chile
EnDirectoCNN @ReviewerRandom :Hay varios youtubers en Chile que se van por el camino fácil… ,Chile
AHORA Comienza EsNoticiaCNN con la conducción de @viviencina y @claudiosalinasA ,Chile
MunicipalesCNN: El debate por Valparaíso  CNNChile ,Chile
[FOTO] La furia de Gary Medel con un candidato político  CNNChile ,Chile
ESTÁ PASANDO Ricardo Lagos realiza punto de prensa en actividad de candidatos de la Nueva Mayoría… ,Chile
Gobierno ingresó proyecto para Presupuesto 2017  CNNChile ,Chile
"AHORA: Ministro de Hacienda, Rodrigo Valdés, detalla el Presupuesto 2017 CNNChile ",Chile
"ANFP, La U y Colo Colo hacen llamado contra la delincuencia en el Superclásico  ",Chile
Pdta. del Colegio de Matronas abordó la baja en cifra de embarazos adolescentes  CNNChile ,Chile
"Pdte. de la ANFP: El fútbol desata pasiones, pero no queremos que se confunda eso con violencia Superclasico",Chile
"EnDirectoCNN hoy nos acompaña el @ReviewerRandom, quien nos cuenta sobre todos sus trabajos en YouTube ",Chile
AHORA: Presidente de la @ANFPChile realiza conferencia de prensa previa al Superclasico CNNChile ,Chile
Comienza EnDirectoCNN hoy nos acompaña el @ReviewerRandom sus preguntas al hashtag ,Chile
EnDirectoCNN hoy @edu_castillo conversa con el @ReviewerRandom ,Chile
Pdte. Feusach aseguró que Lagos retrocede tras dichos sobre reforma a la Ed. Superior  ,Chile
"Participe en DeportesCNN
¿Quién ganará el Superclásico?",Chile
Feria Echinuco: Los atractivos de la sexta versión  CNNChile ,Chile
"Coanil: Recibimos financiamiento de programas estatales, pero no es suficiente  CNNChile ",Chile
Conutt suspenderá servicios de Transantiago ante agresiones durante Superclásico  CNNChile ,Chile
Tomás Flores sobre cifra de desempleo: Es una buena noticia   ,Chile
"Desempleo de trimestre junio - agosto fue de 6,9%  ",Chile
[VIDEO] El dron que interrumpió la práctica de la U  CNNChile ,Chile
¡Quedan pocos minutos! Participa y vota nuestra pregunta en MañanaEnDirecto ,Chile
Superclásico: Seremi de Transportes anunció plan de contingencia  CNNChile ,Chile
Presidenta Bachelet retira querella contra revista Qué Pasa  CNNChile ,Chile
La Roja sumaría su primera baja  ,Chile
"LO ÚLTIMO: Bajo las expectativas del mercado, la tasa de desempleo llegó a 6,9% en trimestre junio-agosto CNNChile ",Chile
Recoleta: Entérate de los desvíos en la comuna  CNNChile ,Chile
Continuamos con MañanaEnDirecto 📺📡 junto a @aguirreseba y @macamoralesb ... acompáñanos! ,Chile
El apodo de la dupla que conforma Alexis Sánchez  ,Chile
AHORA Abogado de @revistaQP Pablo Gómez se refiere al retiro de la querella MañanaEnDirecto ,Chile
"Silva: Cuando un gobierno lo hace mal, tiene poca plata  CNNChile ",Chile
RT @aguirreseba: Abogado Juan Pablo Hermosilla en @CNNChile La instrucción de la Presidenta es concordante con los objetivos que tenía la…,Chile
ESTÁ PASANDO Presidenta Bachelet retira querella contra Qué Pasa MañanaEnDirecto ,Chile
EnDirectoCNN hoy a las 11:00 horas con @ReviewerRandom  ,Chile
[INDICADORES ECONÓMICOS] 💰💵 CNNChile MañanaEnDirecto ,Chile
MañanaEnDirecto saluda a Jerónimo en su día 👼. Te deseamos un BuenViernes CNNChile ,Chile
RT @PatoMedinaJ: A las 08:30 hrs estaré en @CNNChile hablando sobre los dichos de R. Lagos en materia de educación.,Chile
AHORA: Diputado Silva se refiere al Presupuesto2017 CNNChile ,Chile
AHORA: Seremi de Transportes se refiere a los preparativos para el Superclásico CNNChile ,Chile
AHORA: Inician desvíos en calles de Recoleta CNNChile ,Chile
"Participa en MañanaEnDirecto:
¿Cómo calificaría el Presupuesto 2017 anunciado por la Presidenta Bachelet?",Chile
AHORA: @Maroto__ se refiere a la ceremonia que se realiza en Jerusalén para despedir a ShimonPeres CNNChile ,Chile
"[VIDEO] La desopilante carrera entre Usain Bolt, James Corden y Owen Wilson 😀 CNNChile  ",Chile
MunicipalesCNN: El debate por Valparaíso  CNNChile ,Chile
[VIDEO] La recopilación que muestra la importancia de Alexis Sánchez en Arsenal  ,Chile
"Las hilarantes respuestas del Chino Ríos por Twitter
  ",Chile
[VIDEO] La desinteligencia del City que le pasó la cuenta a Claudio Bravo  ,Chile
[VIDEO] La notable sorpresa que le dio Tom Hanks a unos recién casados CNNChile  ,Chile
Twitter libera Moments para todos sus usuarios CNNChile  ,Chile
Estas son las novedades de Netflix en octubre CNNChile  ,Chile
Carlos Montes: Me parece que el presupuesto pudo haber crecido un poco más  CNNChile ,Chile
Presentan nueva versión de la FILSA  CNNChile ,Chile
Lanzan programación de Santiago a Mil  CNNChile ,Chile
¿Te lo perdiste? Revive aquí el encendido debate por Valparaíso en MunicipalesCNN:  ,Chile
El valiente llega a la cartelera de cine  CNNChile ,Chile
Asalto dejó dos muertos en Vilcún  CNNChile ,Chile
Ahora comienza CNNEnAlerta con @germanoyarzun por CNNChile ,Chile
La crisis en el PSOE  CNNChile ,Chile
Candidatos se interpelan por Mall de Valparaíso. Sharp acusa a Castro de ser vocero del robo del siglo en Valparaí… ,Chile
Jorge Sharp (@JorgeSharp): El grupo Solari se está llenando de dinero a costa de los porteños. Comenta con MunicipalesCNN,Chile
"Leopoldo Méndez (@AlcaldeMendez): A Jorge Castro no le creo nada. Alcalde responde: Leo, estudia un poco más. A… ",Chile
Tren de pasajeros chocó en Nueva Jersey  CNNChile ,Chile
¡Vota informado! Los candidatos por Valparaíso debaten ahora en MunicipalesCNN. ¡Opina con nosotros usando el hash… ,Chile
Jorge Castro (@JorgeCastroValp): El funcionamiento del Congreso es ilegal (...) no está la recepción de obras. ¡U… ,Chile
La crisis que enfrenta el Deutsche Bank  CNNChile ,Chile
Carlos Lemus (@CarlosLemusCid): El Congreso debiera salir de Valparaíso. ¿Qué opinas? Usa el hashtag… ,Chile
¡Continúa el debate desde Valparaíso! Los candidatos por la comuna enfrentan sus puntos de vista en MunicipalesCNN… ,Chile
Lagos: Cuando hay recursos públicos involucrados no debe haber lucro en la educación  ,Chile
Jorge Castro (@JorgeCastroValp) se interpela duramente con Leopoldo Méndez (@AlcaldeMendez) en MunicipalesCNN. ¡Mi… ,Chile
Los candidatos por Valparaíso enfrentan sus posturas sobre la delincuencia ahora en MunicipalesCNN. ¡Mira el debat… ,Chile
Preocupación por la seguridad en el Superclásico  CNNChile ,Chile
Carlos Lemus (@CarlosLemusCid): Necesitamos que el puerto de Valparaíso no sea el patio trasero de San Antonio ¡Opina con MunicipalesCNN!,Chile
Jorge Sharp (@JorgeSharp) acusó deudas previsionales a profesores en Valparaíso. Contesta el alcalde Jorge Castro a… ,Chile
OPEP acordó disminuir producción de petróleo  CNNChile ,Chile
Conoce las propuestas de los candidatos por Valparaíso ahora en MunicipalesCNN. ¡Participa y comenta usando nuestr… ,Chile
"Arranca el debate por Valparaíso entre @CarlosLemusCid @AlcaldeMendez @JorgeSharp y
@JorgeCastroValp en… ",Chile
Eliminan nombres de sacerdotes de lista de condenados por abusos a menores  ,Chile
Molestias por participación de diputado Rincón en comisión de Familia  CNNChile ,Chile
"En minutos comienza el debate por Valparaíso entre @CarlosLemusCid @AlcaldeMendez @JorgeSharp y
@JorgeCastroValp en… ",Chile
Cancilleres visitan Antofagasta  CNNChile ,Chile
Ricardo Lagos lanzó libro con ideas para el Chile 2040  CNNChile ,Chile
Caso Pascua Lama: Presentan solicitud de arresto contra Ricardo Lagos  ,Chile
Medidas de austeridad marcarán presupuesto 2017  CNNChile ,Chile
"CNNPrime: Austeridad, la palabra clave que define al próximo presupuesto ",Chile
Rechazo a dichos de Lagos sobre lucro en la educación  CNNChile ,Chile
"Empleados públicos marcharon contra el reajuste salarial del 2,9%  CNNChile ",Chile
Ejecutivo pretendería cerrar CEMA Chile  CNNChile ,Chile
Críticas por compras a Clínica Ensenada  CNNChile ,Chile
Presidenta Bachelet expone bases de Presupuesto 2017 que Gobierno enviará al Congreso CNNChile ,Chile
RT @GobiernodeChile: El Presupuesto2017 permitirá que se duplique el número de jóvenes que pueden estudiar gratuitamente en la Educación S…,Chile
"Gobierno aumentará Presupuesto en 2,7% CNNChile ",Chile
