text,class
PAN presenta ante la PGR denuncia por presunto desvío de recursos de @rubenmoreiravdz a empresas fantasma ,Mexico
Los datos que debes conocer de la planta de @AudideMexico en San José Chiapa  ,Mexico
Carstens advierte impacto por el “huracán” Trump  ,Mexico
Septiembre fue un mes de miedo para el peso mexicano. 😱 ,Mexico
Zonas rurales tendrán un esquema de abastecimiento de gasolina  ,Mexico
10 datos para conocer la nueva planta de Audi en Puebla  ,Mexico
".@ladygaga anuncia que actuará en el medio tiempo del próximo @SuperBowl 
 ",Mexico
Septiembre fue un mes de miedo para el peso mexicano. 😱 ,Mexico
Renault e Irán acuerdan crear una empresa conjunta ,Mexico
Las buenas noticias del sector aeroespacial para México en 2016 ,Mexico
Trump sugiere que Clinton presionó para que nacionalizaran a Alicia Machado ,Mexico
DiarioPolítico: Asamblea Constituyente aprueba reglamento interno ,Mexico
"Entérate: por pleito de rescisión de contrato, usuarios de @Megacable ya no tienen canales de paga de @TD_Deportes ",Mexico
Los títulos de la primera Fibra E en México valdrán hasta 32 pesos  ,Mexico
"Planeación territorial, uso de espacio público, algunas de las modificaciones a la ley de desarrollo urbano ",Mexico
"REPORTE ESPECIAL Nos agarró descuidados dicen transportistas, sobre iniciativa para retirar camiones de doble caj… ",Mexico
Banxico encareció el precio del dinero ¿por qué?  ,Mexico
Las compañías petroleras establecidas en México tienen un nuevo representante ,Mexico
OPINIÓN: Muchas empresas en México batallan por tener en exceso dispositivos móviles conectados a su red… ,Mexico
¿Cómo le fue al peso mexicano en septiembre? Agárrate 😱  ,Mexico
Casi la totalidad de las extorsiones ocurren vía telefónica ,Mexico
"Qatar pierde miles de millones de dólares por la crisis del @DeutscheBankES
 ",Mexico
"Septiembre, un mes de miedo para el peso mexicano. 😱 ",Mexico
¿Vas al concierto de RogerWaters en el Zócalo? Esto es lo que gastarás 💸 ,Mexico
México ¿fabricante de trajes espaciales? Mira lo que dice este experto  ,Mexico
"Al menos 10 funcionarios de Veracruz están relacionados con empresas fantasmas
",Mexico
Trump niega haber hecho negocios en Cuba y haber violado el embargo ,Mexico
"Septiembre, un mes de miedo para el peso mexicano  ",Mexico
Estos son los éxitos de Roger Waters que han estado más tiempo en las listas Billboard  ,Mexico
DiarioPolítico: @fgcabezadevaca nombra a su gabinete como próximo gobernador de Tamaulipas ,Mexico
DiarioPolítico: Querétaro se convierte en la segunda entidad en eliminar el fuero  ,Mexico
.@rubenmoreiravdz acusado de desviar 160 mdp del erario a empresas fantasma en Coahuila ,Mexico
.@CNDH llama al Senado a atender situación de desplazados en México ,Mexico
Grupo Airbus se fusionará con unidad de fabricación de aviones ,Mexico
🚗 ¿Compraste un auto a crédito recientemente? 🚗 Ahora pagarás más intereses 😔 ,Mexico
"| @Pemex y @Combured abastecerán cerca de 1,000 comunidades rurales con proyecto de gasolineras… ",Mexico
La reforma urbana plantea un modelo urbano que se adapta al ciudadano: @pancho_burquez_  ,Mexico
"RT @ExpansionMx: Qué es un infarto, cuáles son los síntomas y qué debo hacer si tengo uno  ",Mexico
¿Cuáles son las nuevos dispositivos que los hackers utilizan para atacar a las empresas? ,Mexico
Esto es lo que se espera que gasten los fans de Roger Waters en el Zócalo  ,Mexico
"Que no se te pase, las acciones de Pepsi, más ‘refrescantes’ que las de Coca-Cola para inversores ",Mexico
Con esta app del Gobierno de la CDMX puedes presentar una denuncia por maltrato animal  ,Mexico
OPINIÓN: ¿Por qué las empresas en México necesitan una nueva estrategia de dispositivos móviles?… ,Mexico
¿Por qué las hijas de @hillaryclinton y @realdonaldtrump pueden ser claves para atraer votantes?… ,Mexico
"Las empresas, también víctimas de las extorsiones (el segundo delito más común en México)  ",Mexico
"DiarioPolítico: @fgcabezadevaca a un día de tomar protesta como gobernador de Tamaulipas, designa a su gabinete ",Mexico
MTV lanza series a través de Snapchat  ,Mexico
"Pemex produce 7,000 barriles menos por día  ",Mexico
"Las soluciones están basadas en diferentes vertientes, entre las que destacan lenguaje, visión y audio ",Mexico
Conoce los ejes de la ley para regular el crecimiento urbano ,Mexico
.@Banxico elevó la tasa de interés y ahora pagarás más por lo que compraste con tu tarjeta de crédito 💸 💳 😔 ,Mexico
Seis de cada 10 personas que escucharán a Roger Waters gastarán en promedio 45 pesos en el Zócalo… ,Mexico
El PAN presenta denuncia contra @rubenmoreiravdz por el presunto desvío millonario de recursos en Coahuila ,Mexico
Victoria de Trump sería como un huracán para México: Carstens  ,Mexico
"El exitoso PokemonGO fue un dolor de cabeza para sus creadores, ¿por qué? ",Mexico
💳 ¿Tu tarjeta de crédito tiene una tasa variable? 💳 Esto te interesa ,Mexico
¿Facebook podrá salvar a los idiomas en peligro de extinción?  ,Mexico
"¿Sacudirá al mundo la caída del @DeutscheBankES ?
",Mexico
Victoria de Trump sería como un huracán para México: Carstens.  ,Mexico
Hoy termina una histórica misión espacial: ,Mexico
".@ladygaga actuará en el medio tiempo del @SuperBowl 
 ",Mexico
RT @ExpansionMx: Grupo ADO suspende viajes en Michoacán por inseguridad ,Mexico
'El Chicharito' Hernández triunfa dentro y fuera de la cancha  ,Mexico
"Drones, cámaras y switches los nuevos puntos de entrada para hackers ",Mexico
OPINIÓN: ¿Una nueva estrategia de dispositivos móviles en las empresas mexicanas?  ,Mexico
DiarioPolítico: Hoy se discutirá y votará el reglamento interno de la Asamblea Constituyente ,Mexico
Estos son los canales con los que Megacable reemplazará a Televisa Networks.  ,Mexico
Google planea democratizar sus herramientas de inteligencia artificial ,Mexico
"Aunque el delito y los pagos disminuyen, la extorsión continúa como el segundo delito más común ",Mexico
Los 7 ejes de la nueva ley de desarrollo urbano ,Mexico
".@blogylana, Ricardo Gómez, directivo de @FinamexCB y @raymundotenorio dicen qué hacer por la mayor tasa de Banxico ",Mexico
Agustín Carstens advierte impacto por el huracán Trump  ,Mexico
"Durante los últimos años se han registrado 90,000 casos de desplazamiento en el país, alerta la @CNDH  ",Mexico
DiarioPolítico: Reglamento de Asamblea Constituyente a la espera de su aprobación ,Mexico
Estos son los canales con los que Megacable reemplazará a Televisa Networks  ,Mexico
"El Banco de México, dispuesto a más alzas a su tasa de interés: Analistas  ",Mexico
.@Banxico elevó la tasa de interés y ahora pagarás más por lo que compraste con tu tarjeta de crédito 💸 💳 😓 ,Mexico
Banxico subió su tasa de interés de referencia a niveles de 2009  ,Mexico
"RT @ExpansionMx: Este será el costo de poblar Marte, según Musk.  ",Mexico
¿Por qué José Cuervo quiere llegar a la Bolsa mexicana? ,Mexico
".@ladygaga cantará en el medio tiempo del @SuperBowl 
 ",Mexico
Las líneas de autobuses pertenecientes al Grupo ADO suspende viajes en Michoacán por la inseguridad ,Mexico
"Qué es un infarto, cuáles son los síntomas y qué debo hacer si tengo uno  ",Mexico
Agustín Carstens advierte impacto económico por el huracán Donald Trump ,Mexico
El Banco de México sube por tercera vez en el año su tasa de interés de referencia.  ,Mexico
"El Gobierno de la CDMX a la cabeza de los estados en apps, pero con algunas deficiencias  ",Mexico
"¿Deudor o ahorrador?, así te afectará el alza de la tasa del Banco de México ",Mexico
La nueva reforma urbana reconoce el DerechoALaCiudad ,Mexico
Grupo ADO suspende viajes en Michoacán por inseguridad ,Mexico
"RT @ExpansionMx: Un día como hoy de 1924 nació el periodista y escritor estadounidense Truman Capote.
¿Lo has leído? ? ¿Cuál de sus libros…",Mexico
Estados Unidos analizará si saca a las FARC de lista de terroristas  ,Mexico
OPINIÓN: Las empresas en México necesitan una nueva estrategia de dispositivos móviles  ,Mexico
Banxico subió su tasa de interés de referencia a niveles de 2009.  ,Mexico
"RT @ExpansionMx: Un día como hoy de 1765 nació José María Morelos y Pavón, el Siervo de la nación  ",Mexico
Samsung volverá a vender el Note 7 en Europa el 28 de octubre  ,Mexico
¿El acuerdo de la OPEP impactará en precios de la gasolina?  ,Mexico
"El Estado de México, la entidad con más prevalencia delictiva durante 2015 ",Mexico
El Banco de México sube por tercera vez en el año su tasa de interés de referencia  ,Mexico
"Oxford, la mejor universidad del mundo tiene una colegiatura accesible ",Mexico
"RT @ExpansionDinero: ¿Deudor o ahorrador?, así te afectará el alza de la tasa de Banxico ",Mexico
"Sólo detrás del robo, la extorsión es el delito más común, y en algunos estados está en 1° lugar ",Mexico
"RT @ExpansionMx: ¿Imaginas que al llegar a tu trabajo, alguien recoge tu auto y lo estaciona por ti? (sin dejarlo en la calle) ",Mexico
"¿Deudor o ahorrador?, así te afectará el alza de la tasa de Banxico ",Mexico
¿De qué región proviene la mayor parte de la producción petrolera de Pemex?  ,Mexico
"A Ivanka Trump podríamos seguirla viendo en el ámbito político de EU, según analistas ",Mexico
"RT @ExpansionMx: ¿Deudor o ahorrador?, así te afectará el alza de la tasa de Banxico ",Mexico
Reseña: ¿La diversidad de 'Los 7 Magníficos' es suficiente?  ,Mexico
Starbucks abrirá en Chiapas un centro de apoyo a caficultores mexicanos ,Mexico
"Walt Disney y Microsoft, ¿otros posibles compradores de Twitter?  ",Mexico
El papa da su apoyo a grupos que se oponen al matrimonio homosexual en México ,Mexico
Quien aspire a presidente de EU no puede ser racista ni misógino: Alicia Machado  ,Mexico
7 datos económicos del Chicharito Hernández para celebrar sus 100 goles  ,Mexico
Un bebé es procreado gracias a una técnica que incorpora el ADN de tres personas  ,Mexico
El Estado Islámico pierde control de todos los pozos petroleros en Irak  ,Mexico
