text,class
"[Audio] Herrera: Estamos con aires renovados, llegó gente con mucha mística UdeChile  ",Chile
Johnny Herrera: Somos dos equipos necesitados de puntos UdeChile  ,Chile
En Sospechosos comentan Edgardo Marín y @leoburgueno. Conduce @11RCL CooperativaEsChile  ,Chile
¡Comenzó en Iquique! Chile se enfrenta a Alemania en la búsqueda del quinto lugar del Mundial Marcianitas ,Chile
[Video] El polémico break musical de un médico en plena cirugía: ,Chile
Superclásico: Conductores presentaron recurso de protección contra Intendencia  ,Chile
"Falta poco para el inicio en Iquique. Por Chile juegan: Hidalgo; Tapia; Donoso, Puertas y Urrea Marcianitas ",Chile
[Audio] Gonzalo Fierro: A todo jugador le duele no estar en un clásico ColoColo  ,Chile
[Streaming] ¿Qué apostaste para un Superclásico en el fútbol chileno? Participa con CooperativaEsChile… ,Chile
Por segundo año consecutivo Chile participará de La Hora del Código  ,Chile
[Audio] Aníbal Mosa: Yo no le hago cheques a la Garra Blanca ColoColo  ,Chile
El gol imposible de Arturo Vidal en la práctica de Bayern Munich  ,Chile
El meme que fue calificado como símbolo de odio:  ,Chile
Papa descartó viaje a Chile y Argentina en 2017:  ,Chile
Guillier: La elección popular de intendentes dará inicio a la descentralización  ,Chile
[Streaming] Edgardo Marín es el encargado del Metro Cuadrado CooperativaEsChile  ,Chile
[Fotos] Dirigentes y capitanes de ColoColo y UdeChile hicieron llamado a un clásico sin violencia… ,Chile
[Streaming] Sospechosos: ¿Qué apostaste para un Superclásico en el fútbol chileno? Usa CooperativaEsChile… ,Chile
[Streaming] En Sospechosos comentan Edgardo Marín y @leoburgueno. Conduce @11RCL CooperativaEsChile… ,Chile
ANFP aplazó el encuentro entre Santiago Wanderers y Universidad de Concepción  ,Chile
Camión y microbús se incendiaron al chocar en Concepción (Foto: @chuertap)  ,Chile
Colombianos divididos ante el plebiscito para refrendar la paz con las FARC:  ,Chile
RT @tv_mauricio: AHORA en @Cooperativa junto a @paulabravoc nos anticipamos a la @HoraDelCodigoCL ,Chile
Ejército reaccionó a procesamiento de generales (r) por fraude  ,Chile
DT de San Lorenzo: Palestino va a estar durísimo CopaSudamericana  ,Chile
[Audio] La apuesta culinaria de Mosa y Heller y otras frases que quedan del día:  ,Chile
Presidenta Bachelet retiró querella presentada contra revista Qué Pasa  ,Chile
"[Audio] LaHistoriaEsNuestra: CEMA, dentistas, lo mejor de la semana y más  ",Chile
¿Qué apostaste para un Superclásico en el fútbol chileno? Participa con CooperativaEsChile  ,Chile
Justicia ordenó al Servel que garantice derecho a voto de imputados en prisión preventiva:  ,Chile
Ministro de Hacienda destacó responsabilidad de Presupuesto 2017  ,Chile
Kuczynski afirmó que en Perú se trabajará a toda máquina para los Juegos Panamericanos 2019  ,Chile
Cristopher Toselli: Siempre hace bien compartir con grandes jugadores en la selección  ,Chile
[Audio] LaHistoriaEsNuestra: La guerra contra el dolor en el dentista  ,Chile
"Atentos, desde lunes 3 de octubre... 20añosAlAireLibre ",Chile
Jefferson Montero quedó marginado de la nómina ecuatoriana y Walter Ayoví está en duda  ,Chile
Problemas en sitio web del Banco de Chile indignan a usuarios:  ,Chile
[Audio] LaHistoriaEsNuestra: El héroe de acción que vendía perfumes piratas  ,Chile
[Audio] LaHistoriaEsNuestra: La pista de la viuda de Pinochet y CEMA en caso Riggs  ,Chile
Alcalde de San Pedro de la Paz no podrá votar en su comuna  ,Chile
Piloto chileno debutará este fin de semana en la máxima categoría del Red Bull Air Race  ,Chile
Alejandra Matus: La querella de Bachelet fue un paso en falso  ,Chile
Compran derechos para la adaptación cinematográfica de El Alquimista  ,Chile
Francisco Silva fue liberado de la nómina de Chile por lesión  ,Chile
[Fotos] Lanzamiento de actividades por los 100 años del natalicio de Violeta Parra  ,Chile
¿Qué apostaste para un Superclásico en el fútbol chileno? Participa con CooperativaEsChile  ,Chile
Colegio de Periodistas valoró retiro de querella de Bachelet contra Qué Pasa: ,Chile
[Video] Conoce al embajador de la Teletón 2016  ,Chile
Gary Medel mostró su enojo por aparecer en propaganda electoral  ,Chile
[Streaming] Los periodistas @tv_mauricio y @paulabravoc conducen Lo Que Queda del Día:  ,Chile
Motociclismo: El nuevo Campeonato GP3 Chile confirmó cuatro de sus fechas  ,Chile
"RT @CEspinozaQ: Dos detectives heridos a bala en control rutinario de drogas en Quillón, fuera de riesgo vital. 1 detenido. @Cooperativa",Chile
Programación: Superclásico entre ColoColo y UdeChile se toma la octava fecha del Apertura  ,Chile
Leonardo Valencia y Oscar Opazo son sorpresas en la nómina de Chile Rusia2018  ,Chile
Pescadores artesanales anunciaron movilización nacional para el 26 de octubre  ,Chile
Real Betis cayó ante Real Sociedad en el inicio de la séptima fecha en España  ,Chile
Carnaval de Mil Tambores reunirá a más de 50 mil personas en Valparaíso  ,Chile
Erika Olivera en debate sobre deporte olímpico: Faltan figuras que nos inspiren  ,Chile
[Video] Matías Fernández participó en la fotografía oficial de AC Milan  ,Chile
Sename concluyó el recuento histórico de fallecimientos:  ,Chile
La misión espacial Rosetta concluyó con el impacto controlado sobre cometa  ,Chile
Julio Peralta cayó en las semifinales de dobles del Challenger de Tiburón  ,Chile
[Fotos] Gala y Mauricio Isla comparten nuevos momentos íntimos  ,Chile
[Fotos] La nómina completa de Chile para enfrentar a Ecuador y Perú por Clasificatorias  ,Chile
Fernanda Brito avanzó en singles y dobles en ITF de Hammamet  ,Chile
[Video] Los primeros minutos tras el choque de un tren en Nueva Jersey:  ,Chile
Novak Djokovic: Mi objetivo es volver a disfrutar cada momento en la cancha  ,Chile
[Audio] Todo por el Deporte: Pablo Quintanilla afronta una gran opción en el Rally de Marruecos… ,Chile
[Lo + leído] Detective detuvo a sujeto que la manoseó en el Metro:  ,Chile
"RT @paulamolinat: Vendedor de perfumes falsos, estacionador: la variopinta trayectoria de Jason Statham Con @VillalobosJara 
En vivo: 
",Chile
Presidente filipino se comparó con Hitler al afirmar que quiere matar a tres millones de drogadictos… ,Chile
[Video] El polémico break musical de un médico en plena cirugía:  ,Chile
[Fotos] El arma y los fuegos artificiales decomisados a barrista de UdeChile  ,Chile
[Radio en vivo] Alejandra Matus: Me han contado que Lucía Hiriart está presentando signos de senilidad ,Chile
Alcalde de Colina por Caso Basura: Acusaciones en mi contra son meramente políticas  ,Chile
Choque múltiple involucró a una decena de vehículos en Antofagasta  ,Chile
RT @CEspinozaQ: Pescadores artesanales de Chile acuerdan manifestaciones en todo Chile para el 26 de octubre. Piden anular Ley de Pesca @Co…,Chile
[Video] Matías Fernández participó en la fotografía oficial de AC Milan  ,Chile
"RT @paulamolinat: Sobre Lucía Hiriart, retiro querella Bacehelet contra Qué Pasa y otros con Alejandra Matus en @Cooperativa 
",Chile
[Radio en vivo] Entre 16:00 y 18:00 horas escuchas a @paulamolinat en LaHistoriaEsNuestra:  ,Chile
Recuperan una de las cajas negras del tren que se estrelló en Nueva Jersey  ,Chile
Jaime de Aguirre dejó su cargo en Canal 13  ,Chile
Ex socio de Rafael Garay quedó con arraigo y arresto domiciliario  ,Chile
Papa descartó viaje a Chile y Argentina en 2017:  ,Chile
[Audio] Gonzalo Fierro: A todo jugador le duele no estar en un clásico ColoColo  ,Chile
Periodistas de Qué Pasa repudiaron matonaje del abogado de Bachelet:  ,Chile
[Audio] Aníbal Mosa: Yo no le hago cheques a la Garra Blanca ColoColo  ,Chile
[Fotos] Botella con pilas y cables causó operativo del GOPE en Ñuñoa  ,Chile
[Audio] Salah: Esperamos que el banderazo y el arengazo se desarrollen con tranquilidad  ,Chile
Francisco Silva fue liberado de la nómina de Chile por lesión  ,Chile
Cristóbal Saavedra conquistó el título de dobles en el Futuro España 32  ,Chile
"Kramer, ex líder de Los de Abajo, fue detenido por porte de arma y fuegos artificiales  ",Chile
Trump sugiere que Clinton presionó para que nacionalizaran a Alicia Machado  ,Chile
RT @gabinfanti: @MetroDeSantiago anunció aumento de trenes en L5 y reforz de boleterías cercanas al Monumental ante el clásico del domingo…,Chile
Sebastien Ogier controló la primera etapa del Rally de Francia  ,Chile
[Streaming] Sigue Todo por el Deporte con la conducción de @11RCL y @elpipadelagente  CooperativaEsChile,Chile
[Fotos] El cierre de playas de Valparaíso por Carnaval de Mil Tambores  ,Chile
[Foto] Así fue el lanzamiento de la campaña Teletón 2016  ,Chile
"[Audio] Herrera: Estamos con aires renovados, llegó gente con mucha mística al club UdeChile… ",Chile
Alcalde de Colina por Caso Basura: Acusaciones en mi contra son meramente políticas  ,Chile
[Streaming] En Al Aire Libre en @Cooperativa el reporte de UdeChile a cargo de @gonzalo_quiroz  CooperativaEsChile,Chile
[Audio] Aníbal Mosa: Pablo Guede continuará en ColoColo aunque pierda el Superclásico  ,Chile
[Audio] Carlos Heller: Es preferible tener un banderazo en un espacio controlado UdeChile  ,Chile
[Audio] Fierro: Estamos bien en lo anímico para enfrentar a UdeChile de la mejor forma ColoColo… ,Chile
Felipe Mora quedó descartado en UdeChile para el superclásico  ,Chile
Brasil derrotó a EE.UU. y se acercó al noveno puesto del Mundial de Hockey Patín  ,Chile
[Video] Destruyó equipos en una tienda Apple y salió como si nada pasara  ,Chile
Lagos apoyó subir edad de jubilación para mejorar pensiones  ,Chile
Leonardo Valencia y Oscar Opazo son sorpresas en la nómina de Chile Rusia2018  ,Chile
Ex socio de Rafael Garay quedó con arraigo y arresto domiciliario  ,Chile
[Streaming] En Al Aire Libre en @Cooperativa el reporte de ColoColo a cargo de @rodrigogomezf  CooperativaEsChile,Chile
Papa descartó viaje a Chile y Argentina en 2017  ,Chile
Pizzi completó nómina de Chile con siete jugadores del medio local ,Chile
RT @LaRoja: ¡NÓMINA FINAL! Así quedó compuesta la convocatoria para los duelos con Ecuador y Perú  VamosChile ,Chile
Fundación Teletón dio inicio a su campaña 2016  ,Chile
"[Streaming] En AAL en @Cooperativa, @mschwagerv nos cuenta de la reunión en ANFP previa al CC-U  CooperativaEsChile",Chile
[Video] Figuras de la UC presentaron camiseta del equipo femenino  ,Chile
Querellante en caso fraude en el Ejército: Los altos mandos son responsables  ,Chile
[Video] Papa Francisco no viajará a Chile y Argentina en 2017  ,Chile
Opina en Al Aire Libre en @Cooperativa con CooperativaEsChile. ¿Quién llega mejor al Superclasico? ,Chile
"[Streaming] Al Aire Libre con @sesnaola, @tprietoradio, @patomunoz, @polaco_goldberg y @pelotazo  CooperativaEsChile",Chile
Pablo Guede considera dejar a Gonzalo Fierro en la banca en el superclásico ColoColo  ,Chile
Abogado de Qué Pasa: Fallo del Consejo de Ética es pretexto burdo para bajar querella  ,Chile
[Video] Ángel Parra: De Violeta heredé el amor por los instrumentos  ,Chile
"RT @CEspinozaQ: Arresto domiciliario nocturno/arraigo nacional/firma mensual en carabineros para Esteban Aedo, exsocio Rafael Garay x estaf…",Chile
"Albert Ramos eliminó a Dominic Thiem, primer favorito del ATP de Chengdu  ",Chile
Objeto sospechoso generó operativo del GOPE en Ñuñoa  ,Chile
Johnny Herrera: Somos dos equipos necesitados de puntos UdeChile  ,Chile
Ejército reaccionó a procesamiento de generales (r) por fraude  ,Chile
