text,class
"Las Farc pidieron perdón por masacre de La Chinita, en Apartadó  ",Colombia
ATENCIÓN Lista la nómina de convocados para enfrentar a Paraguay y Uruguay  ,Colombia
Actores de Hollywood a los que el mundo solo los recuerda por un papel  ,Colombia
"Blogs 'Gandhi: ¿SÍ o NO?', por @matorrec  ",Colombia
Estos son los precios de algunos productos si el IVA aumenta al 22%  ,Colombia
Nación apoyará construcción de fases 2 y 3 de TransMilenio en Soacha  ,Colombia
Atentos Aumenta la alerta en La Guajira: hucarán Matthew alcanza categoría IV  ,Colombia
"Blogs 'La censura: el reto imposible de Facebook', por @ben_kew  ",Colombia
Un viajero revela las contraseñas de Wifi de los aeropuertos  ,Colombia
Los colores del atardecer y formas de las nubes tienen una explicación  ,Colombia
"Blogs 'La paz pide ponerse en las botas del otro', por @teologosalazar  ",Colombia
Narcotraficante tenía pinturas de Van Gogh robadas hace 14 años  ,Colombia
Falleció la hija del reguetonero Wisin  ,Colombia
"Blogs 'Tres', por @emmamorada  ",Colombia
Papa agradeció a Santos por 'haber dado todo' por la paz del país  ,Colombia
"Rechazan plan turístico a Medellín, que incluye a alias 'Popeye'  ",Colombia
Las Farc pidieron perdón por masacre de La Chinita  ,Colombia
Ringo Starr y Fonseca se unen para cantar el himno de la paz  ,Colombia
El expolicía que escogió perdonar y ahora hace campaña por el 'Sí'  ,Colombia
"PES 2017 llegó para ganarle a FIFA, ¿lo logra?  ",Colombia
Rosario Central confirmó que Teo Gutiérrez tiene una lesión muscular  ,Colombia
Después de nueve años el parque Bicentenario es una realidad  ,Colombia
Banco de República dejó quieta tasa de interés  ,Colombia
Rodrigo Duterte se compara con Hitler y dice querer matar drogadictos  ,Colombia
La lección de ética que dio Martin Baron en el Festival Gabo  ,Colombia
Familia de secuestrado por el Eln espera su liberación en Santander  ,Colombia
Facebook activará botón 'Ya Voté' en el plebiscito  ,Colombia
Bogotá Beer Company arrancó con 50 millones de pesos y ya vale 50 millones de dólares (vía @Portafolioco)… ,Colombia
¿Cuáles son las principales dudas sobre las votaciones del plebiscito?  TwitterMoments ,Colombia
Las cicatrices que la guerra le dejó a Huila  ,Colombia
Tenga en cuenta los cierres viales durante las votaciones del domingo  ,Colombia
"En víspera de la convocatoria de Colombia, @FALCAO no jugará con Mónaco  ",Colombia
Samsung volverá a vender sus Galaxy Note 7 en Corea del Sur  ,Colombia
El mundo despide al expresidente israelí Shimon Peres  ,Colombia
'Perdoné y cuando uno perdona vive tranquilo': víctima de La Chinita  ,Colombia
Avanzan obras para cambiarle la cara al sector del 'Bronx'  ,Colombia
"Tasa de desempleo en agosto se ubicó en 9,0 %, según Dane  ",Colombia
"Por 'Matthew', aumenta nivel del mar en varios sectores de La Guajira  ",Colombia
La historia de Pablo Escobar regresa con otra mirada  ,Colombia
"Con implante de plumas, Águila volvió a volar los cielos del Huila  ",Colombia
El gran reto para Colombia: superar la cultura de la venganza  ,Colombia
¿La Luna Negra marca el fin del mundo?  ,Colombia
Narcotraficante tenía pinturas de Van Gogh robadas hace 14 años  ,Colombia
'Marcar me hace feliz y me da mucha confianza': Santos Borré  ,Colombia
La encantadora joven 'curvy' que enamoró a los italianos  ,Colombia
"Ya se realiza acto en el que las Farc piden perdón a víctimas de La Chinita, Apartadó (Urabá antioqueño)… ",Colombia
"Con este video, la Agencia Espacial Europea despide a Rosetta  ",Colombia
.@BarackObama pide a Israel a retomar el camino de la paz en funeral de Peres  ,Colombia
En los Llanos del Yarí se inicia destrucción de explosivos de las Farc  ,Colombia
Los momentos más emocionantes del concierto de @Aerosmith en Bogotá  ,Colombia
Paso a paso para votar en el plebiscito este domingo  ,Colombia
Los libros recomendados por la revista LECTURAS en septiembre  ,Colombia
Diálogos entre Estados Unidos y Rusia sobre Siria penden de un hilo  ,Colombia
"El acto en el que las Farc pedirán perdón por masacre de La Chinita, en Apartadó (Antioquia)  ",Colombia
MinTIC elimina el cobro por la homologación de celulares en Colombia  ,Colombia
Soldado norcoreano huye a Corea del Sur a través de la frontera Seúl  ,Colombia
RT @CeronBastidas: Distrito debe garantizar el transporte público a los ciudadanos  @TransMilenio @ELTIEMPO @Bogot…,Colombia
Consulte su mesa de votación para el Plebiscito en este ViernesDeApps  ,Colombia
"El zapatero, un oficio en extinción  ",Colombia
¿Qué preguntas tiene sobre la votación del plebiscito de este domingo? Cuéntenos ColombiaVotaLaPaz ,Colombia
Delincuentes en carros de servicio especial están robando las llantas de los carro  ,Colombia
@and_res_david En este enlace consulta detalles de la aprobación del umbral por parte de la Corte Constitucional ,Colombia
Falleció la hija del reguetonero Wisin  ,Colombia
@carlosfrias7408 Resultados se conocerán aproximadamente hora y media después de terminada votación: Registrador ,Colombia
@carlosfrias7408 Sí habrá certificado laboral. Estos son algunos beneficios de obtenerlo→ ,Colombia
Santa Fe perdió 4-1 en su visita a Cerro Porteño y quedó eliminado de la Suramericana 2016 ,Colombia
¿Tiene inquietudes sobre la votación de este domingo del Plebiscito? Escríbanos ColombiaVotaLaPaz ,Colombia
¿Quiénes ganan y quiénes pierden con el acuerdo de la Organización de Países Exportadores de Petróleo?… ,Colombia
@amrendonr Uno de los beneficios de votar este domingo es el derecho a tener medio día libre en su trabajo. Detalles ,Colombia
@jeanneth_gomez Ciudadanos deberán votar en el mismo lugar en el que lo hicieron la última jornada. Más información→ ,Colombia
@sebastiancalvov “Comisión verficadora del cese al fuego se iría del país: De La Calle. Vea explicación didáctica→ ,Colombia
"Opinión 'De física y metafísica', columna de @mwassermannl ",Colombia
Un bloguero y viajero reveló un listado de contraseñas de Wifi de varios aeropuertos del mundo… ,Colombia
"El 'Sí' de Uribe, por Matador.
Vea más caricaturas del día→  ",Colombia
"'Fondo Elliott presiona a Efromovich para vender Avianca', dice el diario británico 'Financial Times'… ",Colombia
Árbol de la paz será sembrado en Soacha por el presidente @JuanManSantos   ,Colombia
¿Tiene dudas sobre el la votación del plebiscito? ¡Cuéntenos! ,Colombia
Últimos dos fines de semana de la obra 'Peter Pan' en Bogotá  ,Colombia
'Iré a Colombia cuando acuerdo sea blindado por el plebiscito': Papa Francisco  ,Colombia
Rosetta se estrelló en el cometa y concluyó odisea espacial de 12 años  ,Colombia
Los colores del atardecer y las formas de las nubes tienen una explicación  ,Colombia
Tumaco se acerca a la paz con cautela  ,Colombia
Secretos del cónclave de las Farc en una casa jesuita de Turbaco  ,Colombia
Fiscalía indaga por reparto de demanda de Hyundai  ,Colombia
AEstaHora El papa Francisco se pronuncia sobre la firma de la paz con las Farc,Colombia
Rosetta cumplió su misión. Se estrelló en el cometa y concluyó odisea espacial de 12 años  ,Colombia
Declaran asesinato de Jaime Garzón como crimen de lesa humanidad  ,Colombia
Opinión La firma es una forma de decirnos que no tenemos por qué resignarnos al aniquilamiento: @RSilvaRomero ,Colombia
Las medidas de seguridad que se tomarán para la votación de plebiscito por la paz  ,Colombia
"La Guajira, en alerta roja por huracán Matthew  ",Colombia
Estas son algunas de las principales páginas del periódico EL TIEMPO de hoy ,Colombia
Editorial 'Más que mil debates' ,Colombia
Aerosmith hizo vibrar a más de 27.000 espectadores en Bogotá  ,Colombia
EnVideo Los últimos vestigios de la guerra que le quedan al Caguán  ,Colombia
Dian activa alerta por avalancha de pedidos de saldos de renta  ,Colombia
Estos son los IndicadoresEconómicos del día    (Vía @portafolioco),Colombia
"Buenos días, tengan en cuenta el PicoyPlaca para hoy en las principales ciudades del país ",Colombia
"LasMásLeídas Este fin de semana habrá ley seca, y otras restricciones  ",Colombia
LasMásCompartidas Construcción de la variante de Chía arrancará en el 2018  ,Colombia
LasMásLeídas Ataque sicarial en centro comercial de Cali dejó dos muertos  ,Colombia
LasMásCompartidas Tren choca contra estación y deja al menos un muerto en Nueva Jersey  ,Colombia
LasMásLeídas Niña de Cartagena habría muerto 3 horas antes de llegar a hospital  ,Colombia
"LasMásCompartidas Adulto mayor fue desalojado y cuando buscó ayuda en sus hijos, lo dejaron en la calle… ",Colombia
LasMásLeídas Buscan a otras dos personas por crimen de comerciante en Kennedy  ,Colombia
LasMásCompartidas Analgésicos como el ibuprofeno aumentan riesgo de falla cardiaca  ,Colombia
LasMásLeídas Dramático relato de pacientes de médico que bailó en una cirugía  ,Colombia
"LasMásCompartidas NoEsHoraDeCallar: el conmovedor relato de Yaneth Álvarez, víctima de acoso y chantaje… ",Colombia
LasMásLeídas Revelan antecedentes de los presuntos fleteros de Ciudad Alsacia  ,Colombia
LasMásCompartidas Acuerdo entre Gobierno y Farc es considerado para premio Nobel de Paz  ,Colombia
"LasMásLeídas Vote 'Sí' o 'No', usted tiene derecho a estos beneficios  ",Colombia
Escritor de DC Comics confirma bisexualidad de 'La Mujer Maravilla'  ,Colombia
Estas son las compañías que podrían comprar a Twitter  ,Colombia
Uber ahora les permite programar los viajes a sus usuarios  ,Colombia
Juan Manuel Santos premió a Caterine Ibargüen y a su técnico  ,Colombia
Famosos que se han desnudado por una causa social o política  ,Colombia
Analgésicos como el ibuprofeno aumentan riesgo de falla cardiaca  ,Colombia
El Papa Francisco visitará Colombia en el primer trimestre de 2017  ,Colombia
"NoEsHoraDeCallar: el conmovedor relato de Yaneth Álvarez, víctima de acoso y chantaje  ",Colombia
"Adulto mayor fue desalojado y cuando buscó ayuda en sus hijos, lo dejaron en la calle  ",Colombia
"Este fin de semana habrá ley seca, y otras restricciones  ",Colombia
Buscan a otras dos personas por crimen de comerciante en Kennedy  ,Colombia
Fiscal anuncia captura de alcalde de Girardot por corrupción electoral  ,Colombia
En La Guajira recomiendan declarar alerta naranja por huracán Matthew  ,Colombia
Los personajes en Colombia y el mundo que apoyan el 'Sí' y el 'No' en el plebiscito  ,Colombia
Juan Manuel Santos premió a Caterine Ibargüen y a su técnico  ,Colombia
Afuera el campeón: Santa Fe cayó 4-1 contra Cerro Porteño  ,Colombia
"Blogs 'Las maravillas de los trabajos manuales', por @mousi  ",Colombia
Escritor de DC Comics confirma bisexualidad de 'La Mujer Maravilla'  ,Colombia
Estas son las compañías que podrían coprar a Twitter  ,Colombia
"Blogs '¡Sí al progreso de Colombia!', por @DigitalJumper  ",Colombia
Declaran asesinato de Jaime Garzón como crimen de lesa humanidad  ,Colombia
Gracias a un valiente ciudadano cayeron tres personas acusadas de fleteo  ,Colombia
"La Guajira, en alerta roja por huracán Matthew  ",Colombia
"Blogs 'Dios de paz', por @benditoavila  ",Colombia
No se acueste sin leer esto  ,Colombia
Farc irán a zonas veredales luego de votación de plebiscito: Ejército  ,Colombia
"Blogs 'Un sí realista', por @cgallo09  ",Colombia
Así vivió Colombia su primer y único plebiscito  ,Colombia
"Vote 'Sí' o 'No', usted tiene derecho a estos beneficios  ",Colombia
"Blogs 'Cómo Escribir Un Libro 1 En Amazon', por @SantiagoRios  ",Colombia
"Tras cuatro años, vuelven a caminar por sendero de la calle 95  ",Colombia
"Blogs 'Plebiscito: verdades y mitos (2 parte)', por @juanma_0423  ",Colombia
Ataque sicarial en centro comercial de Cali dejó dos muertos  ,Colombia
En La Guajira recomiendan declarar alerta naranja por huracán Matthew  ,Colombia
Uber ahora les permite programar los viajes a sus usuarios  ,Colombia
"Blogs 'La doctora Cecilia', por @malievan  ",Colombia
"NoEsHoraDeCallar: el conmovedor relato de Yaneth Álvarez, víctima de acoso y chantaje  ",Colombia
"Blogs 'El Aerosmith que me tocó', por @autopistarokosa  ",Colombia
Estas son las canciones que tocaría Aerosmith en Bogotá  ,Colombia
"Blogs 'El presidente Uribe que conocí y el expresidente que veo hoy', por @ivagut  ",Colombia
Acuerdo entre Gobierno y Farc es considerado para premio Nobel de Paz  ,Colombia
El Papa Francisco visitará Colombia en el primer trimestre de 2017  ,Colombia
"Blogs 'La clave para entender el miedo a hablar en público', por @liderazgoarriba  ",Colombia
Eln dejó en libertad a un arrocero secuestrado en zona rural de Arauca  ,Colombia
Comenzó la restitución a uniformados víctimas de la guerra  ,Colombia
Así son las zonas por donde pasará la primera línea del metro  ,Colombia
"Blogs 'Anonimato y redención: el temple de dos mujeres', por @moleskine32  ",Colombia
Fiscal anuncia captura de alcalde de Girardot por corrupción electoral  ,Colombia
"Adulto mayor fue desalojado y cuando buscó ayuda en sus hijos, lo dejaron en la calle  ",Colombia
"Blogs 'Un reto de ciudad para crear un campus universitario', por @redcomovamoscol  ",Colombia
Víctimas de la violencia apoyan el 'Sí' en el plebiscito  ,Colombia
Hemos capturado 205 integrantes de 16 bandas criminales que operaban en todo el país: Fiscal Néstor Humberto Martínez,Colombia
"Blogs 'Ventino: a la conquista del público hispano', por @Nataliagnecco  ",Colombia
Atención Fiscalía entrega detalles sobre corrupción de funcionarios en la Gobernación de Cundinamarca,Colombia
Buscan a otras dos personas por crimen de comerciante en Kennedy  ,Colombia
"EL TIEMPO, uno de los primeros medios de Colombia en Twitter Moments  ",Colombia
"Blogs 'Familia, amigos y plebiscito', por @tornamesa_blog  ",Colombia
"Este fin de semana habrá ley seca, y otras restricciones  ",Colombia
