text,class
Mis condolencias para los familiares de los fallecidos y para toda la @SEDENAmx. Deseo pronta recuperación a quienes resultaron heridos.,Mexico
El ataque a elementos del Ejército Mexicano en Sinaloa no quedará impune. Los responsables de estos hechos responderán ante la Ley.,Mexico
Personal de nuestras Fuerzas Armadas ya se encuentra en labores de apoyo Durango.,Mexico
"Ante las fuertes lluvias en Durango, he dado instrucciones a @PcSegob de respaldar al @gobdgo en la atención a la población afectada.",Mexico
"Lamento el fallecimiento del destacado empresario mexicano Guillermo Zambrano. Mis condolencias para sus familiares, amigos y colaboradores.",Mexico
Los mexicanos guardamos un grato recuerdo de sus visitas a nuestro país y de sus cálidas palabras sobre México y su gente. Descanse en paz.,Mexico
"Lamento la partida del ex mandatario de Israel y Premio Nobel de la Paz, Shimon Peres. Nuestras condolencias a su familia y connacionales.",Mexico
Este avance está asociado a los resultados de las Reformas y a las distintas acciones que ha impulsado México para elevar su competitividad.,Mexico
"México está en el lugar 51 de 138 países, logrando su mejor posición desde 2006, año en que se estableció la metodología actual.",Mexico
México avanzó 6 lugares en el Índice de Competitividad Global 2016-2017 del Foro Económico Mundial @wef: ,Mexico
"Mi especial reconocimiento a @Bikomx, @rest_Quintonil y @pujolrestaurant por estar en los primeros 10 lugares de esta importante lista.",Mexico
"¡Felicidades! @dulcepatriamx, @Corazondtierra, @NicosMexico, @GrupoPangea, @RestAmaranta y @Sud777Mx.",Mexico
La grandeza de la Cocina Mexicana es reconocida en todo el mundo. @Mexico consigue 9 lugares en la lista de los LatAm50Best.,Mexico
"RT @yosoymexicano: ¡Los invito a acompañarme y conocer un poco más de mi sueño, la movilidad compartida! @carrotmx @pimepardo​ JimenaPardo…",Mexico
Éxito al Gobernador @CarlosJoaquin en su nueva responsabilidad. El @gobmx trabajará con su administración por el desarrollo de Quintana Roo.,Mexico
El GobiernoAbierto es la nueva frontera de la democracia. Mi artículo a 5 años de la creación de la @opengovpart: ,Mexico
México se consolida como un líder mundial en políticas para contener los impactos del cambio climático: ,Mexico
"Recibo esta distinción en nombre de un país en transformación, cuyos logros son resultado del esfuerzo colectivo de los mexicanos.",Mexico
"Mi agradecimiento a la Foreign Policy Association @FPA_ORG, por su amable reconocimiento: ",Mexico
"Sentimos la pérdida de Manuel Larrosa, comprometido con la creación, estudio y valoración del patrimonio de México. Descanse en paz.",Mexico
"Le manifesté mi reconocimiento por los avances en el proceso de democratización de su país, y le extendí una invitación a visitar México.",Mexico
"En la @ONU_es, me reuní con Aung San Suu Kyi, Consejera de Estado de Myanmar y Premio Nobel de La Paz. ",Mexico
"Reitero mi reconocimiento especial a quienes obtuvieron, en total, 15 medallas representando a nuestro país. México celebra sus triunfos.",Mexico
"Muchas felicidades a todos los atletas mexicanos que compitieron en los JuegosParalímpicos de Rio2016, dando su mayor esfuerzo.",Mexico
"¡Muchas felicidades, Saúl @Canelo Álvarez, por este gran triunfo! Sigues demostrando que eres un campeón.",Mexico
Más mexicanos triunfando en los JuegosParalímpicos de Rio2016. Ahora @NelyMiranda consiguió una medalla de Bronce. ¡Muchas felicidades!,Mexico
"Edgar Navarro nos vuelve a emocionar, al ganar su segunda medalla, ahora de plata, en los Juegosparalímpicos. ¡Felicidades!",Mexico
¡Felicidades Jesús Hernández por tu medalla de bronce en los JuegosParalímpicos! Tu logro ocurre en un día muy especial para México.,Mexico
Sus obras enriquecen nuestro paisaje arquitectónico y son parte del patrimonio cultural de México.,Mexico
"Lamento el fallecimiento de Teodoro González de León, arquitecto universal y profundamente mexicano.",Mexico
¡Vivan los héroes que lucharon hace 206 años! ¡Viva nuestra gran Nación! ¡Viva la Independencia! ¡Viva México! ,Mexico
Esta noche los mexicanos nos unimos para celebrar nuestra Independencia y honrar a los héroes que nos dieron Patria y Libertad.,Mexico
Le deseo éxito al Gobernador José Rosas @AispuroDurango. Reitero el compromiso del @Gobmx de trabajar en favor del desarrollo de Durango.,Mexico
Patricia Valle gana la 12.ª medalla para México en los JuegosParalímpicos de Rio2016. ¡Muchas felicidades por este gran logro!,Mexico
"Con este paso histórico, México reafirma su compromiso con el cuidado del ambiente y del planeta.",Mexico
"México entregará la ratificación durante la Asamblea General de la @UN, y seremos de los primeros 55 países en ratificarlo.",Mexico
"Reconozco al @senadomexicano por ratificar el Acuerdo de París, el mayor esfuerzo global ante la amenaza del CambioClimático.",Mexico
¡Muchas felicidades Rebeca Valenzuela! Tu país celebra tu medalla de bronce en los JuegosParalímpicos de Rio2016.,Mexico
Un día de grandes logros para los mexicanos en Rio2016. ¡Felicidades Jesus Castillo por tu medalla de bronce en los JuegosParalimpicos.,Mexico
Una razón más para estar orgullosos de nuestros atletas en Rio2016. ¡Felicidades Catalina Díaz Vilchis por tu medalla de bronce!,Mexico
¡Un mexicano más conquista el medallero de los JuegosParalímpicos de Rio2016! Muchas felicidades Edgar Navarro por tu medalla de bronce.,Mexico
RT @yosoymexicano: ¡Los invito a acompañarme esta semana en YoSoyMexicano! MiguelArroyo ,Mexico
"Le deseo mucho éxito al Gobernador @ATelloC en su gestión. El @gobmx trabajará en equipo, por el bienestar y prosperidad de los zacatecanos.",Mexico
¡Los mexicanos siguen triunfando en los JuegosParalímpicos de Rio2016! Felicidades a Pedro Rangel por su medalla de bronce en Natación.,Mexico
¡Felicidades Lenia Ruvalcaba por tu medalla de oro! Es un orgullo que más mexicanos sigan triunfando en los JuegosParalímpicos Rio2016.,Mexico
¡Muchas felicidades Amalia Pérez! Tu medalla de oro y récord mundial en Powerlifting nos llenan de orgullo. JuegosParalímpicos Rio2016,Mexico
¡Muchas felicidades Salvador Hernández por tu medalla de bronce! México celebra tu desempeño en los JuegosParalímpicos de Rio2016.,Mexico
¡Muchas felicidades Eduardo Ávila! Tu medalla de oro confirma el enorme talento mexicano presente en los JuegosParalímpicos de Rio2016.,Mexico
¡Felicidades Luis Zepeda por tu medalla de plata en los JuegosParalímpicos Rio2016! Siéntete muy orgulloso de este logro.,Mexico
El PaqueteEconómico2017 es responsable y con sensibilidad social: privilegia los programas más eficaces contra la pobreza.,Mexico
El PaqueteEconómico2017 no propone nuevos impuestos ni aumentos a los existentes.,Mexico
"La Estabilidad Macroeconómica no es un fin, sino un medio para proteger y fortalecer la economía de las familias mexicanas.",Mexico
"La prioridad del PaqueteEconómico2017 entregado al Congreso, es la Estabilidad Macroeconómica. Conócelo en: ",Mexico
"Con mucho orgullo, felicito a @angelesmundial por lograr la primera medalla de oro para @Mexico en los JuegosParalímpicos Rio2016",Mexico
Deseo todo el éxito a los deportistas mexicanos que participan en los Juegos Paralímpicos Rio2016. Su país está con ustedes.,Mexico
RT @yosoymexicano: ¡Gracias por acompañarnos esta semana! @mitucalzado AlejandraGámez AngélicaRuiz ,Mexico
"Esta tarde se tendrá un recuento de daños más detallado, que nos permitirá poner en marcha la etapa de recuperación.",Mexico
"Personal de @PcSegob y @PoliciaFedMx se coordina con delegados federales y el gobierno de Baja California Sur, para atender a la población.",Mexico
"De acuerdo con los últimos reportes, Newton sólo ha causado daños menores en infraestructura y hay saldo blanco.",Mexico
Invito a la población a mantenerse atenta a las alertas y recomendaciones de @PcSegob y @conagua_mx.,Mexico
"El @GobMx coordina acciones de prevención con autoridades locales, por la evolución del Huracán Newton.",Mexico
Deseo mucho éxito al Gobernador @omarfayad. Trabajaremos juntos para elevar los niveles de bienestar de todos los hidalguenses.,Mexico
"El DíaInternacionalDeLaMujerIndígena, reconoce a las herederas de un legado milenario que nos enorgullece.",Mexico
"Mi más sentido pésame a la Dra. @_MJuan_ y a su familia, por el lamentable fallecimiento de su esposo, el Dr. Carlos Herreramoro Gómez.",Mexico
"He abierto este foro para responder, esta noche, a algunas de las preguntas más votadas. Te invito a participar: ",Mexico
"Repito lo que le dije personalmente, Sr. Trump: México jamás pagaría por un muro.  ",Mexico
¿Para qué me reuní con Donald Trump? ,Mexico
"A partir de ahí, la conversación abordó otros temas, y se desarrolló de manera respetuosa.",Mexico
Al inicio de la conversación con Donald Trump dejé claro que México no pagará por el muro.,Mexico
"Creo en el diálogo para promover los intereses de México en el mundo y, principalmente, para proteger a los mexicanos donde quiera que estén",Mexico
"Invité a México a los candidatos a la Presidencia de EEUU, para conversar sobre la relación bilateral. Mañana recibo a Donald Trump.",Mexico
"Los datos, imágenes y las historias detrás de este 4toInforme. Porque lo bueno casi no se cuenta, pero cuenta mucho ",Mexico
"RT @yosoymexicano: Yo soy Irad Santacruz, Yo soy Tlaxcalteca y YoSoyMexicano !!! ",Mexico
"Una voz y un talento que representaban a México. Su música, un legado para el mundo. Se ha ido muy pronto. Que descanse en Paz.",Mexico
"Lamento la muerte de Juan Gabriel, uno de los grandes íconos musicales de nuestro país. Mis condolencias a sus familiares y amigos.",Mexico
Nancy se hizo voluntaria en un Comedor Comunitario para ayudar a su familia. Conócela:  ,Mexico
"Historias como las de estos emprendedores, se cuentan poco, pero cuentan mucho:  4toInforme ",Mexico
"Un mejor México se construye cada día, en equipo, a partir de lo mucho que hacemos bien los mexicanos 4toInforme
",Mexico
"Porque tienen mucho que decir, y me interesa escucharlos, este 1 de septiembre la conversación será con los jóvenes:
",Mexico
"En nombre de México, mis sentidas condolencias al gobierno y pueblo italiano por las pérdidas humanas tras el sismo que sacudió esta nación.",Mexico
Todos nuestros deportistas olímpicos son un orgullo para @Mexico. Felicidades por competir en Rio2016 y dar su mejor esfuerzo.,Mexico
"No solo has ganado la plata, hoy pasas a la historia como una de las más grandes. Felicidades, @MariEspinozaTKD. Por tu fuerza y entereza.",Mexico
"¡Felicidades por tu medalla, Ismael Hernández @ismaelpenta! Un logro  reflejo de tu esfuerzo y dedicación. Estamos orgullosos de ti Rio2016",Mexico
"¡Germán Sánchez se sube al podio! Felicidades, @diversanchez. ¡Qué gran trabajo! Llenas a todos de alegría y orgullo plata rio2016",Mexico
