text,class
"Mira los números a ver si te pegaste con los $33,250,000 -  ",USA
Buscan a joven desaparecido en Ponce -  ,USA
Esto es lo último sobre el huracán Matthew -  ,USA
Darán matrícula gratis a estudiantes de MBTI -  ,USA
Mueren militares en ataque realizado por hijos de El Chapo -  ,USA
Datos que debes conocer sobre la trisomía 13 -   ,USA
. @Sixers pierden a @BenSimmons25 -  ,USA
Ya funciona la página de Internet de la Junta. Conoce la dirección -  ,USA
Sonia Sotomayor insta a puertorriqueñas a buscar el éxito -  ,USA
Buscan proteger a los polinizadores y a los invertebrados -  ,USA
Asalto en la UPR de Río Piedras termina con asaltante atropellado -  ,USA
[VIDEO] Publican primeras imágenes de Janet Jackson embarazada -  ,USA
Facebook te enseña a catar whisky -  ,USA
Designado presidente a la Junta habla sobre los planes del ente creado por PROMESA -  ,USA
Nuevos embargos de Hacienda -   ,USA
[COLUMNA] Aníbal Acevedo Vilá: Primero tenemos que descolonizar el alma -  ,USA
Senadora Warren señala mal comienzo de la Junta -   ,USA
Puertorriqueños podrían acumular hasta 28.5 días al año en su carro -  ,USA
Esperan por la autopsia en caso de bebé muerta en Juncos -  ,USA
Junta de Supervisión establece su control sobre la Isla -  ,USA
[AHORA] Acusan a empresario por fraude a Westernbank -  ,USA
Melissa Mark Viverito censura elección de Carrión a la presidencia de la Junta -  ,USA
Diez recomendaciones para ser un buen padre -  ,USA
[Columna] Una dictadura llamada Junta de Control Fiscal -  ,USA
Emotiva carta de escucha que firmó a José Fernández –  ,USA
@machadooficial no se queda callada y le contesta a @realDonaldTrump –  ,USA
Buscan respuestas tras choque de tren en Nueva Jersey -  ,USA
Hacienda desembolsa $18 millones en reintegros -  ,USA
[COLUMNA] Trump y su ataque feminazi | Es el grito “cállate y compórtate” carente de fundamento válido  -… ,USA
Cossec bajo el ala de la Junta Fiscal -  ,USA
Huracán Matthew ya es categoría 3 -  ,USA
Mujer demanda a policía de Florida por dispararle con un taser -  ,USA
Trump vuelve a la carga contra Alicia Machado -  ,USA
[COLUMNA] ¿Qué hace una unión metida en la campaña política? -  ,USA
Lista completa de entidades impactadas por mandato de PROMESA -  ,USA
Políticos boricuas reaccionan a primera reunión de la Junta -  ,USA
Libérate del sedentarismo y retoma el ejercicio -  ,USA
[VIDEO] Ruta para salir del mantengo -  ,USA
Mágico el 30 de septiembre en las Grandes Ligas -  ,USA
Detienen a cinco manifestantes contra la Junta -  ,USA
RT @AlexFigueroaC: Manifestación del Campamento contra la Junta de Control Fiscal provoca que policía cierre acceso al Caribe Hilton ,USA
Todo lo que necesitas saber sobre PROMESA -  ,USA
"RT @jgonzalezpr: lajuntafederal también toma control de Cofina, Edificios Públicos, Banco de Desarrollo Económico, Aut para Financiamiento…",USA
"RT @jgonzalezpr: Entre las entidades cubiertas por lajuntafederal también figura la Autoridad del Distrito de Convenciones, @UPRInforma, F…",USA
RT @jgonzalezpr: no emiten deuda han sido identificadas como entidades cubiertas bajo PROMESA,USA
"RT @jgonzalezpr: Concluya 1era reunión de la juntafederal. En apenas 29 minutos, el gobierno de Puerto Rico, así como el BGF e incluso age…",USA
Fuentes de El Nuevo Día anticiparon el nombre del presidente de la Junta -  ,USA
"RT @JoseADelgadoEND: También se incluirá la UPR, los sistemas publicos de retiro, y el Banco Gubernamental de Fomento, entre otros.",USA
"RT @JoseADelgadoEND: Oficialmente le han quitado la chequera al gobierno. Las corporaciones como AEE, AAA, Puertos, etc, estarán bajo su co…",USA
"RT @JoseADelgadoEND: Pasan lista de un alto número de dependencias que estarán bajo su jurisdicción, incluido el gobierno central. lajunta…",USA
"RT @JoseADelgadoEND: José Ramón González, expresidente del BGF, sale de la reunión.",USA
