text,class
"Axel Kicillof: “El que roba tiene que ir en cana sea macrista, kirchnerista o de donde sea”  ",Argentina
"Argentina-Rusia, Mundial de Futsal 2016: horario y TV de la final  ",Argentina
Horóscopo de octubre para todos los signos del zodíaco  ,Argentina
"Karina Jelinek apuntó contra Sofía Zámolo: Hace poco, me sacó de un camarín  ",Argentina
Un cliente furioso destrozó una tienda de Apple en Francia  ,Argentina
Médicos cordobeses imprimieron un corazón 3D para operar y salvar a un chico de seis años  ,Argentina
Procesaron a 25 empleados del Ministerio de Interior de la gestión kirchnerista   ,Argentina
Angelici habló de Tevez y aseguró: A Boca se le exige más que a River porque es más grande  ,Argentina
Luis Pagani: “No creo que tengamos que proteger una industria que vende a un 40% más caro”  ,Argentina
"No voy a quedarme callada, dijo Serena Williams sobre la violencia racial en EE.UU.  ",Argentina
"Síndrome de Patau, la enfermedad rara que le quitó la vida a la hija del músico Wisin  ",Argentina
Los economistas no ven problemas para pagar la deuda del Gobierno en 2017  ,Argentina
"¡Más efímero que un suspiro! Alina Moine y Chapa Retegui, en crisis  ",Argentina
"España: un argentino, entre los condenados de una célula yihadista  ",Argentina
EncuentroIntendentes: todo el detrás de escena en Tecnópolis  ,Argentina
López será trasladado a Jujuy bajo un estricto operativo de seguridad   Por @maiajastre ,Argentina
Julieta Venegas: Charly García sigue siendo una influencia muy grande para mí  ,Argentina
El sueldo de @mauriciomacri aumentó un 31% en 2016: cobra $173.000 brutos por mes  ,Argentina
"Dos argentinos, Silicon Valley y una idea para revolucionar la política  Por @AlanSG6 ",Argentina
Pesadilla en la cocina: Christophe se enfrenta a los malos restaurantes  ,Argentina
"Tras su condecoración, Cristina Kirchner brindó una conferencia magistral en Ecuador  ",Argentina
Habló uno de los choferes detenidos: Iba masticando hojas de coca  ,Argentina
Francisco anunció que no vendrá al país en 2017   ,Argentina
Las mejores fotos del lanzamiento de LN+  lanacionmas ,Argentina
Así fue la espera para retirar los 300 celulares de Huawei por 1 peso 📱  ,Argentina
Lanzamiento de lanacionmas: el espectáculo y la cultura celebraron la innovación  ,Argentina
"EncuentroIntendentes: Queremos trabajar sin importar los colores políticos, dijo Macri  ",Argentina
Otro fuerte exabrupto de Hebe de Bonafini contra @mauriciomacri  ,Argentina
¿Cuáles son los mejores destinos para viajar? ✈️  ,Argentina
Héctor Recalde: “Fue un error del kirchnerismo el no haber tenido datos confiables”  ,Argentina
