text,class
Rescatan a 2 trabajadores que quedaron colgando a varios metros de altura en Polanco CDMX  ,Mexico
Incendio de buque de @Pemex 'Burgos' habría dañado arrecife de coral en Veracruz  ,Mexico
'EEUU es grande porque somos buenos': @HillaryClinton  ,Mexico
"RT @LUISFELIPE_P: El Gob. del edo. de Col, a recomendación del Comité Científico toma la decisión de evacuar las comunidades de La Yerbabu…",Mexico
Rescatistas rompen en llanto al salvar a un bebé en Siria CascosBlancos  ,Mexico
Investiga @ONU_es ataque a convoy humanitario en siria  ,Mexico
Disparan contra chofer de microbús tras accidente de tránsito en la GAM CDMX  ,Mexico
Este viernes a las 11:30PM no te pierdas a @brozoxmiswebs y otros personajes en PeladitoyenlaBoca… ,Mexico
Alerta volcánica en Colima podría elevarse a naranja volcán  ,Mexico
Suspenden corridas de autobús a Michoacán por inseguridad  ,Mexico
Policía francesa recupera dos cuadros robados de VanGogh  ,Mexico
PremioNobel de literatura será anunciado el 13 de octubre  ,Mexico
Implementa @SEDENAmx plan de emergencia por lluvias e inundaciones en durango  ,Mexico
"No te puedes perder a las 11:30PM PeladitoyenlaBoca con ElCharroAmarillo, @brozoxmiswebs y más… ",Mexico
Hijos de 'El Chapo' podrían estar detrás de emboscada a militares en Sinaloa  ,Mexico
Analizan desalojo en Colima por actividad volcánica volcán México  ,Mexico
"Alcanza categoría 4 huracán Matthew, amenaza a Cuba, Jamaica y Colombia  ",Mexico
Consulte aquí el tránsito y elija la mejor ruta para regresar a casa waze  ,Mexico
Hoy a las 11:30PM no te pierdas a LaBebaGalván y @brozoxmiswebs en PeladitoyenlaBoca ,Mexico
Condena @EPN ataque a militares en Sinaloa  ,Mexico
Entrega @ManceraMiguelMX apoyos económicos a micro y pequeñas empresas en la CDMX economía… ,Mexico
Se duplican decomisos en aduanas mexicanas  ,Mexico
Cierra a la alza WallStreet tras repunte bancario mercados economía  ,Mexico
Pierde 0.89 @BMVMercados mercados economía bolsas  ,Mexico
Cierran a la alza mercados en Europa tras repunte de @bundesbank  ,Mexico
"En PeladitoyenlaBoca, @brozoxmiswebs  te da lo mejor de la semana, no te lo pierdas a las 11:30PM… ",Mexico
"En PeladitoyenlaBoca, @brozoxmiswebs da una noticia de ‘última hora’ sobre un ex funcionario mexicano que se suma… ",Mexico
Retiran estaciones de @ecobici en el centro de la CDMX por marcha del 2DeOctubre  ,Mexico
Alerta en Colima y Jalisco por actividad volcánica volcán proteccióncivil  ,Mexico
Investiga @SATMX a gobernadores por evasión fiscal  ,Mexico
Recuperan dos cuadros de Van Gogh que habían sido robados  ,Mexico
Sepultan a la joven Karen Esquivel en panteón de Tlalnepantla  ,Mexico
Los funerales de Shimon Peres en Jerusalén  ,Mexico
Yanar Mohammed gana el Premio Rafto en Derechos Humanos  ,Mexico
Diarios de EU dan la espalda a DonaldTrump y apoyan a @HillaryClinton  ,Mexico
La ONU crea comisión para investigar ataque a su convoy humanitario en Siria  ,Mexico
Crece más de 250% decomiso de drogas y armas en aduanas mexicanas  ,Mexico
"Gran parte de México, susceptible al deslizamiento de laderas: Cenapred  ",Mexico
Ejército aplica el Plan DN-III tras inundaciones en Durango  ,Mexico
¿Te interesa conocer más sobre el movimiento artístico Barroco? @clarketo recomienda museo en Puebla… ,Mexico
Este es el mensaje que @KeshaRose envío a @machadooficial para mostrarle su apoyo AlAireConPaola… ,Mexico
"'EU es grande porque somos buenos', dice @HillaryClinton  ",Mexico
RT @EPN: Mis condolencias para los familiares de los fallecidos y para toda la @SEDENAmx. Deseo pronta recuperación a quienes resultaron he…,Mexico
RT @EPN: El ataque a elementos del Ejército Mexicano en Sinaloa no quedará impune. Los responsables de estos hechos responderán ante la Ley.,Mexico
"En PeladitoyenlaBoca @brozoxmiswebs recuerda que en la misma del 31 aniversario del sismo de 1985, el dólar llegó… ",Mexico
"Puebla recibirá capacitación de primer nivel en sector automotriz, explica @benjaortega AlAireConPaola… ",Mexico
"Más de 30 líderes mundiales despiden a Shimon Peres en Israel, LasNoticiasconKarlaIberia  ",Mexico
En LasNoticiasConKarlaIberia está @EnriqueBurak para el análisis de la información deportiva ,Mexico
