text,class
Huracán Matthew ha aumentado su intensidad en zona de frontera entre Colombia y Venezuela.  ,Colombia
"Cristian Uscátegui, experto del Ideam, explica cómo se comporta el huracán Matthew, que a La Guajira. ",Colombia
"Huracán Matthew, que ya es categoría 4, ya deja una persona muerta en La Guajira. ",Colombia
James lidera la convocatoria de Colombia para los juegos de Eliminatorias ante Paraguay y Uruguay.… ,Colombia
"Entre esta noche y mañana, Matthew seguirá rumbo a Jamaica, Haití, República Dominicana y el oriente de Cuba ",Colombia
Huracán Matthew ya afecta la Costa Caribe colombiana con vientos sostenidos de 240 kilómetros por hora. ,Colombia
AlAire @NoticiasRCN con Juan Eduardo Jaramillo y Margarita Ortega.,Colombia
"En minutos, toda la información de Colombia, sus regiones y el mundo en nuestra emisión de las 7:00 p.m",Colombia
Una nueva versión del Festival de Gaitas llegará a Sucre.  ,Colombia
Unos 11.000 usuarios están afectados por cierre de clínica en La Calera.  ,Colombia
Estos son los IndicadoresEconómicos de este viernes 30 de septiembre. ,Colombia
"Erosión dejó en el aire línea férrea en Gamarra, Cesar.  ",Colombia
Jesurún: Colombia busca ser sede de Mundial Femenino de Fútbol del 2023.  ,Colombia
RT @LaNocheNTN24: ¿Cree usted que ofrecimiento de perdón por parte de las Farc es suficiente para las víctimas? Opine en @NTN24 y @Noticias…,Colombia
"La Guajira, uno de los departamentos más afectados durante el paso de huracán Matthew por la costa del país. Más i… ",Colombia
"Banrepública dejó estable su tasa de interés en 7,75%.  ",Colombia
El agua del mar de Riohacha se metió a las playas de la ciudad durante paso de huracán Matthew por costa colombian… ,Colombia
"Este es el panorama en las playas de Riohacha, por el paso del huracán Matthew. Foto @DianaFonsecaLo ",Colombia
Las Farc piden perdón a familiares de víctimas de masacre en La Chinita.  ,Colombia
Dilma Rousseff nuevamente pidió a la Corte Suprema anular su destitución.  ,Colombia
Se entregaron los Premios de Periodismo Gabriel García Márquez.  ,Colombia
Medicina Legal: restos hallados en el Bronx corresponden a hombres de 40 a 50 años.  ,Colombia
Responden @luisfelipehenao y @PachoSantosC.  SíoNo con @JoseMAcevedo. ,Colombia
'Timochenko' tilda de provocación sobrevuelo militar en acto de paz en Cartagena.  ,Colombia
"Este domingo 2 de octubre, Colombia va a las urnas a votar el plebiscito para refrendar los acuerdos logrados entre… ",Colombia
Policía desarticula 15 organizaciones dedicadas al narcotráfico.  ,Colombia
Benjamín Netanyahu y Mahmud Abás se estrechan la mano en el funeral de Shimon Peres.  ,Colombia
Matthew se convierte en huracán categoría 4 sobre costa colombo-venezolana.  ,Colombia
Papa visitará el país si colombianos respaldan acuerdo de paz con las Farc.  ,Colombia
ATENCIÓN. Matthew se convierte en huracán categoría 4 sobre la costa colombo-venezolana.  ,Colombia
Detienen a joven francés de 15 años por preparar un ataque yihadista.  ,Colombia
"Las Farc pedirán perdón por masacre que perpetraron en Apartadó, Antioquia.  ",Colombia
Ecopetrol actualiza plan de negocios y prevé inversiones por 13.000 millones de dólares.  ,Colombia
Murió la hija del cantante puertorriqueño Wisin.  ,Colombia
MOE: cese al fuego por parte del ELN reduce riesgo durante plebiscito.  ,Colombia
Dirigentes del mundo despiden a Shimon Peres en Jerusalén.  ,Colombia
Habla mujer agredida por su exnovio Camilo Sanclemente.  ,Colombia
Medicina Legal hará nuevos exámenes para establecer causa de muerte de menor en Cartagena.  ,Colombia
Matthew sigue avanzando hacia el interior de La Guajira; luego de 208 km/h será Categoria IV: @HenriquezMax. ,Colombia
Imágenes del huracán Matthew que recorre aguas cercanas a Colombia a más de 185 km/h y ya alcanzó categoría tres.… ,Colombia
