text,class
"RT @Areajugones: Que no se os olvide antes de salir de fiesta apuntaros a este sorteo, ¡que es de los buenos! ",Spain
"¡Ostras! ¡El perro de Zenyatta! Vale, ya paro de jugar. Perdón. ",Spain
"RT @ReaperWatch: El otro día hablando con la CM de @Overwatch_Esp

y si damos un regalo de navidad a nuestros Seguidores?

Quereis?",Spain
"¡Hoygan! ¡Tenemos sorteito, gente! ",Spain
@_LONS siempre la pongo... Para alejar la respuesta que no quiero que salga. e_e,Spain
@Areajugones Gif mi Sombra ,Spain
¿Queréis que comparta el corto por aquí? Aviso que somos unos noobs y ha faltado tiempo... 😂,Spain
La próxima semana tendremos listo el corto en el que hablamos de una jugadora que tiene un problema con el competitivo y tengo una duda... 😦,Spain
¡Montain Dew y Doritos a partes iguales! ¡El mejunje MLG! ,Spain
@ReaperWatch Todos tenemos un pasado que nos avergüenza... Don't worry. 😚,Spain
@ElNikito13 Sombra mientras la llaman para atacar... xD,Spain
No pensamos jamás en quién recoge la sala de espera... 😢 ,Spain
"RT @JosemiGamesYT: ¡Hoy controlais mi teclado en Overwatch! Ven a pasar un buen rato con nosotros 😎

 ",Spain
@JosemiGamesYT ¿Dónde está la duda?,Spain
"RT @VideojuegosGAME: ¡Hoy es el DíaMundialDelCorazón! 
Y qué cosa hay que más amor y unión genere que los videojuegos, ¿eh? 🎮❤

Imagen por…",Spain
"RT @Overwatch_Esp: ¡Ya podéis participar en el gran sorteo! Bases, requisitos, agradecimientos aquí:  Ganadores: 10…",Spain
¡Meka activado! ¡Buenos días a tod@s! ,Spain
@ReaperWatch @MeiWatch__ hay algunas Mei's que si... :(,Spain
@ReaperWatch @MeiWatch__ Si no te pone un muro antes. 😛,Spain
@MeiWatch__  cuando está en cubito y ve todo lo que pasa a su alrededor. SaitamaFace ,Spain
@Mangaka2511 ¡Muchas gracias por participar y suerte para ti también! 😄,Spain
"Ya habéis participado en nuestro super sorteo, ¿no? 😄 ",Spain
RT @Areajugones: ¡Recordad que estamos colaborando con Overwatch España en este pedazo de sorteo! ,Spain
@JosemiGamesYT va a ser humorístico y super casero... ¡Miedo me da! 😆,Spain
"¡Buenos días, heroés y heroínas! Hoy una servidora grabará un corto sobre una jugadora competitiva de Overwatch. ¡D… ",Spain
