text,class
"Fortaleza y Real Santander serán los rivales de Millonarios en juegos amistosos.
 ",Colombia
U2 y Ringo Starr envían mensajes pidiendo paz en Colombia.  AConstruirLaPaz ,Colombia
"“La Cuarta Fase”, una película para los amantes al deporte extremo.
 ",Colombia
Judicatura abrió investigación a juez que dictó medidas cautelares en caso Hyundai.  ,Colombia
"Tres muertos en accidente de avioneta en Antioquia.
",Colombia
"Sonda Rosetta se estrelló contra el cometa y así culminó su odisea espacial de 12 años.
 ",Colombia
Lupa de la Personería a votación del plebiscito en Bogotá.  ,Colombia
"Estos son los alucinantes nuevos modelos de vehículos de lujo.
 ",Colombia
Luz verde a fases II y III de Transmilenio en Soacha.  ,Colombia
RT @DeportesEE: Murió medallista olímpico que reclutaba niñas para el Estado Islámico  ,Colombia
"Cinco cursos gratuitos en línea para potencializar sus habilidades.
 ",Colombia
"Procuraduría pide corregir fallas técnicas en la Registraduría con miras al plebiscito.
",Colombia
"Programa Hora de Aventura finalizará en 2018.
 ",Colombia
RT @EEColombia2020: Un manifiesto por el Sí en el plebiscito. Opinión de Sinthya Rubio  ,Colombia
Paso a paso: así se logró la captura de fleteros que asesinaron a comerciante en Bogotá.  ,Colombia
"Con reforma, alcalde de Cali le da revolcón a la administración de la ciudad.
 ",Colombia
"Venta de la Empresa de Energía de Bogotá: los argumentos del sí y el no, en el Concejo.  ",Colombia
¿Qué está prohibido para el día del plebiscito?  ,Colombia
"¿Cuántas veces se intentó hacer la paz con las Farc?
AConstruirLaPaz
",Colombia
La historia del hombre que pasó de cazar tortugas en Chocó a protegerlas.  ,Colombia
Entregarán grado póstumo a periodista asesinada en Pitalito.  ,Colombia
Este lunes arranca en Bogotá la semana de Protección y Bienestar Animal.  ,Colombia
"En promedio, cada hora en Bogotá se reportan 21 emergencias cardiovasculares.  ",Colombia
Paso a paso: así se logró la captura de fleteros que asesinaron a comerciante en Bogotá ,Colombia
"RT @DeportesEE: Lima, sin infraestructura a tres años de albergar Juegos Panamericanos  ",Colombia
"Para Timoleón Jiménez, sobrevuelo en Cartagena de avión de la FAC fue una “provocación”.  ",Colombia
"Murió la pequeña Victoria, hija del cantante Wisin ",Colombia
"La rectora que le está haciendo el quite a la guerra en Arauca
 ",Colombia
Matthew se convierte en huracán categoría 4 sobre La Guajira.  ,Colombia
Malas noticias para los seguidores de @horadeaventuras: el programa ya tiene fecha para el final de la serie… ,Colombia
Cinco cursos gratuitos en línea para potencializar sus habilidades  ,Colombia
"Mecanismo de monitoreo del cese al fuego inicia labores en Bogotá
",Colombia
RT @DeportesEE: Ni Falcao ni ‘Teo’ serán convocados a la selección Colombia  ,Colombia
"Los 100 días que marcarán el rumbo de la crisis venezolana
 ",Colombia
"Lady Gaga cantará en el medio tiempo del Super Bowl 2017
 ",Colombia
Hallan en Italia dos cuadros de Van Gogh robados hace 14 años  ,Colombia
Papa Francisco anuncia que no podrá viajar en 2017 a su natal Argentina  ,Colombia
"Conozca las restricciones que hay este fin de semana por votación del plebiscito.
 ",Colombia
¿Qué busca cada uno de los puntos del acuerdo que se firmó con las Farc?  AConstruirLaPaz ,Colombia
"La Unión Patriótica, el primer intento de las Farc por hacer política.   AConstruirLaPaz ",Colombia
"Para no olvidar: la cita es el 2. 

Por: Betto. ",Colombia
Lupa de la Personería a votación del plebiscito en Bogotá.  ,Colombia
Luz verde a fases II y III de Transmilenio en Soacha.  ,Colombia
Estos son los alucinantes nuevos modelos de vehículos de lujo.  ,Colombia
¿Cuántas veces se intentó hacer la paz con las Farc?  AConstruirLaPaz ,Colombia
El aporte de la comunidad internacional a la paz con las Farc.  AConstruirLaPaz ,Colombia
Paso a paso: así se logró la captura de fleteros que asesinaron a comerciante en Bogotá.  ,Colombia
Sony paga US$ 750 millones por la participación de Michael Jackson en casa disquera  ,Colombia
"Venta de la Empresa de Energía de Bogotá: los argumentos del sí y el no, en el Concejo.  ",Colombia
¿Cuáles son los beneficios económicos de la paz?  AConstruirLaPaz ,Colombia
Matthew se convierte en huracán categoría 4 sobre La Guajira.  ,Colombia
Imágenes de la sonda Rosetta antes de chocar contra cometa.  ,Colombia
Este lunes arranca en Bogotá la semana de Protección y Bienestar Animal.  ,Colombia
"En promedio, cada hora en Bogotá se reportan 21 emergencias cardiovasculares.  ",Colombia
¿Cuántas veces se intentó hacer la paz con las Farc?  ,Colombia
"RT @DeportesEE: “La Cuarta Fase”, una película para los amantes al deporte extremo  ",Colombia
Bogotá será la sede de los Campeonatos Nacionales de Ruta 2017  ,Colombia
RT @EspectadorVideo: Luis Enrique estrena el video de Cuando se juega con fuego   ,Colombia
RT @elespectador: David Guetta reedita Would i lie to you junto a Cedric Gervais y Chris Willis   ,Colombia
"Actores piden que “pensemos en el país que queremos dejarle a Amparo Grisales”
 ",Colombia
RT @DeportesEE: .@FortalezaCEIF y @SantanderReal serán los rivales de @MillosFCoficial en juegos amistosos  ,Colombia
Jamás debió ocurrir: Iván Márquez a víctimas de La Chinita.  ,Colombia
La rectora que le está haciendo el quite a la guerra en Arauca  ,Colombia
"Diputado egipcio propone implantar tests de virginidad en universidades
 ",Colombia
David Guetta reedita Would i lie to you junto a Cedric Gervais y Chris Willis   ,Colombia
Félix con los acuerdos  Vía @EEopinion,Colombia
Félix con los acuerdos ,Colombia
"Hillary fue embaucada y usada por mi peor Miss Universo: Trump sobre Alicia Machado
 ",Colombia
"Defensores públicos entrarían en paro por falta de pago de honorarios
 ",Colombia
El sí de Magola.  ,Colombia
Postales que dejó el tercer concierto de Aerosmith en Colombia.  ,Colombia
Malas noticias para los seguidores de @horadeaventuras: el programa ya tiene fecha para el final de la serie… ,Colombia
¿Vale la pena vender parte de la Empresa de Energía de Bogotá?  ,Colombia
"Hombre con cáncer cumplió el sueño de ver nacer a su hijo
 ",Colombia
"Murió la pequeña Victoria, hija del cantante Wisin
 ",Colombia
Duterte: “Hitler masacró a tres millones de judíos. Yo quiero masacrar a tres millones de drogadictos”… ,Colombia
"Descubren en Chile restos de un cocodrilo de hace 90 millones de años
 ",Colombia
Programa Hora de Aventura finalizará en 2018  ,Colombia
Lupa de la Personería a votación del plebiscito en Bogotá.  ,Colombia
“Se debe despenalizar por completo el aborto porque es un servicio de salud”: Médicos por el derecho a decidir… ,Colombia
"Legalizan captura de alcalde de Girardot, procesado por delitos electorales  ",Colombia
Estos son los crímenes más atroces de las Farc.  ,Colombia
Imágenes de la sonda Rosetta antes de chocar contra cometa.  ,Colombia
Peres y la ira del mundo árabe.  Por: Mauricio Jaramillo Jassir,Colombia
Segundo día de Caliexposhow 2016 en 18 imágenes.  ,Colombia
Paso a paso: así se logró la captura de fleteros que asesinaron a comerciante en Bogotá.  ,Colombia
Mecanismo de monitoreo del cese al fuego inicia labores en Bogotá. ,Colombia
Un mes sin acciones armadas que violen el cese al fuego: Cerac.  ,Colombia
Luz verde a fases II y III de Transmilenio en Soacha.  ,Colombia
"Venta de la Empresa de Energía de Bogotá: los argumentos del sí y el no, en el Concejo.  ",Colombia
“La base de datos del censo electoral está totalmente resguardada: Registraduría.  ,Colombia
"¿Quiénes son las Farc? Origen, evolución y fin de la guerrilla más antigua de América Latina… ",Colombia
Ciudadano golpeó a un habitante de la calle para recuperar celular robado  ,Colombia
Este lunes arranca en Bogotá la semana de Protección y Bienestar Animal.  ,Colombia
Congelan libranzas de Elite  EspectadorBlogs,Colombia
"En promedio, cada hora en Bogotá se reportan 21 emergencias cardiovasculares.  ",Colombia
Ofrecen becas en la universidad de música más grande del mundo  ,Colombia
Un guionista del cómic Mujer Maravilla asegura que la superheroína es queer.  ,Colombia
Guillermo Cano comenzó a dirigir El Espectador cuando tenía 27 años.  ,Colombia
Las historias alrededor de la fortuna de las Farc.  ,Colombia
"“Para las Farc, curules; para nosotros, cárcel o exilio”: Andrés Felipe Arias  ",Colombia
Los 100 días que marcarán el rumbo de la crisis venezolana.  ,Colombia
"Hasselbaink dice que fue ingenuo y reitera que nunca ha aceptado sobornos
 ",Colombia
Las carrozas (Letras por la paz*)  Vía @elmagazin,Colombia
"Hombre con cáncer cumplió el sueño de ver nacer a su hijo
 ",Colombia
"Huracán Matthew sube a categoría 3 mientras se acerca al caribe colombiano
 ",Colombia
10 canciones para recordar a Héctor Lavoe 23 años después de su muerte  ,Colombia
Estos son los alucinantes nuevos modelos de vehículos de lujo  ,Colombia
"Defensores públicos entrarían en paro por falta de pago de honorarios
 ",Colombia
"Estos son los ganadores del Premio Gabriel García Márquez de Periodismo 2016
 FestivalGabo",Colombia
"“Todos hemos hecho historia”: Cochise Rodríguez
 ",Colombia
Postales que dejó el tercer concierto de Aerosmith en Colombia.  ,Colombia
"Joven asesinó a supuesto ladrón que, minutos antes, le habría robado su celular en Bogotá ",Colombia
Segundo día de Caliexposhow 2016 en 18 imágenes. ,Colombia
"Entre el sí y el no, una caricatura de Chócolo.   ",Colombia
"Este domingo no se realizará ciclovía en Bogotá por plebiscito
 ",Colombia
"RT @DeportesEE: Con miras a Tokio 2020, Japón cambió planes para la construcción del estadio Olímpico  ",Colombia
“La base de datos del censo electoral está totalmente resguardada: Registraduría.  ,Colombia
Diputado egipcio propone implantar tests de virginidad en universidades  ,Colombia
"Radican solicitud ante la Corte Constitucional para suspender el plebiscito por la paz
 ",Colombia
Lupa de la Personería a votación del plebiscito en Bogotá.  ,Colombia
RT @EEColombia2020: .@URestitucion crea grupo especializado para atender las reclamaciones de militares despojados de sus tierras. ,Colombia
Paso a paso: así se logró la captura de fleteros que asesinaron a comerciante en Bogotá.  ,Colombia
