text,class
Mundo Roban expediente de asesinato de ambientalista hondureña Cáceres  ,Colombia
Capturan a presunto estafador que prometía viviendas en el norte del Valle ,Colombia
Este viernes se conocería la lista de convocados de la Selección Colombia  ,Colombia
“Decir que los acuerdos se pueden arreglar no es realista”: César Gaviria  ,Colombia
Cuando el acuerdo de paz sea blindado por el plebiscito iré a Colombia: papa Francisco  ,Colombia
"Ley Seca, restricción de parrillero en moto y otras medidas para jornada de plebiscito  ",Colombia
Los muertos de La Chinita son nuestros muertos: Farc al pedir perdón por masacre  ,Colombia
Esto es lo nuevo en tendencias de maquillaje y peinado  Vía @Vanitip ,Colombia
Lo que usted debe saber para votar el plebiscito este domingo  ,Colombia
"La final del Mundial ante Rusia será una guerra: Nicolás Sarmiento, arquero de Argentina  ",Colombia
Opinión El Sí y el No  Por: @Atadol ,Colombia
"Hillary fue engañada por la estafadora Alicia Machado, dice Trump en nueva polémica  ",Colombia
Cilcismo Óscar Sevilla es el virtual campeón del Clásico RCN  ,Colombia
Procuraduría advierte sobre posibles fallas en jornada del plebiscito por la paz  ,Colombia
Una tendinitis deja por fuera a Teófilo Gutiérrez de la @FCFSeleccionCol  ,Colombia
RT @manchaamarilla: Solicitan @BomberosCali119 Techo  se derrumbó sobre vivienda x fuerte viento en la Cra 27b con Cr 32 B/San Benito @elpa…,Colombia
¡Ya viene la lluvia! Así luce a esta hora el sur de Cali en cercanías a la Tercera Brigada. Temperatura 30° C. Foto… ,Colombia
Arrancó verificación de cumplimiento de lo acordado con las Farc  ,Colombia
Fotos: las mejores 'pintas' de Johanna Ortiz y Adriana Arboleda desfilaron por el CaliExposhow… ,Colombia
"Todo listo para la carrera 10k de la luz, inscríbase  Vía @PlanCiudad ",Colombia
Falleció la hija recién nacida del reguetonero Wisin  ,Colombia
"RT @maferth81: Viernes de trancon en Cd Jardin, foto av del lago 🎉@TwiterosCali @elpaiscali @MovilidadCali @TaxisLibres4 ",Colombia
Quiero ser campeona y goleadora de la primera liga femenina de mi país: Nicole Regnier  ,Colombia
Fiscalía rectifica información sobre caso de lavado de activos  ,Colombia
Opinión Usted sabe que nos van a matar  Por: @elvira_bonilla ,Colombia
"Colombia y el ProcesoDePaz, entre los favoritos para el premio Nobel ",Colombia
Huracán Matthew se sigue fortaleciendo y se acerca a La Guajira  ,Colombia
"Gianni Infantino, presidente de la Fifa, llega este viernes a Cali  ",Colombia
Leve reducción del desempleo en agosto respecto al 2015: se ubicó en 9%  ,Colombia
ELN liberó a secuestrado en zona rural de Arauca  ,Colombia
"Drama de los refugiados, en la lente de los participantes del Festival Gabriel García Márquez… ",Colombia
Farc piden perdón por la masacre de Bojayá  ,Colombia
Judicial Fiscalía declaró crimen de Jaime Garzón como delito de lesa humanidad  ,Colombia
Detectan daño ambiental en el río Meléndez  en el corregimiento de la Buitrera  ,Colombia
"Este viernes es el gran cierre del CaliExposhow 2016, prográmese  ",Colombia
"Investigan causas de choque de tren con estación en Nueva Jersey, EE.UU.  ",Colombia
Molestia por construcción de centro de refugio animal cerca al Cerro de La Bandera  ,Colombia
Mundo Recuperan dos cuadros de Van Gogh robados hace 14 años en Italia  ,Colombia
Recomendado: planes turísticos para el fin de semana  Vía @PlanCiudad ,Colombia
La paz sigue siendo una tarea inacabada: Obama en el funeral de Shimon Peres  ,Colombia
CaliExsposhow ¿Sientes que la moda no es lo tuyo? Cinco prendas de @SilviaTcherassi no solo para modelos… ,Colombia
Nuestro reportero @Yeffospina recibió el premio de Periodismo Ulrich Wickert en Alemania ¡Felicitaciones Yeff!… ,Colombia
El @AsoDeporCali necesita de un triunfo urgente ante Atlético Bucaramanga  ,Colombia
Colombia en alerta roja ante intensificación de huracán Matthew en el Caribe  ,Colombia
LaFrase Cuando el acuerdo de paz sea blindado por el plebiscito iré a Colombia: papa Francisco… ,Colombia
Así van las campañas por el plebiscito en el país  ,Colombia
Sonda Rosetta se estrella y concluye odisea espacial de 12 años  ,Colombia
En las redes sociales y otras 'trincheras' la paz aún está lejos  ,Colombia
"A partir del 1 de enero, Cali queda con Alcaldía reformada. Así es la nueva estructura:   ",Colombia
“El 2 de octubre no se va a votar por la paz”: Óscar Iván Zuluaga  ,Colombia
Santa Fe quedó eliminado de la Copa Sudamericana  ,Colombia
Judicial Cuatro personas heridas en ataque sicarial en Palmira ,Colombia
Fotos: las mejores 'pintas' de Johanna Ortiz y Adriana Arboleda desfilaron por el Cali Exposhow… ,Colombia
Así va la investigación por asesinato en centro comercial del sur de Cali  ,Colombia
“Decir que los acuerdos se pueden arreglar no es realista”: César Gaviria  ,Colombia
Una caleña estará en la competencia de triatlón más importante del mundo  ,Colombia
"Pago por evitar pico y placa está casi listo, seis cosas que debe saber  ",Colombia
Lo que usted debe saber para votar el plebiscito este domingo  ,Colombia
Opinión Plebiscito de viejos  Por: @dimartillo ,Colombia
Primer espaldarazo del Concejo al pago por circular en pico y placa en Cali  ,Colombia
"Caribe colombiano, en alerta por paso del huracán Matthew  ",Colombia
Cruz Roja recibirá otro grupo de menores que salen de las Farc en los próximos días  ,Colombia
Seguridad en página de la Registraduría está garantizada para el plebiscito: Mindefensa  ,Colombia
Zlatan Ibrahimovic salvó al Manchester United  ,Colombia
Papa Francisco visitará Colombia en el primer trimestre del 2017: Santos  ,Colombia
Juan Manuel Santos homenajeó a Caterine Ibargüen por sus logros deportivos  ,Colombia
Sebastián Molano ganó su cuarta etapa en el Clásico RCN  ,Colombia
Judicial Hombre asesinado en centro comercial de Cali era vendedor de carros  ,Colombia
Alepo sufre la peor catástrofe humanitaria jamás vista en Siria: ONU  ,Colombia
"Un muerto y 108 heridos en choque de tren en Nueva Jersey, EE.UU.  ",Colombia
Así es la estrategia para resocializar a las pandillas de Cali  ,Colombia
"Zianna Oliphant, la niña que se convirtió en la vocera de los afro en Estados Unidos  ",Colombia
Farc anunciarían antes del plebiscito monto de bienes y dinero para reparación de víctimas  ,Colombia
¿Qué tanto se beneficiarán los caleños con el nuevo 'salvavidas' para el MÍO?  ,Colombia
Ley seca en Cali de 6:00 p.m. del sábado a 6:00 a.m. del lunes por plebiscito  ,Colombia
"Así es Daniela, la autora de la carta a las Farc que conmovió al país  ",Colombia
'Timochenko' y otros miembros de las Farc volvieron a Cuba tras firma del AcuerdoDePaz  ,Colombia
"Confirman exclusión de justicia y paz de alias Macaco, excomandante paramilitar  ",Colombia
Un muerto dejó choque entre un tractocamión y un tren cañero en Tuluá  ,Colombia
Brasil Cerca de 200 presos escaparon de cárcel de Sao Paulo tras un motín ,Colombia
"En el Día Mundial del Corazón, tips para mantenerlo sano  ",Colombia
"“Queremos acuerdo con las Farc, pero sin tanto ventajismo”: Marta Lucía Ramírez  ",Colombia
Especial: las amenazas que acosan al oso de anteojos en Colombia  ,Colombia
Colombia sigue siendo una economía competitiva  ,Colombia
Presidente palestino Abas asistirá a funeral de Shimon Peres en Jerusalén  ,Colombia
El ciclismo tendrá los Campeonatos Nacionales de Ruta en Bogotá 2017  ,Colombia
Cruz Roja recibirá otro grupo de menores que salen de las Farc en los próximos días  ,Colombia
“No me esperaba una lesión así”: Víctor Guazá  ,Colombia
ELN libera a secuestrado en zona rural de Arauca ,Colombia
Primer espaldarazo del Concejo al pago por circular en pico y placa en Cali  ,Colombia
En fotos: los asistentes que se robaron las miradas en el desfile de Silvia Tcherassi  ,Colombia
Ciclismo Sebastián Molano ganó su cuarta etapa en el Clásico RCN  ,Colombia
¿La información que circula en redes sociales ha influido en su voto para el plebiscito?,Colombia
"Mundo Zianna Oliphant, la niña que se convirtió en la vocera de los afro en Estados Unidos  ",Colombia
Juan Manuel Santos homenajeó a Caterine Ibargüen por sus logros deportivos  ,Colombia
Seguridad en página de la @Registraduria está garantizada para el plebiscito: Mindefensa  ,Colombia
Rafael Santos Borré anotó para Villarreal en el empate ante Steaua Bucarest  ,Colombia
"¿Qué pasa, el @AmericadeCali va a escoger los árbitros?: presidente del @RealCartagena   ",Colombia
Fútbol @Cristiano Ronaldo volverá a jugar con la Selección de Portugal  ,Colombia
'Timochenko' y otros miembros de las Farc volvieron a Cuba tras firma del acuerdo de paz  ,Colombia
Un muerto dejó choque entre un tractocamión y un tren cañero en Tuluá  ,Colombia
Avanzan los Juegos Intermedios en el Valle del Cauca  ,Colombia
