text,class
La lactancia materna reduce el riesgo de cáncer de mama ,Spain
Aquí puedes seguir la comparecencia de Pedro Sánchez ,Spain
490 millones de euros ,Spain
Cuatro de cada diez mujeres no utiliza ningún método anticonceptivo ,Spain
¿Qué consecuencias tiene un embarazo a partir de los 30? ¿Y a los 40? @InstBernabeu ,Spain
"'El curioso caso de Benjamin Button' popularizó esta enfermedad, aunque conforme pasa el tiempo no se rejuvenece...… ",Spain
¿Dónde estabas tú cuando sucedieron las riadas del 97 en Alicante? No te pierdas el vídeo grabado hace 19 años… ,Spain
La madre de la testigo comenzó a recibir numerosos emails de contenido sexual tanto de España como del extranjero ,Spain
"El futuro de Ikea en Alicante sigue en el aire.
",Spain
Los ánimos siguen bastante calientes  ,Spain
Las diez dudas más frecuentes para acabar con los piojos ,Spain
Treinta años de la gran gota fría en Alcoy. Galería de fotos y artículo de Mario Candela  ,Spain
"La agrupación naranja, al rojo vivo en Alicante ",Spain
Faltan 5 días para que arranque el juicio de la trama ,Spain
"La mayoría de afectados acude a ordenadores de centros de salud u hospitales, que tampoco están preparados.   ",Spain
Pere Rostoll contesta en directo en nuestro chat a las preguntas de los lectores sobre la crisis del @PSOE… ,Spain
El empresario dianense cree que la provincia de Alicante tiene capacidad suficiente para superar estos retos ,Spain
La madre de la menor fue asesinada hace dos años en un crimen de violencia de género en Orihuela ,Spain
Seguro que la mayoría recordáis aquellos trágicos días ,Spain
Y creíamos que con Corea del Norte lo habíamos visto todo... ,Spain
Un bombero casi resulta alcanzado por una de las paredes de hormigón que se desplomó. ,Spain
"Era sobrina del presidente de la Federación Española de Fútbol, Ángel María Villar.
 ",Spain
El cuadro viajará a la Zarzuela tras su exposición en Alcoy ,Spain
"Contracrónica del pleno: Cifuentes @CifuentesCs y las partículas elementales, por Mariola Sabuco @MariolaSabuco ",Spain
DEP ,Spain
"¡Buenos días! Aquí nuestra portada impresa de hoy. Frase del día: Cualquier cosa a lo que uno se resista, persiste… ",Spain
A Belmonte le gustan los toros ,Spain
"División socialista
 ",Spain
Desde el hospital señalan que el alta del trabajador se produce el primer día en el que se incorpora ,Spain
El alcalde @gechavarri usa su voto de calidad contra la limpieza ,Spain
DEP ,Spain
¿Se ofrece? ,Spain
"La cara y la cruz del fútbol, unos con contratos millonarios y otros... ",Spain
"Sí, Alicante es de los sitios con el agua más cara
",Spain
¿Hay algo mejor que dar un paseo y tomar un vino en esta plaza? ,Spain
Discutían por un novio ,Spain
"Tras los litigios entre las dos familias por la custodia, la Generalitat optó por poner a la niña en acogida ",Spain
"Esto no lo supera ni el guionista de House of Cards
",Spain
@sanchezcastejon no cede y propone elegir al nuevo líder del @PSOE en octubre   ,Spain
La Generalitat optó este verano por poner a la niña en acogida y fijando un régimen de visitas para las dos partes. ,Spain
"Si las tiras al mar, no molas ",Spain
Una buena noticia siempre viene bien antes de comer.  ,Spain
Conoce los requisitos y cuáles son las plazas disponibles ,Spain
Pleitos tengas y te los paguen... ,Spain
Chat con Toni Gallego. El presidente del HLA Lucentum contesta en directo a los lectores. Envía tus preguntas.… ,Spain
Aparte de lo que tiene hoy Pedro Sánchez... ,Spain
"Chat con @prostoll mañana viernes a las 11.00 horas sobre la crisis del @PSOE 
 ",Spain
¿Te atreves con este reto visual? ,Spain
Poca cosa. Esta tarde se pueden hacer planes al aire libre sin problemas. ,Spain
Con la nueva entrega del podcast Rebobinar después de usar te lo pasarás de muerte  ,Spain
Pedro Sánchez está reunido con sus fieles para afrontar un escenario inédito en la historia del partido ,Spain
"Un pasito palante, un pasito patrás ",Spain
"En casa del herrero, cuchillo de palo.
 ",Spain
"Elche, punta de lanza para la accesibilidad en los espacios públicos de las ciudades de Europa.… ",Spain
"Iba acompañada de un hombre mayor que ella y de habla inglesa, según los testimonios recabados por la Benemérita.… ",Spain
Todo gran terremoto tiene sus réplicas. ,Spain
"La víctima ha recibido el alta, tras pasar por la UCI y permanecer 9 días en el Hospital, pero aún debe ir a curas ",Spain
Así fue anoche el fuego de Rabasa. Fotos y vídeo ,Spain
¿Pasará a engrosar la lista de no adscritos en el Ayuntamiento de Alicante? A este paso se hacen con la mayoría... ,Spain
"Aunque el asunto sea grave para los socialistas, ¿qué tal comenzar el día con unas sonrisas?  ",Spain
"Aquí la portada de nuestra edición impresa de hoy, cargadita de incendios, físicos y metafóricos...… ",Spain
"A los de Apple no les va a gustar esto... 
",Spain
"No hay constacia de heridos
",Spain
Aseguran que la Ejecutiva Federal no está legitimada ,Spain
"Como diría Rajoy: Pedro, sé fuerte ",Spain
No se puede estar en el plato y en la tajá ,Spain
Por un deporte sin violencia ,Spain
Te casaste y la cagaste ,Spain
"Puig firma para destituir a Pedro Sánchez
 ",Spain
Guerra abierta en el PSOE ,Spain
El patinazo de Felipe González ,Spain
Cuesta creer que TVE se deshaga de uno de los suyos ,Spain
"Como diría Matías Prats, es todo un Sor-presón
",Spain
"Pues sí eso ocurre así realmente, es lamentable y una tremenda irresponsabilidad ",Spain
"@UniversidadMH @MyAccessible.EU @visitelche Elche, más accesible gracias a un proyecto europeo
",Spain
"¿Lo siguiente qué sera? ¿Pokémons? :-0
",Spain
"Lo que debes saber para convertirte en un héroe que salva vidas
",Spain
Nuevo giro a la investigación ,Spain
Un invento made in Alicante para salvar vidas ,Spain
"El PSOE, la casa de los líos.
",Spain
Qué asco de pervertidos ,Spain
"Chat con el presidente del HLA Lucentum, Toni Gallego. Mañana jueves a las 13.00 horas. ¡Envía ya tus preguntas!… ",Spain
Si la idea triunfase en España no sería descabellado pensar que podrían llegar a desaparecer miles de cajeros. ,Spain
¿Desaparecerá Coepa?   vía @informacion_es,Spain
El concejal se niega a regresar para el pleno de mañana ,Spain
"Soy actriz porno y nací en un país hipócrita, donde la misma gente que me llama puta se pajea con mis vídeos. ",Spain
"Rita, de cuerpo presente  ",Spain
"El presunto autor, un hombre con problemas de drogadicción, quedó ayer en libertad provisional con cargos 
",Spain
El piloto de la avioneta que dispersa las nubes de lluvia se ha debido de quedar dormido esta noche... ;-) ,Spain
¡Buenos días! Aquí os dejamos la portada de nuestra edición impresa de hoy ,Spain
"Barberá se queda dormida en su primer pleno en el Grupo Mixto
 ",Spain
"El Congreso aprueba una comisión de investigación sobre Fernández Díaz
 ",Spain
"La mayoría de diputados del PSOE, críticos con el plan de Pedro Sánchez
 ",Spain
"Herido grave un trabajador electrocutado en Mutxamel
 ",Spain
Así es el nuevo GLC Coupé de Mercedes-Benz  ,Spain
"Nace el primer bebé con ADN de tres padres
 ",Spain
Rita Barberá será viceportavoz de comisión y cobrará 5.333 euros ,Spain
Nadal detiene un partido para que una madre encuentre a su hija ,Spain
Canal 9 returns ,Spain
El mundo está cada vez más loco ,Spain
"Ojo a los alicantinos que tiran la basura fuera del horario estipulado... 
",Spain
Drama en Twitter (ironía on) ,Spain
¿Cocinas bien? ¿Te gustaría trabajar en Suecia? ,Spain
La iniciativa está orientada a vecinos y turistas que estén solos ,Spain
Fue el promotor de la fiesta de Halloween donde fallecieron 5 jóvenes en noviembre de 2012. ,Spain
Los abonados podrán comprar hasta 4 localidades a precio reducido para el último escollo antes de un rival europeo ,Spain
¡Madre mía! ,Spain
"Donde hay curvas, hay alegría  vía @informacion_es",Spain
El secretario general del PSOE descarta dimitir y culpa de los malos resultados a las discrepancias internas. ,Spain
Chat con Miguel Ángel Pavón hoy a las 11.30 horas. Envía ya tus preguntas  ,Spain
