text,class
La niña apenas tenía un mes de nacida. Así fue rescatada de entre los escombros ,Mexico
(VIDEO) Impactantes imágenes. Rescatista rompe en llanto al salvar a una bebé siria  ,Mexico
"VIDEO Así dieron con los asesinos del cineasta León Serment y su esposa Adriana Rosique
",Mexico
VIDEO Les dejo el segundo tráiler de la nueva película de Tom Cruise. Se ve que va a estar buena ,Mexico
López Obrador volvió a hablar del Wall Street Journal ,Mexico
En unos momentos podremos observar el fenómeno de la luna negra. Les explico en qué consiste ,Mexico
Mourinho vuelve a las andadas. Ahora humilla a su cuerpo técnico en pleno partido (VIDEO)  ,Mexico
Los mejor pagados en la industria del cine en Hollywood. No todos son actores ,Mexico
"Casi todos la hemos visitado, pero, ¿por qué la Plaza Garibaldi se llama así? ",Mexico
El gobernador de Sinaloa explica cómo emboscaron a los militares en Culiacán. Hubo 60 sicarios involucrados ,Mexico
No es broma. El traductor de Google evitó un suicidio ,Mexico
Estos son los Kangoo Jumps y @tomasweimar explica para qué sirven. Hasta los zapatos me tendré que quitar ,Mexico
Un cliente insatisfecho de Apple se volvió loco en una tienda y destrozó todo lo que pudo (VIDEO) ,Mexico
"Esto sí es talento mexicano
",Mexico
"Increíble. A falta de agujas, médico salva la vida de pasajero usando palillos de dientes
",Mexico
"Alicia Machado responde nuevamente a Donald Trump en Instagram
 ",Mexico
"El berrinche de un hombre dejó daños de casi 300 mil pesos en una Apple Store (VIDEO)
",Mexico
RT @CentroCarbonell: Mañana sábado a las 9 am vamos a tener un importante curso de actualización sobre el amparo en materia penal. Aún pued…,Mexico
RT @tortordanny: @SalCamarena ayuda solicitamos patrulla en paseo de la reforma 2531 lomas de Chapultepec MIGUEL hidalgo demolicion ilícita…,Mexico
VIDEO El gol de Carlos Vela que le dio el triunfo a la Real Sociedad. ¡Bien! ,Mexico
"Esta noche habrá Luna negra. Les cuento qué es y por qué se le relaciona con el fin del mundo
",Mexico
"Presidente se compara con Hitler
",Mexico
"El presidente Obama no es tan paciente como creen. Nada más vean cómo apuró a Bill Clinton en Israel (VIDEO)
",Mexico
"Estas son Las Noticias. Caen los asesinos materiales del cineasta León Serment y su esposa, el autor intelectual es… ",Mexico
"¿Ahora también explota el iPhone 7 Plus? (FOTOS)
",Mexico
Muchas gracias por su sintonía esta tarde en @Radio_Formula Seguimos aquí y en  ,Mexico
