text,class
Viuda de Robin Williams publica conmovedora carta sobre actor:  ,USA
EN VIVO: Zion y Lennox sorprenden a visitantes de la Placita  ,USA
.@realDonaldTrump salió en un vídeo erótico:  ,USA
"Puerto Rico alcanza los 1,977 casos de embarazadas contagiadas con zika:  ",USA
[VÍDEO] Surgen las primeras imágenes de @JanetJackson embarazada:  ,USA
[FOTOS] Hallan cueva subacuática más profunda del mundo:  ,USA
"VIRAL | Este vídeo, al momento, tiene más de 23,343,303 reproducciones y es la SENSACIÓN del momento BienPegajoso… ",USA
[VÍDEO] Noquea a su novia con propuesta de matrimonio:  LadyCompromiso ,USA
[FOTOS] @heidiklum saborea alcapurrias y bacalaítos en Piñones:  ,USA
Angelina Jolie y Brad Pitt llegan a acuerdo temporal de custodia:  ,USA
En su charrería semanal @LosRiveraD nos recuerdan que somos un pueblo de sobrevivientes...  ,USA
Importante pretemporada para @jjbareapr  y los @dallasmavs   ,USA
VIRAL |  Le lanza el almuerzo al marido desde piso muy alto y cae en el carro de él  ,USA
Empresario acusado de fraude millonario que causó colapso de Westernbank  ,USA
Puerto Rico a la expectativa de la Junta | Primeros dilemas a enfrentar:  ,USA
FOTOS |  Se quedó calva por hacerse “donas” todos los días  ,USA
[VÍDEO] ¡Ay santo! Con solo 15 minutos de casados el marido le pelea:  ,USA
Génesis Dávila es la “Loba” de @yandeloficial:  ,USA
García Padilla declara su compromiso ante nueva etapa con la Junta  ,USA
Encuentran esqueleto de bebé en una maleta:  ,USA
[VÍDEO] @BengieMolina1 enmudece de la emoción tras jonrón de @Yadimolina04:  ,USA
¡¿Cómoo?! @realDonaldTrump anima a gente a ver vídeo sexual de @machadooficial:  ,USA
VÍDEO | @RafaelNadal detiene juego para ayudar a una madre a encontrar a su hija   ,USA
.@MonicaAce93 busca el desquite en Pekín:  ,USA
VÍDEO Y FOTOS |  Paciente de tumor agresivo fue trasladado al parto de su novia  ,USA
Devuelven a escuela camiseta robada de José Fernández:  ,USA
Tim Duncan podría vivir una nueva etapa con @spurs:  ,USA
VÍDEO | Cirujano bailando como un loco en plena operación causa indignación  ,USA
