text,class
"RT @_anapastor_: Mañana desde las 8.40 de la mañana programación especial en @laSextaTV 
CaosPsoeARV 
estoesunNoparar",Spain
RT @estereoLP: Qué buena entrevista de @radiocable hoy a @oscar_puente_ Pocos socialistas me han sonado tan honestos.  spreaker ,Spain
RT @maralvarg: Pérez Tapias en La Cafetera: &amp;8220;Los problemas del PSOE no empiezan con Pedro Sánchez&amp;8221;:  - v…,Spain
RT @carlosminguez: Es muy de agradecer a entrevista que esta mañana ha dado @oscar_puente_ en @radiocable Por fin hablando claro alguien de…,Spain
"RT @PartidoPACMA: Doñana está gravemente amenazado, pero en el Congreso y el Senado apenas se habla de ello desde 2007
",Spain
"RT @EnriqueQuesada: Camino de los 1500

@radiocable ",Spain
@hidalgofm gracias Matias!!,Spain
"RT @hidalgofm: @radiocable hoy he escuchado por primera vez, LaCafetera. No será la última. Yo también soy resistencia",Spain
@alexquirogafds Gracias Alex,Spain
"RT @radiocable: Necesitamos tu ayuda para construir otro periodismo. Sin ella no se puede. 

 ",Spain
"RT @EnriqueQuesada: Hoy escucho lacafeteraelnombredelarosa utilizando la app la cafetera 
No cae del cielo. Contribuye en ",Spain
"RT @Juanmi_News: ¡¡BRUTAL!!

Borrell en Prisa (La SER): Que yo sepa el Grupo Prisa no puede cesar todavía al secretario general del PSOE.…",Spain
2) ..Pero en cuanto los críticos empiecen a escuchar a la gente se darán cuenta de que una abstención ahora sería demoledora para el PSOE.,Spain
1) Que nadie se engañe. La crisis no es por el PSOE. Es por el gobierno. ,Spain
RT @costatenerife: Recomiendo bajarse la app la cafetera de radio cable de @radiocable para poder aprender periodismo de otra manera ,Spain
@carmensar97 Gracias a ti por ser tan generosa,Spain
RT @retuitator: Echale un ojo @radiocable bastante ilustrativo el vídeo ;-) LaCafeteraElNombredelaRosa ,Spain
"Joy en LaCafeteraElNombredelaRosa  @oscar_puente_ (alcalde PSOE Valladolid) y Guillemmartnez (periodista) 

PLAY
",Spain
