id_str,text,class
786706834685956096,"Víctimas, indígenas, afros, estudiantes y campesinos marcharon en Bogotá.@EEColombia2020  ",Colombia
786706057498427392,"Aparte de Escocia, estos son otros territorios de Europa que quieren independizarse.  (Video… ",Colombia
786705579540709376,(IMÁGENES) Las canciones que demuestran el valor poético de Bob Dylan. ,Colombia
786705457574449152,EBay busca vender mayoría de su participación en MercadoLibre ,Colombia
786705325944549377,Las diferencias entre negociar con las Farc y hacerlo con el ELN. ,Colombia
786704322495000576,Hallazgos fiscales por $859 millones a varias entidades públicas en Sucre. ,Colombia
786703071145525248,"2015, el año con más homicidios de LGBTI.  ",Colombia
786703061553061892,La mayor parte de la inversión del Plan de Infraestructura de transporte viene de España. ,Colombia
786702510031536129,RT @EEColombia2020: Opinión La oportunidad de oro del No en el plebiscito:  por @franoguera. ,Colombia
786701801772818433,Demoras en la implementación dejan vulnerable al país: Luis Almagro. ,Colombia
786701299458932736,Los obstáculos que retrasaron la negociación con el ELN.,Colombia
786700544782008320,La “popularidad” de Santos y de Farc no dio para convencer a los colombianos. LaPulla,Colombia
786700543485878272,(VIDEO) El plebiscito sacó la peor porquería de Colombia.Por: La Pulla.,Colombia
786699677110501378,Finalizó juicio contra Laura Moreno y Jessy Quintero por caso Colmenares  ,Colombia
786699287052845056,Fiscalía pide fallo condenatorio contra Emilio Tapia por enriquecimiento ilícito. ,Colombia
786698321226178560,Estos son los temas de la agenda de paz entre Gobierno y ELN. ,Colombia
786698027855671296,"En París, Mariana Pajón le dijo Sí al matrimonio. ",Colombia
786697659625181184,RT @DeportesEE: Javier Mascherano firmará el lunes la renovación con Barcelona hasta 2019  ,Colombia
786697271819767808,Inhabilitan por 10 años a la exdirectora de Patrimonio Cultural de Bogotá.  ,Colombia
786696769296011264,Predicciones de la BBC: Colombia terminará sexto las eliminatorias y no irá a Rusia. ,Colombia
786695657725788161,Septiembre fue “mediocremente” estable a nivel comercial: Fenalco ,Colombia
786695522153181184,Tribunal Superior ordenó libertad de 'Monoleche'. ,Colombia
786694252403109888,"2015, el año con más homicidios de LGBTI. ",Colombia
786693504248446977,La relación de las esposas de los Cano con El Espectador.30AñosSinGuillermoCano ,Colombia
786693213469966337,Escocia desafía al Reino Unido pidiendo nuevo plebiscito para independizarse.  ,Colombia
786692995215011841,"Michael Jackson, la estrella fallecida que más dinero genera. ",Colombia
786691846806376450,"Personas que ganan más de $3,8 millones están ‘coladas’ en el Sisbén: DNP.  ",Colombia
786691736928079872,(VIDEO) The Walking Dead publica primeros minutos de séptima temporada.,Colombia
786690478792212480,(VIDEO) Presentación de nueva película inspirada en Harry Potter.,Colombia
786689219557142532,Predicciones de la BBC: Colombia no irá a Rusia.  ,Colombia
786689219355959296,Pastrana entrega las primeras propuestas para modificar acuerdo con las Farc. ,Colombia
786687976847867904,"2015, el año con más homicidios de LGBTI.  ",Colombia
786687962704588800,The Walking Dead publica primeros minutos de séptima temporada. ,Colombia
786687025713786880,La mayor parte de la inversión del Plan de Infraestructura de transporte viene de España. ,Colombia
786686703234756608,“Aún vivimos en un país donde el prejuicio mata”: Matilda González. ,Colombia
786685445115699200,"‘Pablo Catatumbo’ pide salidas sensatas, “no maniobras politiqueras” ",Colombia
786684351308238848,La piñata con imagen de Trump que destrozaron en México.  ,Colombia
786683935749238784,Pastrana entrega las primeras propuestas para modificar acuerdo con las Farc,Colombia
786683892573102080,Darth Vader regresa a Star Wars con Rogue One   ,Colombia
786682927581106176,LoMásLeído en Deportes: la discusión entre Maradona y Verón en el Partido por la Paz. ,Colombia
786682173982117888,Vecinos de Suba se oponen a construcción de colegio en parque comunitario.  ,Colombia
786682014254653440,"RT @EEColombia2020: ¿Sabes qué es LaAldea? La serie de divertidas historias para niños, ya la puedes encontrar junto a nuestro diario @ele…",Colombia
786681670447562760,El castrochavismo no está en los acuerdos de paz por más que Uribe insista. LaPulla,Colombia
786681220893671424,Finalizó juicio contra Laura Moreno y Jessy Quintero por el caso Colmenares. ,Colombia
786680915250573313,". @DANEDirector, @cristinaplazasm, @angelamrobledo estarán este viernes en el foro ContadoLoInvisible ¡Participa!  ",Colombia
786680414337241088,"António Guterres, sucederá a Ban Ki-moon como próximo jefe de la ONU.  ",Colombia
786680160355516416,"En París, Mariana Pajón le dijo Sí al matrimonio.  ",Colombia
786679155014397952,Bogotá lidera listado de ciudadanos dispuestos a donar órganos.  ,Colombia
786677776464154625,¿Qué define a alguien como un escritor? Nobel a Bob Dylan levanta ampollas. ,Colombia
786676789502410752,"RT @EEColombia2020: Espera mañana Los privilegios de Efrén de LaAldea, las historias coleccionables para niños. Más info. aquí: ",Colombia
786676599693381637,"2015, el año con más homicidios de LGBTI.  ",Colombia
786675078427803648,The Walking Dead publica primeros minutos de séptima temporada   ,Colombia
786672867211616260,El plebiscito le pasó cuenta de cobro a la soberbia del gobierno. LaPulla ,Colombia
786672434015563776,"Tribunal Superior ordenó libertad del exjefe paramilitar, 'Monoleche'  ",Colombia
