id_str,text,class
786718161475297280,Suspenden derecho de palabra a diputado chavista por agredir a colega con micrófono Venezuela… ,USA
786714385364361216,Púgiles cubanos reaccionan con molestia ante castigo del Consejo Mundial del Boxeo (… ,USA
786710612009025537,Una maltrecha ciudad de Colombia teme el retorno a la guerra ,USA
786708848019054592,Aliados de Donald Trump pretenden subrayar las supuestas fechorías de Bill Clinton ,USA
786706835164106752,"Reo de Guantánamo, torturado y sodomizado, se somete a cirugía rectal ",USA
786704319881936901,Muere tripulante cuando Guardia Costera intercepta bote con posible cargamento de drogas (… ,USA
786700545155358726,Donald Trump niega denuncias de mujeres sobre presunto abuso sexual  ,USA
786698027478179841,Evidencia implica a la familia de Nicolás Maduro en la acusación de narcotráfico de sobrinos… ,USA
786697311858679810,"RT @luisfsanchez6: Tras el sacudón, los MiamiDolphins buscan un nuevo comienzo ",USA
786695511621369856,"Fama, drogas y depresión: la caída más dura en la carrera de campeón mundial de boxeo ",USA
786691736089137152,La ONU nombra oficialmente a António Guterres nuevo secretario general ,USA
786687974456958976,El Papa censura repatriación de menores inmigrantes que han huido de guerras o pobreza ,USA
786684186505711616,Llegan las altas mareas al sur de la Florida impulsadas por el huracán Nicole ,USA
786680415474114561,Alcalde opositor venezolano Carlos Ocariz denuncia persecución del gobierno de Maduro por ‘pensar distinto’… ,USA
786676639363129344,El cambio climático preocupa a los hispanos en Estados Unidos (@kikeflor @cmgmia) ,USA
786672868964917248,Dan custodia de menores hallados junto a sus padres inconscientes en un auto a una tía ,USA
786672352423776256,Hacer negocios en Cuba: entre el entusiasmo y la prudencia (@ngameztorres) ,USA
786669944113168385,Identifican nueva zona en Miami con presencia de mosquitos que transmiten el zika ,USA
786669088705646592,Grupo empresarial Aliss inaugurará tienda en Miami ,USA
786665313991553024,Brasil abre primer refugio de elefantes de Latinoamérica ,USA
786662291680796672,Desestiman caso contra actores colombianos acusados de desvalijar apartamento en Miami (… ,USA
786661537586872320,Periodistas cubanos detenidos por reportar ‘sin permiso’ sobre los efectos del huracán Matthew… ,USA
786657768082120704,Disfraces de Donald Trump y Hillary Clinton para Halloween dan escalofríos ,USA
786656000468131840,Paul Ryan cada vez más lejos de Donald Trump; los republicanos están alarmados ,USA
786654716709203972,RT @oppenheimera: Las revelaciones de Wikileaks sobre Hillary Clinton.   @Elnuevoherald @DavidJimenezTW ,USA
786654695049822209,RT @ngameztorres: CEO de Stonegate Bank habla sobre relaciones bancarias con Cuba @elnuevoherald ,USA
786654680759824385,RT @ngameztorres: John Kavulich analiza el estado de relaciones comerciales en conferencia sobre negocios e/ USA y Cuba @elnuevoherald htt…,USA
786653987575435264,Donald Trump ataca a los medios por acusaciones de manosear mujeres inapropiadamente ,USA
786650213968670721,Duro golpe a la defensa de los sobrinos de primera dama de Venezuela Cilia Flores ,USA
786646440793681921,Condenan a ex senador cercano a Rousseff a 19 años cárcel por caso Petrobras ,USA
786642662757502976,"Maha Vajiralongkorn, príncipe heredero de Tailandia ",USA
786638888303484928,"Coca-Cola y PespsiCo luchan contra la obesidad, pero con otras intenciones ",USA
786635117477388289,"Sector no estatal cubano podría sacar al país de crisis, si se deja florecer ",USA
786627577469366272,Condenan a ex senador cercano a Rousseff a 19 años cárcel por caso Petrobras ,USA
786623787923931136,Michelle Obama urge a decir ‘basta’ a Trump por ‘intolerable’ trato a mujeres ,USA
786620014279270400,"Desvastadoras imágenes muestran la destrucción en Jeremie, Haití tras el paso del huracán Matthew… ",USA
786620013797072896,ONU ofrece apoyo a miles de cubanos tras paso de ciclón Cuba ,USA
786619768438595584,Evacúan el parque temático Legoland en Florida por una amenaza de bomba ,USA
786616239120580608,Las 7 reflexiones más polémicas de Maradona en su entrevista más reciente ,USA
786612470043377665,El Washington Post respalda ‘sin dudar’ a Hillary Clinton para la Casa Blanca ,USA
786612469129179136,"Conéctate a la 1:40 p.m., para ver nuestra entrevista de Antonio Delgado y el caso de los 'narcosobrinos' por Faceb… ",USA
786608689742393344,Trump acusa al New York Times y a People de fabricar denuncias en su contra ,USA
786604922510905344,Acusado en megacaso de corrupción en España admite pagos a ex miembros del PP ,USA
786601139399778308,Arrestan a hombre de Aventura y lo acusan de concertar cita con niño de 13 años ,USA
786597365977350144,Aumentan las opciones para que conocido entrenador cubano regrese a Miami @jorgeebro ,USA
786593591850258432,Kim Kardashian presenta demanda por video del apartamento donde la asaltaron ,USA
786589818356699136,Periodistas cubanos detenidos por reportar ‘sin permiso’ sobre los efectos del huracán Matthew… ,USA
786586041109053440,La ONU nombra oficialmente a António Guterres nuevo secretario general ,USA
786582276108804096,Papa canonizará al cura gaucho argentino ,USA
