id_str,text,class
786669645801594880,Multan con 154.477 euros a La mañana de Mariló Montero ,Spain
786647581069873153,¿Cuánto sabes sobre los Premios Nobel de Literatura? ,Spain
786644637087916036,Un estudio afirma que el humo del incienso es peor que el del tabaco ,Spain
786635065379942400,Sofocan un camión en llamas en el Pantano y tres coches en el centro de Elche ,Spain
786633316464197632,galería de imágenes de la tromba de agua de Orihuela ,Spain
786630696752156672,Tromba de agua en Orihuela ,Spain
786567961230188544,Cuatro heridos en un accidente en la N-332 entre Teulada y Gata ,Spain
786553701162885120,Las farmacias darán citas para vacunarse de la gripe ,Spain
786525853781929984,"Bob Dylan, Premio Nobel de Literatura 2016 ",Spain
786510654286860288,La Diputación hará público lo que cobran los diputados al margen de su sueldo. Informa @sandra_llinares… ,Spain
786510345904934912,Ecologistas en Acción denuncia que dos aparcamientos públicos en San Blas vulneran el PGOU de Alicante,Spain
786510080208351232,Correa admite mordidas y que Bárcenas se llevaba comisiones ,Spain
786497454610919424,Sanidad diagnostica dos casos de legionela en Alcoy  ,Spain
786496956918968320,compolalc El @add acoge el IV Seminario sobre comunicación política  FelizJueves,Spain
786473244522008576,El AVE reduce a mínimos el tráfico aéreo de pasajeros entre Madrid y Alicante  ,Spain
786472904552697856,Ocurrió ayer en la rotonda de la Universidad de Alicante   vía @informacion_es,Spain
786472662793003008,"Muere a los 90 años Dario Fo, Premio Nobel de Literatura ",Spain
786472328649543680,Un detenido en  Altea al desarticular dos células yihadistas en España y Marruecos  ,Spain
786472094552821760,Los restos de la gota fría de Cataluña dejan hoy lluvias generalizadas en Alicante  ,Spain
786471763907522560,Dice adiós justo el día en que se falla el galardón que él logró en 1997 ,Spain
786461245905838080,"¿Queréis tener hijos y no podéis? Consultorio online sobre problemas de fertilidad y sus tratamientos, hoy a las 12… ",Spain
786455959577124864,"Ikea en Alicante, capítulo 1.569. En anteriores episodios... ",Spain
786449517465837568,El sorteo es mañana. ¡Suerte! ,Spain
786445090499670017,"«Eso es mentira», afirma tajante el familiar del presunto yihadista detenido en Altea. ",Spain
786439540177182720,¡Buenos días! Aquí podéis ver la portada de nuestra edición impresa de hoy. ,Spain
786302067778334720,"Tevenet: «Me da igual el rival, será una fiesta para Alicante» ",Spain
786293069758857216,Vuelve a llover en Elche después de 140 días de auténtica sequía ,Spain
786289249532325888,Galería. Las mejores imágenes del Hércules- Cornellà ,Spain
786282991316107265,Kyrgios la lía en Shanghái ,Spain
786278253178650625,Los bomberos rescatan a un ciclista en el Pantano de Elche ,Spain
786265516457336832,El Hércules se cita con un grande en la Copa del Rey tras eliminar al Cornellà ,Spain
786262427272785920,El Alcorcón destituye a Contra a pesar de ganar en Elche ,Spain
786256696742060033,"Chimo Bayo, ahora novelista ",Spain
