id_str,text,class
786724493393850368,Confirman dos “anomalías” en el interior de la Gran Pirámide de Keops  ,Chile
786724157551702016,🔴 AlertaLT | Presidente colombiano anuncia prolongación del cese bilateral de fuego con las FARC hasta el fin de 2016. -@ap,Chile
786723431568011264,😱 Tailandia llora a su Rey  ,Chile
786723270108340224,"La cruda historia de Rebeca, una mujer secuestrada por Boko Haram  ",Chile
786720739604963328,Insulza por pacto PS-PPD: “Ojalá que quienes están hablando de acuerdos de cúpulas recapaciten”… ,Chile
786719475009744896,Fernández se disculpa con partidos y admite que Bachelet lo llamó a la prudencia  ,Chile
786718472369758209,Senado aprueba en general proyecto que elimina tareas escolares 📏✏️✂️  ,Chile
786715626417061888,Zurita: Esta noche me vestiré de gala y junto con mi mujer festejaremos como se merece a nuestro gato Bob Dylan… ,Chile
786713181821493248,"Las parejas que no alardean su relación en redes sociales son más felices, según estudio 👀  ",Chile
786711808526708736,💻📱 Nueva versión de Chrome promete ocupar mucha menos RAM  ,Chile
786710806570426369,⚽️ La trama de una sobreactuación: Pizzi y su renuncia antes de Perú  ,Chile
786710269951086592,⚽️⚽️⚽️ Gabriel Jesús es el nuevo crack del Scratch  ,Chile
786708158798557186,Bachelet: “No se hablado suficiente de por qué tenemos a tantos niños” en el Sename  ,Chile
786705633189961728,Rogue one lanza su segundo trailer oficial. Revísalo por completo en  ,Chile
786704023525134336,🌊 Hito portuario para Sudamérica en Arica: Nueva tecnología permitirá atender barcos con marejadas… ,Chile
786703339803336704,🚗🚕🚙 Tránsito: el 99% de las multas impagas se concentra en la Región Metropolitana  ,Chile
786703245372715009,"¿Ruegas por irte a una isla desierta, sin tus hijos, pero te sientes culpable de sólo pensarlo?… ",Chile
786702225624236032,😱 Escocia desafía a Londres con nuevo referéndum por la independencia  ,Chile
786700607356801024,"BBC: Cómo es Nicole, el huracán con un ojo más grande que las islas Bermudas y del que casi no se habla… ",Chile
786699973429694464,😱 Ex DT de San Luis Diego Osella es internado por arritmia cardiaca  ⚽ ,Chile
786698348308918273,✏️ Andrés Chadwick figura entre los afectados por error en padrón electoral  ,Chile
