id_str,text,class
786714384391340032,El país donde los ciudadanos tienen acceso hasta a los correos electrónicos de su presidente ,Mexico
786710610532704256,VideoViral Camión aplasta a coche. El conductor murió al instante  ,Mexico
786706835302522884,Rómpase en caso de emergencia ,Mexico
786703070151385088,"Ya huele a viernes y con esta lista, más",Mexico
786699285001867264,"Va el nuevo tráiler de Rogue One, la próxima película de Star Wars en la que aparece Diego Luna (VIDEO)",Mexico
786696769837105152,Donald Trump usa sin permiso canción de los Backstreet Boys. La banda ya se deslindó del candidato,Mexico
786695513877852160,Donald Trump lo volvió a hacer ,Mexico
786691736072519680,Novedades de Twitter ,Mexico
786687986545020928,Javier Duarte vuelve a la Unidad de Quemados. Se van a reír (VIDEO) ,Mexico
786684185582993408,La próxima semana será especial para los ciclistas de la Ciudad de México. Les cuento las actividades que habrá,Mexico
786680410591760385,Las películas de ciencia ficción favoritas de Obama ,Mexico
786676638796877825,¡Reapareció La Chimoltrufia! (VIDEO) ,Mexico
786674249985654784,El último video de Donald Trump que provocó controversia. Algunos hasta lo llaman pedófilo por sus palabras ,Mexico
786672863105384448,Los desastres naturales cada vez provocan más muertes en el mundo. El huracán Matthew es una prueba de ello,Mexico
786669089607544833,Una aspiradora de estas para cuando me toca limpiar ,Mexico
786666708488511488,"¡Las noticias! La riña en el penal de Topo Chico, normalistas vuelven a secuestrar autobuses y más ",Mexico
786665311583936512,Consejos para liberar memoria en su iPhone  ,Mexico
786664317978611712,Muchas gracias por su sintonía esta tarde en @Radio_Formula Seguimos aquí y en  ,Mexico
786661539608690688,Nombran al financiero más influyente de México ,Mexico
786661355084455936,Y en descuido lo veremos en Tijuana o Mexicali ,Mexico
786660219728257024,"Sus opiniones inhabilitan a @lorenzocordovav como árbitro electoral al frente del @INEMexico, dice @JorgeGCastaneda con @lopezdoriga.",Mexico
786659944607035392,"Como árbitro electoral @lorenzocordovav no puede dar opiniones sobre candidaturas, asegura @JorgeGCastaneda con @lopezdoriga.",Mexico
786659581804089344,"El presidente del @INEMexico @lorenzocordovav no puede reflexionar sobre candidaturas independientes, dice @JorgeGCastaneda con @lopezdoriga",Mexico
786659523784171521,Pues nada. Que ya tienen al elegido para la embajada de México más cotizada en este momento ,Mexico
786659504058277888,"Gracias querido Pedro Sol. Y sí, la nube está cargada. Abrazos. ",Mexico
786657778890838017,Un equipo concluyó que era buena idea trollear al Real Madrid y al Barcelona ,Mexico
786656674232819712,RT @AFamalcan: @DDMexico pretextando agresión anterior de otro grupo negociador no salieron Personal @obdulioA llego al término @XochitlG…,Mexico
786656648009883648,RT @Radio_Formula: AlAire @EnriqueOchoaR   presidente del @PRI_Nacional con @lopezdoriga en 103.3 FM,Mexico
786656627558535168,RT @Radio_Formula: El PRI está interesado en conformar un Sistema Nacional Anticorrupción con ciudadanos de prestigio: @EnriqueOchoaR,Mexico
786653986820620289,Asesinan a padre e hijo durante velorio ,Mexico
786650212118982656,En Monterrey asaltaron una farmacia y tomaron de rehén a un niño de tres años ,Mexico
786649999815741440,RT @Radio_Formula: ENVIVO No vamos a defender a nadie que haya faltado a la honestidad: @RicardoAnayaC con @lopezdoriga en 103.3 FM,Mexico
786649960146022400,RT @Radio_Formula: ENVIVO El PRI en Veracruz y en el país está respirando por la herida: @RicardoAnayaC con @lopezdoriga en 103.3 FM,Mexico
786649931456974848,RT @Radio_Formula: El HT de presidente fue porque soy presidente del PAN no con otra intención dice @RicardoAnayaC con @lopezdoriga,Mexico
786649909126569984,RT @Radio_Formula: ENVIVO @Javier_Duarte deja en la ruina a Veracruz: Ricardo Anaya con @lopezdoriga en 103.3 FM y ,Mexico
786649878973648900,RT @Radio_Formula: ENVIVO Ricardo Anaya con @lopezdoriga en 103.3 FM y  AbriendoLaConversación,Mexico
786646440479162370,"Ha muerto la actriz Diana Herrera, estrella del cine de ficheras ",Mexico
786644425309032452,Hasta donde llega la psicosis que han generado los payasos agresivos en EE.UU. ,Mexico
786643921342377984,(VIDEO) El chofer de Uber de plano amenaza con bajar a la pasajera ,Mexico
786643409691828224,"El sistema de pensiones en México requerirá en un futuro de las aportaciones voluntarias, señala Luis Miguel González con @lopezdoriga.",Mexico
786643159921156097,"El Presupuesto de Egresos destina 600 mmdp en pensiones, dice Luis Miguel González con @lopezdoriga en @Radio_Formula.",Mexico
786642681304940544,VideoViral Chofer de Uber México denigra a pasajera con comentario misógino  ,Mexico
786641753247854592,El turista que murió al caer de la Pirámide del Sol es europeo. DEP ,Mexico
786640146699526144,Tragedia en Teotihuacán. Muere turista al caer de la Pirámide del Sol ,Mexico
786639288301555712,RT @Radio_Formula: Mantente informado con @lopezdoriga que está AlAire en 103.3 FM y  AbriendoLaConversación ,Mexico
786637629521440768,Niña de 11 años resultó intoxicada por la humareda de esta mañana en Metro de la Ciudad de México,Mexico
786636615296757760,"En este enlace  usted puede escuchar el noticiario de @lopezdoriga en @Radio_Formula, de 13:30 a 15:30.",Mexico
786635778554068992,"Al aire ya en @Radio_Formula 103.3FM,970AM,sus estaciones locales y  AbriendoLaConversació ",Mexico
786634611015180289,Ya son más de 25 muertos en tres días en Chihuahua,Mexico
786632597237628929,Les doy estos consejos para que no eliminen sus fotos o videos si se les acabe el espacio en su iPhone,Mexico
786630082093735937,Asesinan a padre e hijo durante velorio. Fue en México,Mexico
786628319672283136,"Asesinan a taxista en la Ciudad de México, todo porque intentaba defender a mujer de asalto",Mexico
786627563636477952,David Bisbal recuerda al “santo de la música”. Así llamó a Juan Gabriel,Mexico
786625549728755716,Y hablando de Trump… ,Mexico
786623927636271104,Periodista relata el ataque sexual que sufrió a manos de Donald Trump,Mexico
786620181225181186,Otro reto viral en las redes sociales. A ver cómo les va ,Mexico
786616807545200642,¡Otra vez Topo Chico! Riña deja un muerto y 15 heridos ,Mexico
786613721678295040,VIDEO El momento en que frustran asalto en calles de la Ciudad de México,Mexico
786610527543762944,RT @GDZProjects: Pass it on! pussygrabsback Election2016 ,Mexico
786610501409120257,Revelan nuevo audio con comentarios pedófilos de Donald Trump,Mexico
786610468018204674,RT @GDZProjects: No wonder he's the first presidential candidate ever to not be endorsed by one major newspaper. orangeasshole  ,Mexico
786608689234997248,"Maradona, siempre controversial, vuelve a llamar la atención con sus declaraciones sobre Messi y Cristiano Ronaldo",Mexico
786607100977815552,Les comparto la portada de @TIME esta semana. ,Mexico
786606173331988480,Carlos Hermosillo confundió a Juan Sebastián Verón con el puma Darío Verón. Ya después corrigió,Mexico
786604919289556993,Se le cruzaron los cables a Carlos Hermosillo y cometió tremendo error en Instagram,Mexico
786602467416870912,Les dejo estos consejos para liberar espacio en su iPhone sin tener que eliminar fotos o canciones,Mexico
786599880785481729,"El nuevo reto viral en las redes sociales. La verdad, yo no me atrevería a hacerlo",Mexico
786598622955659264,Lamentable. Muere modelo y patinador profesional por leucemia,Mexico
786597874142367744,“El Fugas” ya está en penal de máxima seguridad,Mexico
786595437423636480,Así son los influyentes. Se van en sentido contrario burlando la fila de todos los demás. Las placas son de Morelos… ,Mexico
786595162143154184,¡Qué golpe sufrió un recogepelotas  en el Masters de Shanghai! No pudo aguantar las lágrimas,Mexico
786592331520544768,Asesinan a taxista que intentaba defender a mujer de asalto. Fue en la Ciudad de México,Mexico
786589823901413378,Usuarios reportan humo en estación del Metro (VIDEO),Mexico
786587298427133955,Ya no entendí. ¿Salen o no salen los Tiburones Rojos de Veracruz? esto dice Fidel Kuri,Mexico
786584780557213698,"La estafa de la que fueron víctimas casi 200 mexicanos, que perdieron miles de pesos",Mexico
786583525365518337,"La decisión que era imposible, ya fue posible",Mexico
786583080454598656,RT @tomasweimar: Les comparto mi colaboración de esta semana:... ,Mexico
786582271037804546,“Una salida anunciada”. Dejo a su consideración mi columna de hoy,Mexico
786580004297580544,"El nuevo tráiler de Rogue One, la película de Star Wars que estelariza Diego Luna (VIDEO) ",Mexico
786577232328269824,VIRAL Lo que hizo un ladrón al darse cuenta que lo estaban grabando (VIDEO),Mexico
786574715905159168,Javier Duarte deja el gobierno de Veracruz en medio de 53 denuncias penales,Mexico
786572221971968001,Imparable la violencia en Chihuahua. En apenas tres días suman 25 muertos,Mexico
786567170692120576,Caos en la Ciudad de México. Campesinos marcharán en diversos puntos de la capital,Mexico
786563521295155201,La acción de un jugador de la NBA que ha indignado a todo un país,Mexico
786559617585250305,Maradona pelea ¡en pleno Partido por la Paz! (VIDEO),Mexico
786557772724744193,"Ha muerto Darío Fo, ganador del Nobel de Literatura en 1997 ",Mexico
786555841780539392,VIDEO Usuaria denuncia agresión de chofer de Uber en la Ciudad de México,Mexico
786553827436572672,"Después de muertas, estas celebridades siguen ganando millones de dólares",Mexico
786552515697385472,Increíbles imágenes. La superficie de la Luna en alta definición,Mexico
786550304447746048,Siguen las lluvias y temperaturas de hasta cero grados en algunas zonas del país,Mexico
786548291496325121,Otro escándalo sexual de Donald Trump ,Mexico
786544522729709570,Hace años que sonaba como candidato. Hoy le dieron el Nobel de Literatura a Bob Dylan ,Mexico
786542964554108928,Sorpresa en el Nobel de Literatura,Mexico
786541314212933632,El riesgo de no lavarse bien los dientes y cómo afecta al corazón,Mexico
786536970923147264,Por falla potencialmente mortal Volkswagen retira miles de vehículos ,Mexico
786533193302159360,Qué hará Barack Obama cuando deje de ser presidente ,Mexico
786533191943229440,Obama arremete y se burla de Donald Trump (VIDEO) ,Mexico
786529653871652865,"La motocicleta del futuro, de la que es imposible caerse",Mexico
786528157889212416,Buenos días,Mexico
