id_str,text,class
786716580818194433,Pierde su zapato haciendo paracaidismo... ¡y lo recupera en plena caída!  ,USA
786711199970885634,Acusan a hombre de cortarle pezones a mujer en EE.UU.  ,USA
786706775391305728,Olga Tañón agradece oraciones por su hija hospitalizada:  ,USA
786703988305620992,Pierde todo el cabello tras tomarse selfie en montaña rusa  ,USA
786700229676523520,@KingJames … ¿el universitario? ,USA
786696808537948162,¡Tenemos nuevo blog! Nuestro reportero @jorgefloza te presentará cada semana los últimos estrenos de @netflix :… ,USA
786693389538381824,VÍDEO | Julián Gil pide un voto por Ricardo Rosselló  ,USA
786688428897214464,[FOTO] Le da una paliza a su esposo en plena luna de miel tras verle por primera vez su pepino:… ,USA
786683875183460353,Acusan a un papá de meter a su bebé en ducha tan caliente que se le cayó la piel  ,USA
786676293563801602,Sepultan a Don Quique Lucca al son de la Sonora Ponceña:  ,USA
786670805476343808,"¿Conoces a esta persona? | El señor desconoce su identidad, por lo que se necesita ayuda para identificarlo:… ",USA
786666661357256705,[VÍDEO] Así es la caja para devolver el Samsung GalaxyNote7:  ,USA
786661188927119360,La misteriosa razón por la que ellos se están pintando las uñas  ,USA
786658023028776965,Denuncian que Anaudi sigue recibiendo trato preferencial con el gobierno:  ,USA
786653172790157312,Selena Gómez ingresa a centro de rehabilitación:  ,USA
786649954441895936,¿Realmente los hombres se expresan de las mujeres como @realDonaldTrump? |  ,USA
786647910075162624,Realizan manifestación en apoyo a enjuiciamiento internacional contra Monsanto  ,USA
786643157471539200,VÍDEO | Terrible momento en que niño muere aplastado por su padre  ,USA
786641198337236996,"Pedro Juan Figueroa lo que habla es basura, dice Josué Carrión “Mr. Cash”:  ",USA
786635513042051072,Bomberos extinguen fuego en el hotel Caribe Hilton:  ,USA
786631211833634816,Boricuas se desbordan en solidaridad por damnificados en Haití  ,USA
786626210230996993,VÍDEOS | Mira cómo sopló el viento en Bermudas hoy por Nicole:  ,USA
786620406136352769,"Al parecer, Yara no está del todo convencida de la explicación de Éktor:  ",USA
786614343496445952,.@MileyCyrus se confiesa sobre su confusión sexual   ,USA
786612486501830658,Únete y comparte el mensaje de la Alianza de Medios de Comunicación.  ,USA
786609159353409536,VÍDEO Y FOTOS | El trasero más famoso del mundo… después del de @KimKardashian   ,USA
786607092077432833,Joven de 20 años cobró el premio millonario de la Loto | Mira el cheque:  ,USA
786600442532769792,Una joven de 20 años es la nueva millonaria en Puerto Rico  ,USA
786597364484087808,.@MonicaAce93 avanza a cuartos de final en el Abierto de Tianjin  ,USA
786593266028335104,Abandonan cádaver en carrito de compras frente a dispensario en Santurce  ,USA
786589820394930176,"VIDEO: Si @KDTrey5 te pide un nacho con queso, ¿qué harías?  ",USA
786586082955685888,El poderoso huracán Nicole se acerca a las Bermudas.  ,USA
786581695906611205,"[VÍDEO] Si Kevin Durant te pide un nacho con queso, ¿qué harías?  ",USA
786577547047960576,Trío de payasos asalta pareja en Condado  ,USA
786571814084472832,OJO: Ya no se puede rajar la papeleta   ,USA
786566643497504768,[VÍDEO] Nuevo tráiler de “Star Wars: RogueOne” muestra más de Darth Vader  ,USA
786562593049673728,Padres dan su versión de lío con maestro  ,USA
786558882831278080,La granja se suma a la reciente ola de aciertos en el cine puertorriqueño | Lee la reseña de @MarioAlegre… ,USA
786554710996185088,No se asuste: realizan simulacro a escala real en el aeropuerto  ,USA
786549160040357889,Hoy podrían acusar a los sospechosos de asesinar al sargento  ,USA
786543436576985088,. @DavidBernierPR advierte que va a haber trauma  ,USA
786539277945597952,Carlos Correa no terminó la temporada como quería  ,USA
786533466590613504,Crean una app que te maquilla para videoconferencias  ,USA
