text,class
AHORA: Ministro Muñoz se refiere a la firma del TLC entre Chile y Uruguay CNNChile ,Chile
"@carolmarcesm Hola, esa publicidad la subasta Google, vamos a revisar los bloqueos para que no vuelva a aparecer del tipo político. Gracias!",Chile
Diputado GasparRivas no se presentó en audiencia con AndrónicoLuksic  CNNChile ,Chile
Hijo de Manuel Contreras prefiere a Lagos sobre Piñera CNNChile  ,Chile
. @nmonckeberg : Espero que ningún parlamentario apruebe la ley de Presupuesto del Sename como está ahora… ,Chile
DiadelaMusicaChilena : Más de 40 escenarios con espectáculos gratuitos  CNNChile ,Chile
"Gaspar Rivas tras llegar atrasado al tribunal: Salí con dos horas desde Los Andes, tiempo suficiente, pero había u… ",Chile
El video de Sebastián Piñera y Felipe Alessandri tipo carpool CNNChile  ,Chile
Gaspar Rivas aparece en el tribunal. Dice que no le pedirá disculpas a Luksic. Me atrasé por un taco gigante… ,Chile
"Pese a que abogado de @GasparRivas pidió esperar 20 minutos al diputado, se finalizó la audiencia de conciliación c… ",Chile
Abogado de Luksic: @GasparRivas fue notificado hace más de 10 días. Ni siquiera respeta a los tribunales… ,Chile
"Se pone término a la audiencia de conciliación entre @GasparRivas y Luksic, luego de que el diputado no se present… ",Chile
Sevilla pagó la deuda de Jorge Sampaoli  ,Chile
AHORA:Se pide orden de detención para @GasparRivas . El diputado no se presentó en la audiencia de conciliación… ,Chile
AHORA: Se realiza la audiencia por querella contra diputado @GasparRivas CNNChile NoticiasExpressCNN Luksic ,Chile
Ciudadanos en Directo: Elecciones municipales 2016  CNNChile ,Chile
Pep Guardiola quiere a otro chileno en el City  CNNChile ,Chile
En breve comienza NoticiasExpressCNN 📱📡 ... Feliz cumpleaños a nuestra conductora @VeroSchmidtB 🎂 🎉 con cariño… ,Chile
"AHORA Sebastián Moreno, director de la ANFP, se refiere al fallo de la FIFA MañanaEnDirecto ",Chile
.@LaRoja no podrá jugar contra Venezuela en el Nacional  CNNChile ,Chile
Campañas políticas: La plataforma virtual que busca disminuir gastos  CNNChile ,Chile
AHORA: Ministro de Cultura se refiere a la celebración del Día de la Música MañanaEnDirecto CNNChile ,Chile
Navarro por derrota del sí en Colombia: Fue un error estratégico  CNNChile ,Chile
Recuerda que puedes votar y comentar nuestra pregunta de hoy sobre Despenalización de la Marihuana ,Chile
Los primeros artistas confirmados para la Teletón  CNNChile ,Chile
[FOTO] Arturo Vidal publicó mensaje para sus detractores  CNNChile ,Chile
AHORA: En entrevista el senador @senadornavarro se refiere al triunfo del No en Colombia MañanaEnDirecto ,Chile
[LO ÚLTIMO] Otra baja de La Roja para enfrentar a Ecuador  CNNChile ,Chile
"Esta noche, a las 22.30 horas, no te pierdas MunicipalesCNN con las propuestas de los candidatos en Antofagasta… ",Chile
AHORA: No te pierdas el comentario de Deportes junto a @rsepulvedap en MañanaEnDirecto CNNChile ,Chile
MañanaEnDirecto saluda a Francisco de Asís en su día 👼. Te deseamos un FelizMartes CNNChile ,Chile
"RT @UOCT_RM: Colisión en Pajaritos al oriente, pasado A Vesp. Bloqueado enlace de A Vesp al norte a Pajaritos. Tránsito al oriente por corr…",Chile
"RT @UOCT_RM: Vehículo con fallas en pista izquierda de Diagonal Paraguay, pasado Lira Santiago",Chile
AHORA: No te pierdas el comentario internacional junto a @Maroto__ en CNNChile Colombia Macri Temer ,Chile
"Participa en MañanaEnDirecto 
¿Esta de acuerdo con la despenalización del autocultivo de marihuana para consumo privado?",Chile
Buenos días a todos quienes nos acompañan en MañanaEnDirecto ✌️😉 junto a @viviencina en CNNChile ,Chile
"Comienza MañanaEnDirecto, hoy nos acompaña @viviencina para revisar las principales noticias de Chile y el mundo",Chile
CNN Íntimo: @matiburgos entrevistó a Rodrigo Tupper  CNNChile ,Chile
Aránguiz figura en el Leverkusen  CNNChile ,Chile
[VIDEO] Revive el golazo de Edson Puch en México  ,Chile
[FOTO] El criticado mensaje de Arturo Vidal con referencia a La Roja  ,Chile
[FOTO] La polémica foto de un ex jugador de la U en la galería del Monumental  CNNChile ,Chile
[FOTOS] El basural en Valparaíso tras carnaval Mil  tambores  ,Chile
CiudadanosCNN: Colombia dijo No al acuerdo de paz  CNNChile ,Chile
Hecho en Chile: Maestranza  CNNChile ,Chile
Tú: El espectáculo de circo contemporáneo  CNNChile ,Chile
Francisco Estrada acusó deficiencias en información al interior del Sename  CNNChile ,Chile
Gratuidad 2017: Dudas por ingreso de CFT e IP  CNNChile ,Chile
¿Por qué Colombia rechazó el acuerdo con las Farc?  ,Chile
Colombia trata de salvar acuerdo de paz  CNNChile ,Chile
Cadem: Piñera aventaja a Lagos y Guillier  CNNChile ,Chile
