text,class
"El marido de Inés Arrimadas, ex CDC, impulsor de un movimiento catalanista contrario a la independencia ",Spain
"El PP en la encrucijada  'Puentes de palabras', por José Manuel Otero Lastres ",Spain
Alba Carrillo maldice a su ex y habla de él como «infeliciano»  Por @abc_gente,Spain
▶ Ximo Puig: «Yo también prefiero un gobierno de Rajoy en minoría que un gobierno de Rajoy en mayoría» ,Spain
.@Albert_Rivera llama a @javier_asturias y le ofrece mediar en las negociaciones del @PSOE con el @PPopular ,Spain
"El 12% de los conductores se pone al volante tras tomar alcohol o drogas, según la DGT ",Spain
El juez ordena la detención de un sospechoso del descuartizamiento de la familia de Pioz ,Spain
La opinión de @hughes_hu   ,Spain
"Chiquito, con Bertín: «He ligao menos que la gata del Vaticano» ",Spain
El fiscal cree que Munar se quedó con la mitad de los cuatro millones del soborno por la venta de un solar ,Spain
El número dos de Gürtel pide anular el juicio por la ilegalidad de las grabaciones que destaparon el caso ,Spain
RT @abc_madrid: ÚLTIMAHORA Trinitario Casanova: «Queremos abrir en un año el Edificio España con un hotel de 600 habitaciones» ,Spain
🔴 ÚLTIMAHORA Identifican a un sospechoso del descuartizamiento de Pioz ,Spain
"Villacís: «Si hubiera tantos limpiadores como agentes de Movilidad multando, viviríamos mejor» ",Spain
▶ Sobrevive a dos ataques de oso en el mismo día y graba un vídeo en Facebook para mostrar sus heridas ,Spain
"RT @abceconomia: El FMI eleva al 3,1% la previsión de crecimiento de España en 2016 ",Spain
"Wikileaks, diez años de filtraciones incómodas para el poder ",Spain
Sale a la luz la ciudad ultrasecreta que EEUU creó bajo el hielo del Polo Norte para bombardear la URSS ,Spain
Al menos 22 inmigrantes muertos y más de 6.000 rescatados en el Mar Mediterráneo ,Spain
RT @abc_cultura: Robbie Williams estrena el primer single de su nuevo disco ,Spain
Las ocho películas de «Harry Potter» vuelven a los cines españoles ,Spain
"RT @abcespana: Sánchez, al escaño de Madina ",Spain
Los símbolos que Ada Colau ha eliminado de Barcelona ,Spain
"Así amenazaban los jefes de la Alhambra: «Como saques algo, toda la Junta irá a por ti» ",Spain
"Kim Kardashian, atada y amordazada, temió ser violada por los atracadores ",Spain
La Justicia obliga al pueblo de Oriol Junqueras a colgar la bandera española ,Spain
📷 En imágenes: Polonia se viste de negro por la nueva Ley contra el aborto ,Spain
Cuatro de los acusados de la violación de Sanfermines pudieron participar en otra en Pozoblanco (Córdoba) ,Spain
RT @abc_madrid: ÚLTIMAHORA La Audiencia de Madrid mantiene en libertad a Flores hasta que la sentencia sea firme ,Spain
"Arundhati Roy publica su segunda novela, veinte años después de «El dios de las pequeñas cosas» ",Spain
En 2020 llega lo que muchos han soñado con ver. Bienvenidos a la era de los coches autónomos ,Spain
"Así recibe la crítica a «Westworld», la sucesora de «Juego de Tronos» ",Spain
Catalunya Ràdio pregunta a sus oyentes si hay que impedir «físicamente» que Mas sea juzgado ,Spain
El Curiosity comienza un nuevo capítulo de la exploración de Marte  Por @abc_ciencia,Spain
Robles se suma a los «sanchistas» y avisa de que no hay razones para cambiar el «no» a Rajoy ,Spain
Así son los dos nuevos hoteles de @Cristiano  ,Spain
Mónica Oltra presiona a sus socios del PSOE: «El PP es un peligro para España» ,Spain
Hard Rock quiere hacerse con el hotel del Edificio España ,Spain
"Paulo Coelho publica hoy «La espía», un recorrido por la vida de Mata Hari ",Spain
"Blanco, en @cope_es, apunta a una «abstención técnica» con condiciones para evitar terceras elecciones ",Spain
El PSOE contempla que las bases decidan en una consulta si deben abstenerse o no ,Spain
La Comisión Europea denuncia el régimen de evasión fiscal que mantiene Gibraltar ,Spain
Tropas afganas recuperan Kunduz de manos de los talibanes ,Spain
RT @abc_madrid: Flores alega que su familia depende de él para justificar que no hay riesgo de fuga MadridArena  ht…,Spain
Así ha envejecido Obama tras 8 años en el poder ,Spain
"Google aumenta la mochila: trae sus «smartphones» Pixel, apuesta por el hogar y la realidad virtual ",Spain
El colegio Maravillas denunciará al «Hermano Pedro» por las fotos pornográficas de menores  Por @Delsanz,Spain
Pablo Iglesias: «En ningún caso el señor Pedro Sánchez intentó un Gobierno con nosotros» ,Spain
El paradójico motivo por el que los modelos no sonríen en la pasarela ,Spain
"🔴 AMPLIACIÓN Thouless, Haldane y Kosterlitz, Nobel de Física 2016  ",Spain
"🔴 ÚLTIMAHORA Thouless, Haldane y Kosterlitz ganan el Premio Nobel de Física 2016 ",Spain
¿Es de Rafael este cuadro olvidado? ,Spain
"España, uno de los 11 países europeos donde se podrá pagar mediante un «selfie» ",Spain
Google cobra más 100.000 euros a un niño de 12 años que pretendía ser «youtuber» ,Spain
