text,class
Calendario gregoriano: ¿Qué llevó al papa Gregorio XIII a cargarse 10 días en 1582? ,Spain
".@sanchezcastejon, relegado a un escaño en la cuarta fila del Congreso  CrisisPSOE @PSOE",Spain
"Ricardo Piglia publica la segunda parte de sus diarios,'Años felices', que abarcan desde 1968 a 1975    libros",Spain
Nuevas protestas tras la muerte de un adolescente negro y un hispamo por disparos de la policia de Los Ángeles ,Spain
"Catalunya solo destina a educación el 2,8% de su PIB. Nula inversión a investigación y formación de profesores ",Spain
VIDEO | Como los barcos de esclavos: @PROACTIVA_SERV  muestra la bodega de una embarcación de inmigrantes ,Spain
"Interraíl gratis al cumplir 18: Se trata de que aprendan Europa, conozcan Europa, que vivan Europa  ",Spain
RT @EP_eXtra: Facebook aplaude el vídeo de una niña de 8 años que critica los mensajes sexistas de la moda infantil ,Spain
"RT @Enric_Hernandez: Rato: No tuve dudas de que la tarjeta 'black' era parte de mi salario
 vía @elperiodico",Spain
España perderá fuelle en el 2017 ,Spain
"La 'consellera' de Presidencia, en contra de una alza de impuestos ",Spain
"RT @eppolitica_cas: Polémica por una encuesta de @CatalunyaRadio. ¿Impedirían físicamente el  juicio a Mas?, preguntaba a sus oyentes  ",Spain
"El portavoz del PP, @Rafa_Hernando, quiere saber si el @PSOE está dispuesto a dialogar ",Spain
VÍDEO | Facebook aplaude el vídeo de una niña de 8 años que critica los mensajes sexistas de la moda infantil ,Spain
"Los coches oficiales de la exalcaldesa, @ritabarbera,  salieron a la venta este martes ",Spain
"DIRECTO | El director financiero, Sánchez Barcoj, descarga toda la responsabilidad de las Tarjetasblack sobre Blesa ",Spain
. @MarcGasol vuelve a jugar tras ocho meses ,Spain
"RT @eppolitica_cas: La rueda de prensa posterior al Consell Executiu, en directo ",Spain
Continúa la pugna presupuestaria entre @JuntsPelSi y @cupnacional ,Spain
Grabación del huracán Matthew desde un satélite ,Spain
Según el @PPopular la prohibición de las corridas vulnera cinco artículos de la Constitución ,Spain
Gavà pedalea y camina por la sostenibilidad ,Spain
". @ma_vila_planas, Síndica de Greuges, insta al ayuntamiento a limitar el precio del alquiler en Barcelona ",Spain
. @javier_asturias avisa que si se repiten los comicios generales el PP obtendrá mejores resultados ,Spain
AMPLIACIÓN | Tres británicos se llevan el Nobel de Física por investigar materiales innovadores… ,Spain
RT @eppolitica_cas: ⚖ Ana Mato pasa de ir al juicio del 'caso Gürtel' ,Spain
Así ha envejecido Obama en los ocho años de presidente ,Spain
"Nobel de Física para David Thouless, Duncan Haldane y Michael Kosterlitz por su investigación de la materia exótica… ",Spain
El huracán Matthew avanza hacia Cuba y Haití con vientos de 220 km/h ,Spain
DIRECTO | Rodrigo Rato: Las tarjetas eran un incentivo perfectamente legal  TarjetasBlack ,Spain
La organización criminal distribía marihuana a una asociación cannábica de Barcelona ,Spain
La ley en trámite prohíbe el aborto y decreta penas de cárcel para las mujeres que lo practiquen ,Spain
"Cuatro personas, en el banquillo por intentar comprar un riñón a un inmigrante sin papeles  trasplante justicia",Spain
DIRECTO | Rodrigo Rato: No tuve dudas de que la tarjeta fuera parte del sueldo  ,Spain
El @govern pide la intervención de Bruselas por los retrasos del corredor mediterráneo  infraestructuras,Spain
DIRECTO | Sigue al minuto la declaración de Rodrigo Rato en el juicio de las TarjetasBlack  ,Spain
El paro aumenta en Catalunya en 5.641 personas y la cifra de desempleados se sitúa en 451.081   empleo,Spain
AMPLIACIÓN | El paro vuelve a subir en septiembre tras la temporada turística  empleo,Spain
Colas kilómetricas en la A-2 por un accidente en Sant Feliu de Llobregat  @transit tráfico,Spain
"Así ha sido el estreno en EEUU de Timeless, serie acusada de plagio por 'El Ministerio del tiempo'  television",Spain
ÚLTIMA HORA | El paro sube en septiembre en 22.801 personas hasta 3.720.297 desempleados empleo ,Spain
"Tras el Nobel de Medicina del lunes, este martes conoceremos el Nobel de Física  NobelPrize",Spain
"El enfrentamiento de @socialistes_cat y @PSOE a cuenta del noesno a @MarianoRajoy, visto con el humor de Ferreres ",Spain
La fiscalía pide 10 años de inhabilitación para el 'expresident' Artur Mas por el 9N  procés,Spain
Las rotaciones de Luis Enrique incapacitan al @FCBarcelona  Barça,Spain
Colombia busca un pacto nacional para salvar el acuerdo de paz con las FARC ,Spain
Buenos días. Nuestro editorial de hoy: El PSC y el debate interno del PSOE  @socialistes_cat @PSOE CrisisPSOE,Spain
Los @socialistes_cat resisten en su noesno a la investidura de @MarianoRajoy ante los titubeos del @PSOE  PSC,Spain
La sombra de un crimen machista planea sobre la explosión mortal de Premià de Mar  @mossos,Spain
El @PPopular afronta hoy el macrojuicio a la 'red Gürtel' que lideraba Francisco Correa  corrupción,Spain
Buenos días. Rodrigo Rato declara hoy por las TarjetasBlack. Éstas son las 10 preguntas que deberá responder ,Spain
. @KimKardashian sufre un atraco a punta de pistola en París. Le han robado objetos por 16 millones de euros ,Spain
La imagen de una agente de policía que se echa al suelo para consolar a un niño conmueve a la red ,Spain
La estrella del porno @AmarnaMiller aborda la polémica creada por el vídeo del @saloneroticobcn  Barcelona,Spain
"Lindsay Lohan casi pierde el dedo. Trasquilos, casi.   @lindsaylohan",Spain
