text,class
👮 Reforzarán la seguridad del Gran Buenos Aires y la Costa  ,Argentina
"😍 El nieto 121, según los ojos de su hermano  ",Argentina
⚖ Absolvieron a médico por los delitos de secuestro y homicidio  ,Argentina
⚫️ Murió el ex yerno de Carlotto y se suspendió la conferencia de prensa  ,Argentina
"⚖ José López, a juicio oral y público por la portación de armas  ",Argentina
"📹 Así entraron a robar al country Abril, de Berazategui  ",Argentina
💰🇺🇸 Piden datos de la cuenta bancaria de Nisman en EE.UU.  ,Argentina
😡🇪🇸 Arquero español ubicó a periodista: No me toques los cojones  ,Argentina
🇦🇷🇧🇷 @SusanaMalcorra: Argentina y Brasil son socios inexorables  ,Argentina
"🎥 “El patrón, radiografía de un crimen”, Cóndor de Plata a la mejor película  ",Argentina
📢🏦 Los bancos no atenderán de 12 a 15 este miércoles y jueves  ,Argentina
⚖ Fuertes denuncias contra el intendente de Varela  ,Argentina
"🎤 @JulioIglesias, en el Luna Park a puro romance  ",Argentina
⚽️🔟 Lio Messi volvió a pisar el césped luego de la lesión  ,Argentina
📺💃 Bailando2016: Charlotte zafó bien y logró su primer 10  ,Argentina
📢 Paran hoy en todo el país las universidades nacionales  ,Argentina
"🚨 La inseguridad, el flagelo que más preocupa al argentino  ",Argentina
👏🇬🇧 El Nobel de Física es para tres británicos  ,Argentina
🚇 Subte Línea A ✔ Línea B ✔ Línea C ✔ Línea D ✔ Línea E ✔ Línea H ✔ BuenMartes  ,Argentina
Clima Buenos Aires 🌤 15°C | Hoy máxima de 19°C. La lluvia llegará recién mañana.  ,Argentina
No hay más dudas: Sandra Borda no es hija de Sandro  ,Argentina
Hebe de Bonafini: “La CGT está embarazada de Macri”  ,Argentina
Tapas de Diarios | Levantate informado. Mirá las tapas de los diarios más importantes   ,Argentina
"La inseguridad, el flagelo que más preocupa al argentino  ",Argentina
"Caruso: “Yo no soy Mandrake, el equipo reaccionó”  ",Argentina
Cayó banda que presumía de robos en Facebook: Para los giles laburantes  ,Argentina
"“El patrón, radiografía de un crimen”, Cóndor de Plata a la mejor película  ",Argentina
"⚫ Detuvieron al sospechoso de tirar piedras al auto de Macri
 ",Argentina
"🚨 Un juez atropelló a una nena al salir de una fiesta
 ",Argentina
"🇦🇷 El Gobierno anuncia baja gradual de 0,5% mensual a retenciones de la soja
 ",Argentina
⚽️ Aprevide pidió que Racing-Gimnasia no se juegue en Mar Del Plata  ,Argentina
"⚽️ Tras jugar 30 años con la cancha torcida, AFA le clausuró el estadio
 ",Argentina
"⚫️ No hay más dudas: Sandra Borda no es hija de Sandro
 ",Argentina
🔵⚪️🔵 Higuaín titular y Dybala de Messi: el equipo de Bauza  ,Argentina
⚫️ Para llorar: los bajos resultados de Guillermo como visitante  ,Argentina
⚫️ Nieto 121: ¿Cuál fue el rol de la CONADI? ¿Se presentó espontáneamente?   ,Argentina
"🐻 Cazador fue atacado por una osa, sobrevivió y mostró las heridas   ",Argentina
"📸 Fotos | “Ratas” y carteles contra Temer
 ",Argentina
"🎥 Susana Giménez, sobre sus dichos: No tengo un amigo que no sea gay
 ",Argentina
"🏊 Los natachorros: robaron en un country y uno logró huir nadando
 ",Argentina
⚫️  Denunció que una patota lo golpeó a la salida de un boliche  ,Argentina
🇦🇷🇧🇷 Macri y Temer en Olivos: agenda común y “fortalecer el Mercosur”  ,Argentina
⚫️  Revelan por descuido cómo será el nuevo smartphone de Google  ,Argentina
😍😍😍😍😍 Reiteramos | @Abuelasdifusion confirmó la aparición del Nieto121   ,Argentina
😍😍😍😍😍 Ahora | ¡Apareció el Nieto121! Abuelas de Plaza de Mayo llama a conferencia de prensa mañana para más detal… ,Argentina
🇦🇷 Tarifazo del gas para pymes: juez aceptó la apelación del Gobierno  ,Argentina
"⚽️ Tras jugar 30 años con la cancha torcida, AFA le clausuró el estadio  ",Argentina
"⚫️ Susana Giménez, sobre sus dichos: No tengo un amigo que no sea gay
 ",Argentina
⚫️  INADI actúa de oficio contra declaraciones de dirigente de River  ,Argentina
🇦🇷 Fotos @MauricioMacri le pegó de derecha y recibió a los campeones argentinos de Futsal. ,Argentina
🏊 👮Los natachorros: robaron en un country y uno logró huir nadando  ,Argentina
🔷🔶🔷 Para llorar: los bajos resultados de Guillermo como visitante  ,Argentina
"⚽️ Berizzo, el gran enemigo de Luis Enrique
 ",Argentina
⚫️ Entradas a $100: la iniciativa de los teatros porteños  ,Argentina
"🚗😟  Susana Rinaldi y María Graña sufrieron un accidente en Rosario
 ",Argentina
⚫️ Detuvieron a adolescente por crimen de una mujer en El Palomar  ,Argentina
"🇦🇷🇧🇷 La frase de @MauricioMacri  a Michael Temer sobre la relación con Brasil. Esta tudo bem, tudo joia, tudo lega… ",Argentina
📱 Selfies: 3 consejos para aprovechar al máximo tu cámara frontal  ,Argentina
🇦🇷🇧🇷 “Ratas” y carteles contra Temer. El hashtag ForaTemer se impuso en las redes sociales.… ,Argentina
🇦🇷⚽️ Higuaín titular y Dybala de Messi: el equipo de Bauza  ,Argentina
😡 Textil chaqueña cerró por la importación: es la segunda en una semana  ,Argentina
🙏👏 Entradas a $100: la iniciativa de los teatros porteños  ,Argentina
