id_str,text,class
786700417585573889,Michelle Obama critica a Trump por comentarios sexuales  ,USA
786694480279646208,"Caetano Veloso, el eterno curioso  @caetanoveloso @chicagosymphony ",USA
786662263734276097,AUDIO: Entrevista con Caetano Veloso  @caetanoveloso @chicagosymphony ,USA
786580648781811713,Chicago otorgará una identificación municipal a los indocumentados  ,USA
786565000609533952,Más mujeres salen a la luz y denuncian abusos sexuales de Trump  ,USA
786341430453153792,Te invitamos a ser testigo de los mejores cuatristas en el país este 5 de noviembre. Para más información: ,USA
786336740525170688,"1997 MissTeenUSA pageant contestants say Trump walked in on them while some, as young as 15, were naked:… ",USA
786297949311541248,EDUCACIÓN: ¿Rumbo a la secundaria?  ,USA
786288440723767296,Academia anuncia las 85 cintas que optan al Oscar como mejor filme extranjero  ,USA
786266618649251840,"Amazon lanza Amazon Music Unlimited, un nuevo servicio de música en línea  ",USA
786233051466653696,Crece la presión sobre NBC para liberar más cintas sin editar de Donald Trump  ,USA
786232145811419136,Celebrate Día de los Muertos in Chicago with latinGRAMMY Award winner &amp;2016 nominee @lasantacecilia . Buy tickets… ,USA
786209486054776832,Meditación en escuelas de Chicago para reducir el estrés en alumnos  ,USA
786208966703546368,Trump vuelve a actitud combativa de primarias  ,USA
786071895712096256,@Cubs advance to the NLCS Check out some of the best FlyTheW tweets:  ,USA
785958541521776640,AUDIO: Entrevista con Pepe Aguilar  @PepeAguilar Chicago ,USA
785928482488459264,Latinos in tech: “Startups go hand in hand w/ Latino culture because a lot of Latinos are very entrepreneurial:… ,USA
785923384668553216,La fanaticada de fiesta en los playoffs de los Cubs  ,USA
785920437507293184,Publican una guía para planificar educación superior en EEUU  ,USA
785903971634413569,Filtran nuevos correos de campaña de Clinton  ,USA
785847376569364481,No estralló la huelga en CPS  ,USA
785846655576842240,Siguen llegando haitianos a la frontera México-EEUU  ,USA
785845530609975296,"Hartos de Trump y Clinton, algunos votantes sopesan opciones  ",USA
785845472921526272,Padre del un capitán que murió en Irak fustiga a Trump  ,USA
785844823450411008,Trump dice que Paul Ryan dificulta su campaña  ,USA
785839966974840832,Samsung cancela producción del Galaxy Note 7 tras problemas  ,USA
785839338856865794,Los republicanos se enfrentan entre sí por Trump  ,USA
785585910419230720,Hacen corrido de Hillary ...  @wearemitu @Maravillosaband HillaryClinton DonaldTri ,USA
785580086405763072,Pareja se disputa los millones ganados por un encarcelamiento erróneo  ,USA
785559298587844608,Impulsan el parto natural  PadresDEHOY ,USA
785552268250738688,Gloria Trevi provoca y todos la miran  @GloriaTrevi ElAmorInmortalWorldTour ,USA
785547204392062976,La ONU apela al mundo por ayuda para el devastado Haití  ,USA
785544671657242624,Paul Ryan no hará campaña con Trump pero tampoco le retirará su respaldo  ,USA
785534258731487232,CNCO: Su increíble nueva vida  @CNCOmusic CNCOwners ,USA
785491579804921856,"Cierra el casino Trump Taj Mahal, víctima de la crisis  ",USA
785487086287806464,Illinois alojará a menores centroamericanos evacuados de Florida por Matthew  ,USA
785486259342995456,Gloria Trevi provoca y todos la miran  @GloriaTrevi ElAmorInmortalWorldTour ,USA
785485273257877504,Trump y Clinton llevan sus ataques al extremo en un amargo debate  ,USA
785482455654555648,"Twitter:  17 millones de tuits del debate, récord absoluto  ",USA
785477888418209792,"Acorralado, Trump ataca en un duro debate  ",USA
785319824301912065,Trump arremete contra republicanos que lo critican  ,USA
785254733598584832,Gloria Trevi le dedica popurrí de éxitos a Donald Trump  @GloriaTrevi DonaldTrump ,USA
785159331155177473,"Pence: 'cristiano, conservador y republicano, en ese orden'  ",USA
785134296755470336,"Cupich, arzobispo de Chicago, entre los nuevos cardenales designados por el Papa  ",USA
784951886977695744,Final 8inning Cubs 5 SFGiants 2. NLDS @Cubs @SFGiants MLS @MLS WrigleyField,USA
784946697038209024,Final 7inning Cubs 5 SFGiants 2. NLDS @Cubs @SFGiants WrigleyField MLB @MLB,USA
784941508306665472,Final 6inning Cubs 5 SFGiants 2. NLDS @Cubs @SFGiants MLB @MLB WrigleyField,USA
784935167244677120,Final 5inning Cubs 5 SFGiants 2. NLDS @Cubs @SFGiants MLB @MLB,USA
784931464366338049,Final 4ininng Cubs 5 SFGiants 2. NLDS @Cubs @SFGiants WrigleyField,USA
784928280579223553,El abridor de los Cubs Hendricks es cambiado en 3.2 inning tras recibir pelotazo. Sale Wood,USA
784925128714924032,Fina 3inning Cubs 4 SFGiants 2. NLDS @Cubs @SFGiants MLB @MLB WrigleyField,USA
784920562363535360,Final 2ining Cubs 4 SFGiants 0. NLDS @Cubs @SFGiants MLB @MLB,USA
784913351184818176,Final 1ininng Cubs 1 SFGiants 0. NLDS @Cubs @SFGiants MLB @MLB,USA
784878730548219904,LO ÚLTIMO: Pence critica comentarios de Trump sobre mujeres  ,USA
784871758163836928,Trump rechaza llamados a abandonar contienda  ,USA
784868824361426945,Georgia reporta tercera fatalidad por Matthew  ,USA
784597578109321216,Final 8inninn @Cubs 1 @SFGiants 0. NLDS Cubs SFGiants Cachorros Gigantes MLB,USA
784596572646629380,Jonron de Baez y los Cachorros toman la delantera en el 8inning Cubs 1 SFGiants 0,USA
784593204263936000,Final 7inning @Cubs 0 @SFGiants 0. NLDS Cubs SFGiants Cachorros Gigantes,USA
784589980597452805,Final 6inning @Cubs 0 @SFGiants 0. NLDS Cubs SFGiants MLB Giants Cachorros Gigates,USA
784585920662077445,Final 5inning @Cubs 0 @SFGiants 0. NLDS Cubs SFGiants Giants MLB,USA
784580601248673792,Final 4inning @Cubs 0 @SFGiants 0. NLDS Cubs SFGiants MLB,USA
784574926359592960,Final 3inning @Cubs 0 @SFGiants 0. NLDS,USA
784572397479485440,DwyaneWade esta en el WrigleyField y se lleva gran ovación cuando lo muestran en la pantalla.,USA
784571388925468673,Final 2 inning Cubs 0 Giants 0.  MLB,USA
784520190046404609,Sale a la luz una conversación obscena en la que Trump habla de mujeres  ,USA
784449911924359168,América Latina espera que Nobel ayude a la paz en Colombia  ,USA
784408103097868288,Huracán Matthew tranquiliza la campaña antes de 2 debate  ,USA
784405500557348866,"La tortilla, ‘un alimento que nos da identidad’  ",USA
784395354838097920,"Gloria Trevi, la eterna rebelde  @GloriaTrevi ",USA
784176643338305536,Pirulo y su apuesta por la cultura latina y la presencia boricua  Pirulo @SRBCC ,USA
784142639784353792,"Adivinos, brujos y chamanes son consultados para responder, ¿Es posible que Trump gane?  ",USA
784135486763851776,"Uribe, de opositor a protagonista de la paz en Colombia  ",USA
784135132009619456,Maryland: Acusan de contrabando a guardias y reclusos  ,USA
784110181407924225,"Arrestan a sospechoso de actos de vandalismo en iglesia de Pilsen, Chicago  ",USA
784095894039883777,Obama declara emergencia en Florida por Matthew  ,USA
784044419855122433,Chicago aprueba ley que aumenta la protección de los indocumentados  ,USA
784041764680151040,EEUU: Policía investiga amenazas de payasos  ,USA
784041337305923584,Haití trata de contabilizar los daños del huracán Matthew  ,USA
784040838716325888,Siria: Fuerte explosión golpea a fuerzas con apoyo turco ,USA
784033834908127232,"'Prefiero mirarlo por TV', dice al huir de Matthew  ",USA
