id_str,text,class
786719453065121792,¡Huele a suegro! toda una sensación la hija de @CHAYANNEMUSIC en redes... miren que linda&gt;&gt;&gt;  ,USA
786710689373102081,"La pobre! Ninel Conde no sale de su racha de malas noticias , victima de fraude, ?¿ahora de quien? &gt;&gt;&gt;… ",USA
786703176141594624,DAelReality ya vieron el capitulo de BabyJoshua el hijo de @OrlandoSegura ? dos hogares y mucho amor… ,USA
786679355422412800,"En mi cuidad, la mejor comida latina es en __________. ¡Buen provecho y sigue saboreando con @CocaCola! Ad ",USA
786670466060652544,RT @UniPolitica: EnVideo: La respuesta emotiva de Michelle Obama sobre el abuso sexual 👉  ,USA
786660096352874496,Te esperamos mañana con @alantacher @williamvaldes @OrlandoSegura @maityinteriano y ¡muchas sorpresas! ,USA
786597450597355522,"RT @AquiyAhoraShow: Aunque llegan a EEUU con visa en mano y contrato firmado,  algunas empleadas domésticas se quedan atrapadas por sus pat…",USA
786593777012051968,¡Gracias por venir vuelvan pronto! ,USA
786586604915814400,"RT @UniPolitica: En agosto, la portada de Time hablaba del 'colapso' de @realDonaldTrump. Ahora hablan del 'colapso total' del republicano.…",USA
786586531813265408,RT @UniNoticias: Cómo entrar a las universidades más prestigiosas de EEUU sin pagar un alto precio FAFSA HayDinero ,USA
786582569349423104,Joshua tiene dos hogares y mucho amor   DAelReality BabiesEdition ,USA
786580323421257728,Buenos días CostaOeste ¿ya tienen su cafecito en mano? Ahora solo falta poner @Univision ,USA
786567903638327296,"RT @UniNoticias: Ladycoladera, la mujer que ataca con un rastrillo a un conductor en México por estacionar en su puerta ",USA
786567813943156736,Qué alegría recibir en casita a @regulocaro 👏🏻 la entrevista y su nuevo éxito musical están ya en nuestra página de… ,USA
786559623763337216,La aventura comienza en Miami con William Valdés y Sandra Cires. Saboreando con Coca-Cola Ad ,USA
786556622453678080,Aprende con nosotros a cocinar un CauCau de camarones al estilo @chefpepin 🍤 RecetaDelDia ,USA
786552414958718976,En minutos llega @ReguloCaro a nuestra casita ¡no te lo pierdas! ,USA
786549557152903168,RT @ninirios: 🍿El guapísimo benaffleck esta mañana en @despiertamerica nos habla de su nueva película… ,USA
786549131628126208,¡Felicidades! Esta hermosa ,USA
786548906343723008,RT @UniPolitica: El ranchero que inventó un sistema para captar indocumentados a la espera del muro de @realDonaldTrump ,USA
786546549371396096,"Amigos acompaña a Mela y a muchos invitados más. Los esperamos mañana en Mama Juana Café, 247 Dyckman St, New York,… ",USA
786541255756947456,Y asi las condiciones del tiempo hoy en el pais. @caritoramireztv nos trae la ultima informacion  ,USA
786540212570755072,RT @AnaPatriciaTV: Salud con café ☕️ buenos días familia ❤️ quien nos acompaña esta mañana en @DespiertAmerica ☀️… ,USA
786537528702537729,"Tenemos cobertura de equipo desde San Diego, CA con todo lo que esta pasando previo al gran concierto @riseupasone  ",USA
786535269042270208,Ya estamos en vivo desde SanDiego con @alantacher &amp; @williamvaldes listos para RiseUpAsOne el mega evento musical… ,USA
786530323551100928,RT @BirmaniaRios: Sigue siendo un símbolo sexual a sus 66 años. Sonia Braga nos habla hoy sobre su nueva pelicula aquarius en... ,USA
786530261433540609,RT @RodolfoLanderos: ¡Buenos días! Arrancamos este jueves con los deportes en @despiertamerica: Centenario del América; Mundial Sub-17 Fem;…,USA
786527019995631617,RT @UniNoticias: ÚltimaHora: El cantante estadounidense Bob Dylan gana el Premio Nobel de Literatura  ,USA
786518990076121088,RT @UniPolitica: Estas son las mujeres que han acusado a @realDonaldTrump de acoso sexual. La campaña niega las acusaciones. ,USA
786518949223600128,RT @UniNoticias: EnVideo: 'Dinosaurios' bailan por las calles de California para desplazar a los payasos macabros ,USA
786503187553521664,¡Buenos días! Ya es Cachi-viernes 😀 los esperamos en DespiertaAmerica por @univision ,USA
786502659264086016,RT @UniNoticias: Ex Miss Arizona USA afirma que Trump se paseaba entre las concursantes cuando estaban en topless o desnudas. ,USA
786502582885814273,"RT @EduardoElTiempo: Huracán Nicole alcanzó Cat 4, con vientos de 130 mph mientras se acerca Bermuda @UniNoticias @PrimerImpacto ",USA
786502484760092672,RT @UniPolitica: Correos electrónicos ‘hackeados’ a campaña de HillaryClinton revelan trato despectivo a algunos políticos latinos ,USA
786370995716325376,Para derretirse con esta invitación de BabyBruce el hijo de nuestra @satchapretto a ver su capitulo de… ,USA
786364603060121600,Tomen nota!! Rutina para tener un cuerpito fuerte y flexible como el de @molinaclaudia y @AnaPatriciaTV   ,USA
786355870271700993,LOL! Snapchateando con @KarlaMartinezTV @WilliamValdes imitando a @MarcAnthony y @JLo ¿Quién lo hace mejor? ,USA
786349503452418048,"Una maravilla estos peinados! fáciles y te rejuvenecen, toma nota&gt;&gt;&gt;  ",USA
786340775395205120,¿Estás de acuerdo? Noelia defiende su desnudo en las redes sociales para hacer conciencia  ,USA
786330906743148545,Diviértete rapidito con DAEnUnMinuto confesiones de @KarlaMartinezTV y la nueva vida de @alejandrochaban… ,USA
786323156558553088,"Ahum! atención mamás, clases de yoga para calmar a niños inquietos tomen nota &gt;&gt;&gt;   ",USA
786280567855845376,Niña de 4 años secuestrada en Florida regresa a casa con su familia  ,USA
786280098513158144,Chicas JonatanSanchez las espera mañana a partir de las 9:30pm ET para hablar con ustedes en nuestro… ,USA
786265386761195520,Los hijos mayores de Arath de la Torre sienten celos de su hermanita  ,USA
